Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
3,6:05,2,11,WAS 30,24,14,Kenny Pickett scrambles up the middle for 4 yards (tackle by Dorance Armstrong),2.970,2.810
3,5:20,3,7,WAS 26,24,14,Kenny Pickett pass complete short left to DeVonta Smith for 13 yards (tackle by Mike Sainristil),2.810,4.710
3,4:44,1,10,WAS 13,24,14,Saquon Barkley right tackle for 2 yards (tackle by Jalyn Holmes),4.710,4.390
3,4:00,2,8,WAS 11,24,14,Kenny Pickett pass incomplete short middle intended for A.J. Brown (defended by Marshon Lattimore),4.390,3.450
3,3:53,,,,,,Timeout #1 by Philadelphia Eagles,,
3,3:53,3,8,WAS 11,24,14,Kenny Pickett sacked by Dante Fowler for -11 yards,3.450,1.990
3,3:14,4,19,WAS 22,27,14,Jake Elliott 40 yard field goal good,1.990,3.000
3,3:11,,,PHI 35,27,14,Braden Mann kicks off 53 yards returned by Luke McCaffrey for 27 yards (tackle by Oren Burks),0.000,1.530
3,3:04,1,10,WAS 39,27,14,Jayden Daniels left end for 6 yards (tackle by Cooper DeJean),1.530,1.800
3,2:39,2,4,WAS 45,27,14,Jayden Daniels pass incomplete short right,1.800,1.090
3,2:34,3,4,WAS 45,27,14,Jeremy McNichols left tackle for 5 yards (tackle by Nolan Smith),1.090,2.260
3,2:15,1,10,WAS 50,27,14,Jayden Daniels pass complete short right to Olamide Zaccheaus for 10 yards (tackle by Darius Slay),2.260,2.920
3,1:46,1,10,PHI 40,27,14,Jayden Daniels pass complete short left to Jeremy McNichols for -1 yards (tackle by Zack Baun and Nakobe Dean),2.920,2.240
3,1:05,2,11,PHI 41,27,14,Jayden Daniels pass complete short right to Olamide Zaccheaus for no gain (tackle by Jalyx Hunt and Darius Slay),2.240,1.550
3,0:26,3,11,PHI 41,27,14,Jayden Daniels pass incomplete deep middle intended for Terry McLaurin,1.550,0.530
3,0:19,4,11,PHI 41,27,14,Jayden Daniels scrambles up the middle for 29 yards (tackle by Reed Blankenship),0.530,4.780
4,15:00,1,10,PHI 12,27,14,Jeremy McNichols right tackle for -2 yards (tackle by Zack Baun),4.780,3.790
4,14:25,2,12,PHI 14,27,14,Jayden Daniels pass complete short middle to Jeremy McNichols for 10 yards (tackle by Tristin McCollum and Cooper DeJean),3.790,4.840
4,13:37,3,2,PHI 4,27,20,Jayden Daniels pass complete short right to Olamide Zaccheaus for 4 yards touchdown,4.840,7.000
4,13:33,,,PHI 15,27,21,Zane Gonzalez kicks extra point good,0.000,0.000
4,13:33,,,WAS 35,27,21,Zane Gonzalez kicks off 64 yards returned by Kenneth Gainwell for 30 yards (tackle by Tyler Owens),0.000,1.000
4,13:26,1,10,PHI 31,27,21,Kenny Pickett pass incomplete short left intended for DeVonta Smith (defended by Sheldon Day),1.000,0.460
4,13:23,2,10,PHI 31,27,21,Saquon Barkley left tackle for 11 yards (tackle by Bobby Wagner),0.460,1.730
4,12:43,1,10,PHI 42,27,21,Saquon Barkley right tackle for -4 yards (tackle by Daron Payne),1.730,0.650
4,11:57,2,14,PHI 38,27,21,Kenny Pickett pass incomplete short middle,0.650,-0.030
4,11:54,3,14,PHI 38,27,21,Kenny Pickett pass complete short middle to Kenneth Gainwell for 6 yards (tackle by Jer'Zhan Newton),-0.030,-0.460
4,11:15,4,8,PHI 44,27,21,Braden Mann punts 43 yards fair catch by Jamison Crowder at WAS-13,-0.460,0.320
4,11:10,1,10,WAS 13,27,21,Jayden Daniels pass complete short middle to Dyami Brown for 5 yards (tackle by Nakobe Dean),-0.320,-0.140
4,10:49,2,5,WAS 18,27,21,Jayden Daniels pass incomplete short middle intended for Zach Ertz,-0.140,-0.830
4,10:45,3,5,WAS 18,27,21,Jayden Daniels pass complete short middle to Brian Robinson for 8 yards (tackle by Darius Slay and Tristin McCollum). Penalty on Cooper DeJean: Defensive Holding 5 yards (declined),-0.830,0.670
4,10:21,1,10,WAS 26,27,21,Jayden Daniels pass complete short left to Luke McCaffrey for 13 yards (tackle by Tristin McCollum),0.670,1.530
4,9:51,1,10,WAS 39,27,21,Jayden Daniels pass incomplete deep right intended for Dyami Brown (defended by Isaiah Rodgers),1.530,0.990
4,9:44,2,10,WAS 39,27,21,Jayden Daniels pass complete short middle to Zach Ertz for 12 yards (tackle by Reed Blankenship),0.990,2.320
4,9:18,1,10,PHI 49,27,27,Jayden Daniels pass complete deep right to Olamide Zaccheaus for 49 yards touchdown Penalty on PHI: Defensive Too Many Men on Field 5 yards (declined),2.320,7.000
4,9:06,,,PHI 15,27,28,Zane Gonzalez kicks extra point good,0.000,0.000
4,9:06,,,WAS 35,27,28,Zane Gonzalez kicks off 56 yards returned by Isaiah Rodgers for 25 yards (tackle by Mykal Walker),0.000,1.200
4,9:01,1,10,PHI 34,27,28,Saquon Barkley left tackle for 5 yards (tackle by Javontae Jean-Baptiste and Noah Igbinoghene),1.200,1.330
4,8:24,2,5,PHI 39,27,28,Saquon Barkley right tackle for 4 yards (tackle by Javontae Jean-Baptiste),1.330,1.160
4,7:44,3,1,PHI 43,27,28,Kenny Pickett pass incomplete short right intended for A.J. Brown (defended by Marshon Lattimore),1.160,-0.520
4,7:39,4,1,PHI 43,27,28,Kenny Pickett pass complete short left to DeVonta Smith for 4 yards (tackle by Mike Sainristil and Quan Martin),-0.520,2.060
4,7:00,1,10,PHI 47,27,28,Kenny Pickett pass incomplete deep right intended for Saquon Barkley (defended by Bobby Wagner),2.060,1.520
4,6:52,2,10,PHI 47,27,28,Saquon Barkley left tackle for 3 yards (tackle by Sheldon Day),1.520,1.220
4,6:15,3,7,PHI 50,27,28,Kenny Pickett pass incomplete short left intended for A.J. Brown,1.220,-0.060
4,6:10,4,7,PHI 50,27,28,Kenny Pickett pass complete short right to A.J. Brown for 15 yards (tackle by Frankie Luvu),-0.060,3.250
4,5:27,1,10,WAS 35,27,28,Saquon Barkley left guard for 1 yard (tackle by Carl Davis and Frankie Luvu),3.250,2.840
4,4:48,2,9,WAS 34,27,28,Kenny Pickett sacked by Jalyn Holmes for -6 yards,2.840,1.350
4,4:02,3,15,WAS 40,27,28,Kenny Pickett scrambles up the middle for 8 yards (tackle by Percy Butler),1.350,1.240
4,3:53,,,,,,Timeout #1 by Washington Commanders,,
4,3:53,4,7,WAS 32,30,28,Jake Elliott 50 yard field goal good,1.240,3.000
4,3:48,,,PHI 35,30,28,Braden Mann kicks off 63 yards returned by Luke McCaffrey for 33 yards (tackle by Tristin McCollum),0.000,1.270
4,3:41,1,10,WAS 35,30,28,Jayden Daniels pass incomplete deep right intended for John Bates,1.270,0.720
4,3:36,2,10,WAS 35,30,28,Jayden Daniels pass complete short middle to Jeremy McNichols for 5 yards (tackle by Nakobe Dean),0.720,0.700
4,3:06,3,5,WAS 40,30,28,Jayden Daniels pass short middle (defended by Darius Slay) intended for Luke McCaffrey is intercepted by Reed Blankenship at PHI-45 and returned for 28 yards (tackle by Jeremy McNichols),0.700,-3.780
4,2:53,1,10,WAS 27,30,28,Saquon Barkley right end for -3 yards (tackle by Jer'Zhan Newton),3.780,2.830
4,2:13,2,13,WAS 30,30,28,Kenny Pickett pass complete short middle to A.J. Brown for 8 yards (tackle by Benjamin St-Juste),2.830,3.200
4,2:07,,,,,,Timeout #2 by Washington Commanders,,
4,2:07,3,5,WAS 22,30,28,Kenny Pickett pass incomplete short middle intended for DeVonta Smith,3.200,2.040
4,2:02,4,5,WAS 22,33,28,Jake Elliott 40 yard field goal good,2.040,3.000
4,1:58,,,PHI 35,33,28,Braden Mann kicks off 56 yards returned by Luke McCaffrey for 29 yards (tackle by Jalyx Hunt and Oren Burks). Penalty on Sydney Brown: Illegal Formation 5 yards (accepted),0.000,1.800
4,1:52,1,10,WAS 43,33,28,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 7 yards (tackle by Darius Slay),1.800,2.200
4,1:35,2,3,WAS 50,33,28,Brian Robinson right end for 5 yards (tackle by Zack Baun),2.200,2.590
4,1:12,1,10,PHI 45,33,28,Jayden Daniels pass complete short left to Terry McLaurin for 10 yards,2.590,3.250
4,1:06,1,10,PHI 35,33,28,Jayden Daniels up the middle for 12 yards (tackle by Tristin McCollum),3.250,4.040
4,0:44,1,10,PHI 23,33,28,Jayden Daniels pass complete short middle to Terry McLaurin for 7 yards (tackle by Reed Blankenship),4.040,4.560
4,0:28,2,3,PHI 16,33,28,Jayden Daniels up the middle for 2 yards (tackle by Nolan Smith and Zack Baun),4.560,4.280
4,0:23,,,,,,Timeout #3 by Washington Commanders,,
4,0:23,3,1,PHI 14,33,28,Brian Robinson right tackle for 5 yards (tackle by Zack Baun and Nakobe Dean),4.280,5.140
4,0:11,1,9,PHI 9,33,28,Jayden Daniels spiked the ball,5.140,4.380
4,0:10,2,9,PHI 9,33,34,Jayden Daniels pass complete short middle to Jamison Crowder for 9 yards touchdown,4.380,7.000
4,0:06,,,PHI 2,33,36,Two Point Attempt: Jeremy McNichols rushes conversion succeeds.,1.000,1.000
4,0:06,,,WAS 35,33,36,Zane Gonzalez kicks off 57 yards returned by Kenneth Gainwell for 12 yards lateral to Avonte Maddox for 4 yards. Avonte Maddox fumbles (tackle by Jeremy Reaves recovered by Benjamin St-Juste at PHI-24,0.000,4.240
