Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
4,12:01,4,7,CHI 31,34,17,Caleb Williams pass complete short middle to Keenan Allen for 10 yards (tackle by Terrion Arnold),-1.310,1.660
4,11:33,1,10,CHI 41,34,17,Caleb Williams pass complete short right to Keenan Allen for 10 yards (tackle by Terrion Arnold and Ben Niemann),1.660,2.320
4,11:03,1,10,DET 49,34,17,Caleb Williams pass complete deep right to Keenan Allen for 22 yards (tackle by Brian Branch),2.320,3.780
4,10:27,1,10,DET 27,34,17,Penalty on DET: Defensive Too Many Men on Field 5 yards (accepted) (no play),3.780,4.510
4,10:08,1,5,DET 22,34,17,Caleb Williams pass incomplete deep right,4.510,3.910
4,9:54,2,5,DET 22,34,17,Caleb Williams pass complete short left to D.J. Moore for -1 yards (tackle by Brian Branch and Jack Campbell),3.910,3.070
4,9:09,3,6,DET 23,34,17,Penalty on Jake Curhan: False Start 5 yards (accepted) (no play),3.070,2.410
4,9:09,3,11,DET 28,34,17,Caleb Williams sacked by Al-Quadin Muhammad for -9 yards,2.410,0.790
4,8:21,4,20,DET 37,34,17,Penalty on CHI: Delay of Game 5 yards (accepted) (no play),0.790,0.460
4,8:21,4,25,DET 42,34,17,Tory Taylor punts 30 yards fair catch by Tom Kennedy at DET-12,0.460,0.350
4,8:13,1,10,DET 12,34,17,Jahmyr Gibbs left guard for 5 yards (tackle by Darrell Taylor and T.J. Edwards),-0.350,-0.230
4,7:29,2,5,DET 17,34,17,Jahmyr Gibbs right guard for 3 yards (tackle by DeMarcus Walker),-0.230,-0.480
4,6:39,3,2,DET 20,34,17,Penalty on Christian Mahogany: False Start 5 yards (accepted) (no play),-0.480,-1.070
4,6:39,3,7,DET 15,34,17,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards,-1.070,0.480
4,6:02,1,10,DET 23,34,17,Craig Reynolds right guard for 4 yards (tackle by Byron Cowart),0.480,0.470
4,5:54,,,,,,Timeout #1 by Chicago Bears,,
4,5:54,2,6,DET 27,34,17,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,0.470,-0.230
