Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
3,15:00,1,10,MIA 30,10,13,De'Von Achane left guard for 1 yard (tackle by Dee Winters). Penalty on Talanoa Hufanga: Unnecessary Roughness / Defense 15 yards (accepted),0.940,1.990
3,14:30,1,10,MIA 46,10,13,Tua Tagovailoa pass incomplete short middle intended for De'Von Achane (defended by Dee Winters),1.990,1.450
3,14:25,2,10,MIA 46,10,13,Tua Tagovailoa pass complete short right to Jonnu Smith for 8 yards (tackle by Talanoa Hufanga and Nick Bosa),1.450,1.820
3,13:41,3,2,SFO 46,10,13,Jeff Wilson up the middle for 6 yards (tackle by Kalia Davis and Charvarius Ward),1.820,2.920
3,12:58,1,10,SFO 40,10,13,Jeff Wilson left end for 6 yards (tackle by Deommodore Lenoir and Dee Winters),2.920,3.180
3,12:15,2,4,SFO 34,10,13,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill (defended by Charvarius Ward),3.180,2.480
3,12:09,3,4,SFO 34,10,13,Tua Tagovailoa pass complete short middle to Tyreek Hill for no gain (tackle by Talanoa Hufanga). Penalty on Aaron Brewer: Offensive Holding 10 yards (accepted) (no play),2.480,1.160
3,11:44,3,14,SFO 44,10,13,Tua Tagovailoa pass complete short left to De'Von Achane for 8 yards (tackle by Renardo Green),1.160,0.880
3,11:01,4,6,SFO 36,10,16,Jason Sanders 54 yard field goal good,0.880,3.000
3,10:57,,,MIA 35,10,16,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,10:57,1,10,SFO 30,10,16,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Kendall Fuller),0.940,1.660
3,10:22,1,10,SFO 41,10,16,Patrick Taylor right guard for 3 yards (tackle by Calais Campbell),1.660,1.530
3,9:40,2,7,SFO 44,10,16,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),1.530,1.620
3,9:16,3,1,MIA 50,10,16,Brock Purdy up the middle for 2 yards (tackle by Zach Sieler),1.620,2.390
3,8:38,1,10,MIA 48,10,16,Brock Purdy pass complete short middle to George Kittle for 28 yards (tackle by Anthony Walker and Elijah Campbell),2.390,4.240
3,7:58,1,10,MIA 20,10,16,Patrick Taylor right tackle for no gain (tackle by Zach Sieler and Da'Shawn Hand) (no play),4.240,3.910
3,7:34,1,15,MIA 25,10,16,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Kendall Fuller),3.910,3.020
3,7:30,2,15,MIA 25,10,16,Brock Purdy scrambles up the middle for 7 yards (tackle by Jordyn Brooks and Anthony Walker),3.020,3.220
3,6:47,3,8,MIA 18,10,16,Brock Purdy pass complete short middle to Deebo Samuel for no gain (tackle by Anthony Walker and Jordan Poyer) (no play),3.220,2.610
3,6:01,3,13,MIA 23,10,16,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,2.610,1.930
3,5:56,4,13,MIA 23,10,16,Jake Moody 41 yard field goal no good,1.930,-1.000
3,5:53,1,10,MIA 31,10,16,Raheem Mostert left end for 7 yards (tackle by Renardo Green),1.000,1.410
3,5:25,2,3,MIA 38,10,16,Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Kalia Davis and Dee Winters),1.410,0.960
3,4:36,3,1,MIA 40,10,16,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Sam Okuayinonu),0.960,1.730
3,3:56,1,10,MIA 42,10,16,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by Renardo Green),1.730,2.520
3,3:20,1,10,SFO 46,10,16,Tua Tagovailoa pass complete short middle to Jonnu Smith for 22 yards (tackle by Ji'Ayir Brown),2.520,3.970
3,2:37,1,10,SFO 24,10,16,Tua Tagovailoa aborted snap recovered by Tua Tagovailoa at SF-25 and returned for -1 yards,3.970,3.300
3,2:00,2,11,SFO 25,10,16,Tua Tagovailoa pass complete short left to Jonnu Smith for 10 yards (tackle by Deommodore Lenoir),3.300,4.170
3,1:16,3,1,SFO 15,10,16,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill (defended by Renardo Green),4.170,2.590
3,1:11,4,1,SFO 15,10,19,Jason Sanders 33 yard field goal good,2.590,3.000
3,1:08,,,MIA 35,10,19,Jason Sanders kicks off 25 yards out of bounds. Penalty on Jason Sanders: Kickoff Out of Bounds (accepted),0.000,1.600
3,1:08,1,10,SFO 40,10,19,Brock Purdy pass complete short left to Deebo Samuel for 9 yards (tackle by Jordan Poyer and Jordyn Brooks),1.600,2.270
3,0:31,2,1,SFO 49,10,19,Deebo Samuel up the middle for 13 yards (tackle by Jordan Poyer),2.270,3.050
4,15:00,1,10,MIA 38,10,19,Patrick Taylor right guard for 4 yards (tackle by Benito Jones),3.050,3.050
