Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
3,12:18,3,3,MIN 47,17,14,Geno Smith pass incomplete deep right intended for Tyler Lockett. Penalty on Stephon Gilmore: Defensive Pass Interference 20 yards (accepted) (no play),1.690,3.780
3,12:12,1,10,MIN 27,17,14,Kenneth Walker up the middle for no gain (tackle by Harrison Phillips). Penalty on Jake Bobo: Illegal Shift 5 yards (accepted) (no play),3.780,3.450
3,12:06,1,15,MIN 32,17,14,Geno Smith pass complete short left to Kenneth Walker for -1 yards (tackle by Blake Cashman),3.450,2.420
3,11:29,2,16,MIN 33,17,14,Geno Smith pass complete short middle to Kenneth Walker for 8 yards (tackle by Blake Cashman),2.420,2.810
3,10:48,3,8,MIN 25,17,14,Geno Smith pass incomplete deep right intended for D.K. Metcalf,2.810,1.800
3,10:41,4,8,MIN 25,17,17,Jason Myers 43 yard field goal good,1.800,3.000
3,10:37,,,SEA 35,17,17,Jason Myers kicks off 65 yards touchback.,0.000,0.940
3,10:37,1,10,MIN 30,17,17,Aaron Jones right end for no gain (tackle by Rayshawn Jenkins). Penalty on Leonard Williams: Defensive Holding 5 yards (accepted) (no play),0.940,1.270
3,10:09,1,10,MIN 35,17,17,Sam Darnold pass complete short right to Justin Jefferson for 5 yards (tackle by Devon Witherspoon),1.270,1.400
3,9:38,2,5,MIN 40,17,17,Aaron Jones left guard for 4 yards (tackle by Ernest Jones),1.400,1.220
3,8:44,3,1,MIN 44,17,17,Sam Darnold up the middle for 2 yards (tackle by Ernest Jones) (no play),1.220,0.560
3,8:26,3,6,MIN 39,17,17,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Riq Woolen),0.560,2.130
3,7:48,1,10,MIN 48,17,17,Sam Darnold pass complete deep middle to T.J. Hockenson for 19 yards (tackle by Rayshawn Jenkins). Penalty on Rayshawn Jenkins: Defensive Holding 5 yards (declined) . Penalty on Riq Woolen: Defensive Holding 5 yards (declined),2.130,3.380
3,7:40,1,10,SEA 33,17,17,Sam Darnold pass incomplete short left intended for Josh Oliver,3.380,2.840
3,7:13,2,10,SEA 33,17,17,Aaron Jones right guard for 3 yards (tackle by Leonard Williams and Ernest Jones),2.840,2.540
3,6:35,3,7,SEA 30,17,17,Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Jarran Reed),2.540,1.410
3,6:29,4,7,SEA 30,20,17,Will Reichard 48 yard field goal good,1.410,3.000
3,6:25,,,MIN 35,20,17,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,6:25,1,10,SEA 30,20,17,Kenneth Walker up the middle for 2 yards (tackle by Blake Cashman and Harrison Phillips),0.940,0.660
3,5:46,2,8,SEA 32,20,17,Geno Smith pass complete short right to Jaxon Smith-Njigba for 1 yard (tackle by Byron Murphy and Dallas Turner),0.660,0.100
3,4:58,3,7,SEA 33,20,17,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,0.100,-1.180
3,4:52,4,7,SEA 33,20,17,Michael Dickson punts 51 yards fair catch by Brandon Powell at MIN-16,-1.180,0.140
3,4:45,1,10,MIN 16,20,17,Aaron Jones right tackle for 5 yards (tackle by Johnathan Hankins),-0.140,0.150
3,4:11,2,5,MIN 21,20,17,Sam Darnold pass complete short left to Jalen Nailor for 5 yards (tackle by Josh Jobe),0.150,0.670
3,3:40,1,10,MIN 26,20,17,Sam Darnold pass complete deep left to Justin Jefferson for 27 yards (tackle by Josh Jobe),0.670,2.460
3,2:56,1,10,SEA 47,20,17,Aaron Jones right guard for 1 yard (tackle by Coby Bryant and Uchenna Nwosu),2.460,2.050
3,2:14,2,9,SEA 46,20,17,Sam Darnold pass incomplete short left intended for Justin Jefferson,2.050,1.350
3,2:08,3,9,SEA 46,20,17,Sam Darnold pass incomplete short right intended for T.J. Hockenson,1.350,0.200
3,2:05,4,9,SEA 46,20,17,Ryan Wright punts 38 yards fair catch by Jaelon Darden at SEA-8,0.200,0.380
3,1:58,1,10,SEA 8,20,17,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 16 yards (tackle by Camryn Bynum and Josh Metellus),-0.380,0.540
3,1:27,1,10,SEA 24,20,17,Geno Smith pass incomplete short right intended for Noah Fant,0.540,0.000
3,1:23,2,10,SEA 24,20,17,Geno Smith pass incomplete short right,0.000,-0.690
3,1:16,3,10,SEA 24,20,17,Geno Smith pass complete short right to Zach Charbonnet for 13 yards (tackle by Blake Cashman),-0.690,1.400
3,0:49,1,10,SEA 37,20,17,Geno Smith pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Byron Murphy and Blake Cashman),1.400,1.400
3,0:22,2,6,SEA 41,20,17,Kenneth Walker left guard for 5 yards (tackle by Blake Cashman),1.400,1.360
4,15:00,3,1,SEA 46,20,17,Geno Smith pass incomplete short left intended for Noah Fant (defended by Blake Cashman) (defended by Levi Drake Rodriguez),1.360,-0.320
4,14:55,4,1,SEA 46,20,17,Julian Love up the middle for 2 yards (tackle by Josh Metellus and Patrick Jones),-0.320,2.130
4,14:03,1,10,SEA 48,20,17,Penalty on MIN: Defensive Too Many Men on Field 5 yards (accepted) (no play),2.130,2.860
4,13:56,1,5,MIN 47,20,17,Geno Smith pass complete short left to Kenneth Walker for -6 yards (tackle by Jonathan Greenard),2.860,1.450
4,13:11,2,11,SEA 47,20,17,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,1.450,0.760
4,13:07,,,,,,Timeout #1 by Seattle Seahawks,,
4,13:07,3,11,SEA 47,20,17,Geno Smith sacked by Andrew Van Ginkel for -6 yards,0.760,-0.650
4,12:30,4,17,SEA 41,20,17,Michael Dickson punts 59 yards touchback.,-0.650,-0.280
