Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
3,7:02,3,4,CIN 37,0,17,Dorian Thompson-Robinson pass incomplete short right intended for Jerry Jeudy. Penalty on Marco Wilson: Defensive Pass Interference 1 yard (accepted) (no play),2.280,3.180
3,7:02,1,10,CIN 36,0,17,Dorian Thompson-Robinson pass complete short right to David Njoku for 29 yards (tackle by Germaine Pratt),3.180,5.600
3,6:17,1,7,CIN 7,0,17,Jerome Ford left guard for 3 yards (tackle by B.J. Hill and Akeem Davis-Gaither),5.600,5.340
3,5:53,2,4,CIN 4,6,17,Jerome Ford right tackle for 4 yards touchdown,5.340,7.000
3,5:50,,,CIN 15,6,17,Dustin Hopkins kicks extra point no good,0.000,-1.000
3,5:50,,,CLE 35,6,17,Dustin Hopkins kicks off 60 yards returned by Jermaine Burton for 21 yards (tackle by Mohamoud Diabate),0.000,0.670
3,5:42,1,10,CIN 26,6,17,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Devin Bush),0.670,0.130
3,5:38,2,10,CIN 26,6,17,Joe Burrow pass complete short right to Tee Higgins for 3 yards (tackle by Denzel Ward),0.130,-0.160
3,5:09,3,7,CIN 29,6,17,Joe Burrow sacked by Grant Delpit for -9 yards,-0.160,-2.030
3,4:28,4,16,CIN 20,6,17,Ryan Rehkow punts 62 yards returned by James Proche for 18 yards (tackle by Maema Njongmeta and Drew Sample),-2.030,-1.330
3,4:14,1,10,CLE 36,6,17,Pierre Strong right end for no gain (tackle by Jordan Battle),1.330,0.790
3,3:36,2,10,CLE 36,6,17,Dorian Thompson-Robinson pass complete short middle to Jerry Jeudy for 15 yards (tackle by Cam Taylor-Britt),0.790,2.320
3,2:55,1,10,CIN 49,6,17,Dorian Thompson-Robinson pass complete short right to David Njoku for 1 yard (tackle by Germaine Pratt),2.320,1.920
3,2:14,2,9,CIN 48,6,17,Dorian Thompson-Robinson pass incomplete short left intended for Jerry Jeudy. Penalty on Joseph Ossai: Roughing the Passer 15 yards (accepted) (no play),1.920,3.380
3,2:14,1,10,CIN 33,6,17,Jerome Ford left end for -3 yards (tackle by Jordan Battle),3.380,2.430
3,1:36,2,13,CIN 36,6,17,Dorian Thompson-Robinson scrambles left end for 14 yards (tackle by B.J. Hill),2.430,4.110
3,0:53,1,10,CIN 22,6,17,Jerome Ford right guard for 7 yards (tackle by Germaine Pratt and Jay Tufele),4.110,4.750
3,0:23,2,2,CIN 15,6,17,Jerome Ford up the middle for 4 yards (tackle by Akeem Davis-Gaither),4.750,4.840
4,14:54,1,10,CIN 11,6,17,Dorian Thompson-Robinson right end for 6 yards touchdown. Penalty on Jordan Akins: Offensive Holding 10 yards (accepted),4.840,4.410
4,14:54,1,14,CIN 15,6,17,Dorian Thompson-Robinson pass incomplete short middle intended for Jerry Jeudy,4.410,3.560
4,14:51,2,14,CIN 15,6,17,Dorian Thompson-Robinson pass complete short left to Jerome Ford for 3 yards (tackle by Geno Stone). Penalty on Jamari Thrash: Offensive Holding 10 yards (accepted),3.560,2.800
4,14:28,2,21,CIN 22,6,17,Dorian Thompson-Robinson left tackle for 14 yards. Dorian Thompson-Robinson fumbles (forced by Joseph Ossai) recovered by Dorian Thompson-Robinson at CIN-8,2.800,3.760
4,13:40,3,7,CIN 8,6,17,Dorian Thompson-Robinson pass short left (defended by Geno Stone) intended for David Njoku is intercepted by Jordan Battle in end zone and returned for no gain,3.760,-0.280
4,13:32,1,10,CIN 20,6,17,Chase Brown right tackle for 5 yards (tackle by Devin Bush),0.280,0.410
4,12:58,2,5,CIN 25,6,17,Joe Burrow sacked by Michael Hall for -5 yards,0.410,-0.960
4,12:11,3,10,CIN 20,6,17,Joe Burrow pass complete short left to Mike Gesicki for 9 yards (tackle by Grant Delpit),-0.960,-1.440
4,11:26,,,,,,Timeout #1 by Cincinnati Bengals,,
4,11:26,4,1,CIN 29,6,17,Ryan Rehkow punts 56 yards fair catch by James Proche at CLE-15,-1.440,0.220
4,11:20,1,10,CLE 15,6,17,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 11 yards (tackle by Maema Njongmeta),-0.220,0.670
4,10:44,1,10,CLE 26,6,17,Jerome Ford right guard for 5 yards (tackle by Akeem Davis-Gaither and B.J. Hill),0.670,0.810
4,10:16,2,5,CLE 31,6,17,Dorian Thompson-Robinson pass complete short right to David Njoku for 7 yards (tackle by Maema Njongmeta),0.810,1.470
4,9:51,1,10,CLE 38,6,17,Jerome Ford left tackle for 2 yards (tackle by B.J. Hill and Trey Hendrickson),1.470,1.260
4,9:09,2,7,CLE 40,6,17,Dorian Thompson-Robinson pass complete short left to Pierre Strong for 1 yard (tackle by Cam Taylor-Britt),1.260,0.700
4,8:29,3,6,CLE 41,6,17,Dorian Thompson-Robinson pass deep right (defended by DJ Ivey) intended for David Njoku is intercepted by Geno Stone at CIN-33 and returned for no gain (tackle by David Njoku),0.700,-1.140
4,8:20,1,10,CIN 33,6,17,Chase Brown left tackle for 9 yards (tackle by Devin Bush),1.140,1.810
4,7:39,2,1,CIN 42,6,17,Chase Brown left tackle for 4 yards (tackle by Juan Thornhill),1.810,1.990
4,7:05,1,10,CIN 46,6,17,Joe Burrow pass complete deep right to Andrei Iosivas for 32 yards (tackle by Denzel Ward),1.990,4.110
4,6:19,1,10,CLE 22,6,17,Joe Burrow pass complete short left to Ja'Marr Chase for 15 yards (tackle by Juan Thornhill). Penalty on Martin Emerson: Face Mask (15 Yards) 4 yards (accepted),4.110,6.510
4,5:52,1,3,CLE 3,6,17,Chase Brown up the middle for 2 yards (tackle by Jordan Hicks and Michael Hall),6.510,5.910
4,5:11,2,1,CLE 1,6,17,Chase Brown right tackle for no gain (tackle by Michael Hall),5.910,5.170
4,4:34,3,1,CLE 1,6,17,Joe Burrow sacked by Isaiah McGuire for -20 yards. Joe Burrow fumbles (forced by Isaiah McGuire) recovered by Jowon Briggs at CLE-21 (tackle by Isaiah McGuire),5.170,-0.340
4,4:27,1,10,CLE 21,6,17,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 3 yards (tackle by Mike Hilton),0.340,0.210
4,3:53,2,7,CLE 24,6,17,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 15 yards,0.210,1.530
4,3:48,1,10,CLE 39,6,17,Dorian Thompson-Robinson pass complete short right to Elijah Moore for 6 yards,1.530,1.800
4,3:42,2,4,CLE 45,6,17,Dorian Thompson-Robinson sacked by Kris Jenkins for -4 yards,1.800,0.560
4,3:09,3,8,CLE 41,6,17,Dorian Thompson-Robinson pass incomplete deep left,0.560,-0.650
4,3:00,4,8,CLE 41,6,17,Dorian Thompson-Robinson pass complete short left to David Njoku for 12 yards,-0.650,2.460
4,2:50,1,10,CIN 47,6,17,Dorian Thompson-Robinson pass complete short left to David Njoku for 2 yards (tackle by Jordan Battle),2.460,2.180
4,2:22,2,8,CIN 45,6,17,Dorian Thompson-Robinson pass incomplete short left. Penalty on Dorian Thompson-Robinson: Intentional Grounding 12 yards (accepted),2.180,-0.100
4,2:15,3,20,CLE 43,6,17,Dorian Thompson-Robinson sacked by McKinnley Jackson for -7 yards,-0.100,-0.980
4,2:00,4,27,CLE 36,6,17,Dorian Thompson-Robinson pass incomplete short middle intended for Michael Woods,-0.980,-3.180
4,1:54,1,10,CLE 36,6,17,Chase Brown right tackle for 4 yards (tackle by Mohamoud Diabate and Grant Delpit),3.180,3.180
4,1:49,,,,,,Timeout #1 by Cleveland Browns,,
4,1:49,2,6,CLE 32,6,23,Joe Burrow pass complete deep left to Ja'Marr Chase for 32 yards touchdown. Penalty on Myles Garrett: Defensive Offside 5 yards (declined),3.180,7.000
4,1:44,,,CLE 15,6,24,Cade York kicks extra point good,0.000,0.000
4,1:44,,,CIN 35,6,24,Cade York kicks off 65 yards touchback.,0.000,0.940
4,1:44,1,10,CLE 30,6,24,Dorian Thompson-Robinson pass complete short middle to Jerome Ford for 10 yards (tackle by Joseph Ossai),0.940,1.600
4,1:10,1,10,CLE 40,6,24,Dorian Thompson-Robinson pass incomplete short middle intended for Michael Woods. Penalty on Josh Newton: Defensive Pass Interference 9 yards (accepted) (no play),1.600,2.190
4,1:10,1,10,CLE 49,6,24,Dorian Thompson-Robinson pass incomplete short right,2.190,1.650
4,1:07,2,10,CLE 49,6,24,Dorian Thompson-Robinson pass incomplete deep right intended for Jordan Akins,1.650,0.960
4,1:03,3,10,CLE 49,6,24,Dorian Thompson-Robinson sacked by Joseph Ossai for -6 yards,0.960,-0.520
4,0:26,4,16,CLE 43,6,24,Dorian Thompson-Robinson pass incomplete deep middle intended for Elijah Moore (defended by Akeem Davis-Gaither),-0.520,-2.720
4,0:22,1,10,CLE 43,6,24,Jake Browning kneels for -1 yards,2.720,2.040
