Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
3,4:33,1,10,IND 39,7,38,Tyjae Spears up the middle for 4 yards (tackle by Zaire Franklin). Penalty on Jaylon Jones: Face Mask (15 Yards) 15 yards (accepted),2.980,4.240
3,4:11,1,10,IND 20,7,38,Mason Rudolph pass complete short left to Tyjae Spears for 3 yards (tackle by Jaylon Jones),4.240,4.120
3,3:36,2,7,IND 17,7,38,Tyjae Spears up the middle for 6 yards (tackle by Julian Blackmon),4.120,4.590
3,3:02,3,1,IND 11,13,38,Tyjae Spears left guard for 11 yards touchdown,4.590,7.000
3,2:57,,,IND 15,13,38,Penalty on Raekwon Davis: Unsportsmanlike Conduct / Defense 1 yard (accepted),0.000,1.000
3,2:57,,,IND 1,15,38,Two Point Attempt: Tony Pollard rushes conversion succeeds.,1.000,1.000
3,2:57,,,TEN 35,15,38,Brayden Narveson kicks off 68 yards returned by Anthony Gould for 26 yards (tackle by David Martin-Robinson and Julius Chestnut),0.000,0.480
3,2:52,1,10,IND 23,15,38,Trey Sermon right tackle for 2 yards (tackle by Keondre Coburn and James Lynch),0.480,0.200
3,2:07,2,8,IND 25,15,38,Trey Sermon left tackle for 7 yards (tackle by Cedric Gray),0.200,0.430
3,1:25,3,1,IND 32,15,38,Trey Sermon left tackle for 4 yards (tackle by Cedric Gray and Jarvis Brownlee),0.430,1.330
3,0:42,1,10,IND 36,15,38,Tyler Goodson left guard for 6 yards (tackle by Jeffery Simmons),1.330,1.600
4,15:00,2,4,IND 42,15,38,Tyler Goodson left guard for 7 yards (tackle by James Williams),1.600,2.190
4,14:17,1,10,IND 49,15,38,Tyler Goodson up the middle for 7 yards (tackle by James Williams),2.190,2.590
4,13:34,2,3,TEN 44,15,38,Tyler Goodson left tackle for 2 yards (tackle by Harold Landry),2.590,2.150
4,12:51,3,1,TEN 42,15,38,Anthony Richardson left guard for 2 yards (tackle by Cedric Gray and Daryl Worley),2.150,2.920
4,12:04,1,10,TEN 40,15,38,Trey Sermon left tackle for 2 yards (tackle by Harold Landry and T'Vondre Sweat),2.920,2.640
4,11:20,2,8,TEN 38,15,38,Anthony Richardson pass incomplete short middle intended for Josh Downs,2.640,1.950
4,11:16,3,8,TEN 38,15,38,Trey Sermon right tackle for 1 yard (tackle by Cedric Gray and Mike Brown),1.950,0.790
4,10:35,4,7,TEN 37,15,38,Matt Gay 55 yard field goal no good,0.790,-1.930
4,10:30,1,10,TEN 45,15,38,Mason Rudolph pass incomplete short left,1.930,1.380
4,10:26,2,10,TEN 45,15,38,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 12 yards (tackle by Jaylon Jones),1.380,2.720
