Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
3,12:53,2,5,DAL 46,14,23,Bucky Irving right tackle for 5 yards (tackle by Mazi Smith),2.320,2.850
3,12:13,1,10,DAL 41,14,23,Baker Mayfield pass complete short middle to Payne Durham for 3 yards. Payne Durham fumbles (forced by Marist Liufau) (tackle by Marist Liufau and Nick Vigil) recovered by Baker Mayfield at DAL-38,2.850,2.710
3,11:29,2,7,DAL 38,14,23,Baker Mayfield pass complete short middle to Bucky Irving for 12 yards (tackle by Donovan Wilson and DaRon Bland),2.710,3.840
3,10:47,1,10,DAL 26,14,23,Bucky Irving left tackle for 1 yard (tackle by Linval Joseph and Marist Liufau),3.840,3.430
3,10:04,2,9,DAL 25,14,23,Baker Mayfield pass incomplete deep right intended for Mike Evans (defended by DaRon Bland). Penalty on Luke Goedeke: Offensive Holding 10 yards (accepted) (no play),3.430,2.080
3,9:42,2,19,DAL 35,14,23,Baker Mayfield sacked by Micah Parsons for -12 yards. Baker Mayfield fumbles ball out of bounds at TB-44 (forced by Micah Parsons) recovered by Nick Vigil at TB-44 Replay Assistant challenged the fumble ruling and the original play was overturned. Baker Mayfield sacked by Micah Parsons for -12 yards. Baker Mayfield fumbles ball out of bounds at TB-44 (forced by Micah Parsons),2.080,-1.350
3,9:25,3,40,TAM 44,14,23,Baker Mayfield pass incomplete short middle intended for Payne Durham (defended by Marist Liufau),-1.350,-0.460
3,9:19,4,40,TAM 44,14,23,Jack Browning punts 39 yards returned by KaVontae Turpin for 18 yards (tackle by J.J. Russell),-0.460,-1.270
3,9:07,1,10,DAL 35,14,23,Cooper Rush pass complete deep left to Ryan Flournoy for 26 yards (tackle by Christian Izien),1.270,2.980
3,8:23,1,10,TAM 39,14,23,Penalty on Brock Hoffman: False Start 5 yards (accepted) (no play),2.980,2.650
3,8:08,1,15,TAM 44,14,23,Rico Dowdle up the middle for -1 yards (tackle by Calijah Kancey and Vita Vea),2.650,1.630
3,7:31,2,16,TAM 45,14,23,Cooper Rush pass complete short left to Rico Dowdle for 10 yards (tackle by Jamel Dean and Christian Izien),1.630,2.280
3,6:49,3,6,TAM 35,14,23,Cooper Rush pass incomplete deep left,2.280,0.970
3,6:38,4,6,TAM 35,14,26,Brandon Aubrey 53 yard field goal good,0.970,3.000
3,6:33,,,DAL 35,14,26,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,6:33,1,10,TAM 30,14,26,Sterling Shepard right end for 14 yards (tackle by Jourdan Lewis),0.940,1.860
3,5:56,1,10,TAM 44,14,26,Baker Mayfield pass incomplete deep middle intended for Trey Palmer,1.860,1.320
3,5:47,2,10,TAM 44,14,26,Baker Mayfield pass complete short middle to Ryan Miller for 4 yards (tackle by DaRon Bland),1.320,1.160
3,5:10,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
3,5:10,3,6,TAM 48,14,26,Baker Mayfield pass complete short left to Jalen McMillan for 6 yards (tackle by Micah Parsons and Amani Oruwariye),1.160,2.520
3,4:25,1,10,DAL 46,14,26,Bucky Irving right tackle for no gain (tackle by Jourdan Lewis and Marshawn Kneeland),2.520,1.980
3,3:41,2,10,DAL 46,14,26,Baker Mayfield pass incomplete deep right intended for Mike Evans (defended by Donovan Wilson),1.980,1.290
3,3:32,3,10,DAL 46,14,26,Baker Mayfield pass complete short left to Rachaad White for 17 yards (tackle by Jourdan Lewis),1.290,3.640
3,2:49,1,10,DAL 29,14,26,Bucky Irving left tackle for 1 yard (tackle by Linval Joseph and Carlos Watkins),3.640,3.240
3,2:06,2,9,DAL 28,14,26,Baker Mayfield sacked by Linval Joseph for -6 yards,3.240,1.750
3,1:20,3,15,DAL 34,14,26,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Amani Oruwariye),1.750,1.670
3,0:34,4,8,DAL 27,17,26,Chase McLaughlin 45 yard field goal good,1.670,3.000
3,0:31,,,TAM 35,17,26,Chase McLaughlin kicks off 65 yards touchback.,0.000,0.940
3,0:31,1,10,DAL 30,17,26,Rico Dowdle left tackle for 2 yards (tackle by Lavonte David),0.940,0.660
4,15:00,2,8,DAL 32,17,26,Cooper Rush pass complete short middle to Ryan Flournoy for 14 yards (tackle by J.J. Russell),0.660,1.990
4,14:30,1,10,DAL 46,17,26,Rico Dowdle right end for 1 yard (tackle by Greg Gaines and J.J. Russell),1.990,1.590
4,13:50,2,9,DAL 47,17,26,Rico Dowdle left end for no gain (tackle by Lavonte David). Penalty on Tyler Smith: Offensive Holding 10 yards (accepted) (no play),1.590,0.240
4,13:21,2,19,DAL 37,17,26,Cooper Rush pass complete short middle to KaVontae Turpin for no gain (tackle by Joe Tryon-Shoyinka). Penalty on Brock Hoffman: Offensive Holding 10 yards (offset) . Penalty on Tykee Smith: Illegal Use of Hands / Defense 5 yards (offset) (no play),0.240,0.240
