Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
2,1:25,2,10,JAX 25,7,13,Mac Jones pass complete short middle to Travis Etienne for 4 yards (tackle by Tre'von Moehrig),0.060,-0.100
2,0:49,3,6,JAX 29,7,13,Mac Jones pass complete short left to Brian Thomas for 7 yards (tackle by Darnay Holmes and Tre'von Moehrig),-0.100,1.330
2,0:42,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:42,1,10,JAX 36,7,13,Mac Jones pass complete short middle to Brian Thomas for 4 yards (tackle by Robert Spillane),1.330,1.330
2,0:23,2,6,JAX 40,7,13,Mac Jones pass complete short right to Parker Washington for 17 yards (tackle by Isaiah Pola-Mao and Robert Spillane),1.330,2.720
2,0:15,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:15,1,10,LVR 43,7,13,Mac Jones pass complete short middle to Brenton Strange for 9 yards. Brenton Strange fumbles (forced by Isaiah Pola-Mao) recovered by Thomas Harper at LV-33 (tackle by Isaiah Pola-Mao),2.720,-1.140
2,0:09,1,10,LVR 33,7,13,Aidan O'Connell kneels for -1 yards,1.140,0.460
3,15:00,,,JAX 35,7,13,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LVR 30,7,13,Aidan O'Connell pass incomplete short middle intended for Alexander Mattison,0.940,0.390
3,14:55,2,10,LVR 30,7,13,Aidan O'Connell pass complete short right to Alexander Mattison for 5 yards (tackle by Jarrian Jones),0.390,0.370
3,14:13,3,5,LVR 35,7,13,Aidan O'Connell pass incomplete short left intended for Brock Bowers,0.370,-1.040
3,14:07,4,5,LVR 35,7,13,AJ Cole punts 48 yards returned by Devin Duvernay for 8 yards (tackle by Amari Burney and Isaiah Pola-Mao),-1.040,-0.610
3,13:57,1,10,JAX 25,7,13,Mac Jones pass complete short right to Brian Thomas for no gain (tackle by Decamerion Richardson). Penalty on Tim Jones: Offensive Pass Interference 10 yards (accepted) (no play),0.610,-0.410
3,13:31,1,20,JAX 15,7,13,Mac Jones pass complete short middle to Parker Washington for 7 yards (tackle by Divine Deablo and Isaiah Pola-Mao),-0.410,-0.340
3,12:58,2,13,JAX 22,7,13,Mac Jones pass complete short right to Parker Washington for 12 yards,-0.340,0.560
3,12:20,3,1,JAX 34,7,13,Tank Bigsby right guard for 6 yards (tackle by Robert Spillane),0.560,1.600
3,11:37,1,10,JAX 40,7,13,Tank Bigsby left tackle for 4 yards (tackle by Robert Spillane),1.600,1.590
3,11:12,2,6,JAX 44,7,13,Tank Bigsby right end for 6 yards (tackle by Thomas Harper),1.590,2.260
3,10:33,1,10,JAX 50,7,13,Tank Bigsby right end for 6 yards (tackle by Thomas Harper),2.260,2.520
3,10:00,2,4,LVR 44,7,13,Travis Etienne right end for -1 yards (tackle by Decamerion Richardson),2.520,1.690
3,9:21,3,5,LVR 45,7,13,Mac Jones sacked by K'Lavon Chaisson for -11 yards,1.690,-0.460
3,8:44,4,16,JAX 44,7,13,Logan Cooke punts 36 yards out of bounds,-0.460,-0.280
