Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
3,1:27,3,10,HOU 45,16,24,Penalty on HOU: Delay of Game 5 yards (accepted) (no play),0.700,0.040
3,1:27,3,15,HOU 40,16,24,C.J. Stroud pass complete short right to Dalton Schultz for 24 yards (tackle by Bryan Cook),0.040,3.180
3,0:50,1,10,KAN 36,16,24,Joe Mixon up the middle for 2 yards (tackle by Christian Roland-Wallace and Joshua Williams),3.180,2.910
3,0:12,2,8,KAN 34,16,24,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Nick Bolton),2.910,3.140
4,15:00,3,1,KAN 27,16,24,Joe Mixon left guard for 3 yards (tackle by Charles Omenihu and Drue Tranquill),3.140,3.970
4,14:15,1,10,KAN 24,16,24,Joe Mixon left end for -2 yards (tackle by Mike Pennel and Chris Jones),3.970,3.160
4,13:39,2,12,KAN 26,16,24,C.J. Stroud pass complete deep right to Nico Collins for 16 yards (tackle by Justin Reid),3.160,4.910
4,12:52,1,10,KAN 10,16,24,C.J. Stroud sacked by Mike Pennel for -5 yards,4.910,3.460
4,12:06,2,15,KAN 15,16,24,C.J. Stroud pass incomplete short right,3.460,2.930
4,12:00,3,15,KAN 15,16,24,Penalty on HOU: Delay of Game 5 yards (accepted) (no play),2.930,2.340
4,12:00,3,20,KAN 20,16,24,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale (defended by George Karlaftis),2.340,2.120
4,11:56,4,20,KAN 20,19,24,Ka'imi Fairbairn 38 yard field goal good,2.120,3.000
4,11:51,,,HOU 35,19,24,Ka'imi Fairbairn kicks off 60 yards returned by Nikko Remigio for 26 yards (tackle by Jake Hansen and Neville Hewitt),0.000,1.000
4,11:46,1,10,KAN 31,19,24,Kareem Hunt right guard for 2 yards (tackle by Tim Settle),1.000,0.730
4,11:12,2,8,KAN 33,19,24,Patrick Mahomes pass incomplete deep left intended for Marquise Brown,0.730,0.040
4,11:06,3,8,KAN 33,19,24,Patrick Mahomes pass complete short left to DeAndre Hopkins for 8 yards (tackle by Henry To'oTo'o),0.040,1.660
4,10:23,1,10,KAN 41,19,24,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,1.660,1.120
4,10:15,2,10,KAN 41,19,24,Patrick Mahomes pass complete short left to Kareem Hunt for 17 yards (tackle by Henry To'oTo'o),1.120,2.790
4,9:39,1,10,HOU 42,19,24,Kareem Hunt left tackle for 2 yards (tackle by Denico Autry and Kamari Lassiter),2.790,2.510
4,9:04,2,8,HOU 40,19,24,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Henry To'oTo'o and Christian Harris),2.510,2.740
4,8:25,,,,,,Timeout #1 by Kansas City Chiefs,,
4,8:25,3,1,HOU 33,19,24,Kareem Hunt left end for 3 yards (tackle by Danielle Hunter),2.740,3.580
4,7:53,1,10,HOU 30,19,24,Kareem Hunt up the middle for 1 yard (tackle by Mario Edwards and Tim Settle),3.580,3.170
4,7:19,2,9,HOU 29,19,24,Patrick Mahomes pass complete short left to DeAndre Hopkins for 15 yards,3.170,4.650
4,6:40,1,10,HOU 14,19,24,Kareem Hunt up the middle for 2 yards (tackle by Christian Harris),4.650,4.330
4,6:04,2,8,HOU 12,19,24,Patrick Mahomes pass complete short right to Marquise Brown for 3 yards (tackle by Derek Stingley),4.330,4.050
4,5:28,3,5,HOU 9,19,24,Patrick Mahomes pass incomplete short middle intended for Xavier Worthy,4.050,2.880
4,5:22,4,5,HOU 9,19,27,Harrison Butker 27 yard field goal good,2.880,3.000
4,5:18,,,KAN 35,19,27,Harrison Butker kicks off 70 yards returned by Robert Woods for 31 yards (tackle by Anthony Firkser),0.000,0.670
4,5:13,1,10,HOU 26,19,27,Joe Mixon left end for -1 yards (tackle by Nick Bolton),0.670,-0.010
4,4:35,2,11,HOU 25,19,27,C.J. Stroud pass incomplete deep left intended for Robert Woods,-0.010,-0.690
4,4:27,3,11,HOU 25,19,27,C.J. Stroud sacked by Joshua Williams for -12 yards,-0.690,-2.490
4,3:50,4,23,HOU 13,19,27,Tommy Townsend punts 57 yards returned by Nikko Remigio for 9 yards (tackle by M.J. Stewart and Xavier Hutchinson),-2.490,-1.530
4,3:41,1,10,KAN 39,19,27,Isiah Pacheco left guard for 2 yards (tackle by Will Anderson),1.530,1.260
4,3:36,,,,,,Timeout #2 by Houston Texans,,
4,3:36,2,8,KAN 41,19,27,Patrick Mahomes pass complete short right to Marquise Brown for 4 yards (tackle by Henry To'oTo'o and Derek Stingley),1.260,1.090
4,3:31,,,,,,Timeout #3 by Houston Texans,,
4,3:31,3,4,KAN 45,19,27,Patrick Mahomes pass complete short right to Samaje Perine for 16 yards (tackle by Calen Bullock),1.090,2.980
4,2:47,1,10,HOU 39,19,27,Kareem Hunt up the middle for 6 yards (tackle by Neville Hewitt),2.980,3.250
4,2:00,2,4,HOU 33,19,27,Kareem Hunt up the middle for 20 yards (tackle by Henry To'oTo'o),3.250,4.710
4,1:13,1,10,HOU 13,19,27,Patrick Mahomes kneels for -1 yards,4.710,3.900
4,0:36,2,11,HOU 14,19,27,Patrick Mahomes kneels for -1 yards,3.900,3.030
