Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
3,4:41,3,4,MIN 36,21,6,Sam Darnold pass incomplete deep left intended for Justin Jefferson (defended by Jason Pinnock),0.500,-0.980
3,4:33,4,4,MIN 36,21,6,Ryan Wright punts 47 yards downed by Bobby McCain,-0.980,0.060
3,4:26,1,10,NYG 17,27,6,Daniel Jones pass short right intended for Wan'Dale Robinson is intercepted by Andrew Van Ginkel at NYG-10 and returned for 10 yards touchdown,-0.060,-7.000
3,4:22,,,NYG 15,28,6,Will Reichard kicks extra point good,0.000,0.000
3,4:22,,,MIN 35,28,6,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,4:22,1,10,NYG 30,28,6,Daniel Jones pass incomplete short left. Penalty on Jermaine Eluemunor: Ineligible Downfield Pass 5 yards (declined),0.940,0.390
3,4:17,2,10,NYG 30,28,6,Daniel Jones pass complete short left to Malik Nabers for 7 yards (tackle by Byron Murphy),0.390,0.630
3,3:42,3,3,NYG 37,28,6,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Harrison Phillips),0.630,-0.910
3,3:32,4,3,NYG 37,28,6,Penalty on Daniel Jones: Delay of Game 5 yards (accepted) (no play),-0.910,-1.240
3,3:32,4,8,NYG 32,28,6,Jamie Gillan punts 50 yards out of bounds,-1.240,-0.040
3,3:21,1,10,MIN 18,28,6,Sam Darnold pass complete short right to Justin Jefferson for 9 yards (tackle by Cordale Flott),0.040,0.820
3,2:53,2,1,MIN 27,28,6,Aaron Jones right tackle for 8 yards (tackle by Rakeem Nunez-Roches),0.820,1.270
3,2:29,1,10,MIN 35,28,6,Sam Darnold pass deep left (defended by Dexter Lawrence) is intercepted by Darius Muasau at NYG-48 and returned for 1 yard (tackle by Josh Oliver),1.270,-2.190
3,2:15,1,10,NYG 49,28,6,Daniel Jones pass complete short middle to Devin Singletary for 12 yards (tackle by Shaquill Griffin),2.190,2.980
3,1:28,1,10,MIN 39,28,6,Devin Singletary right tackle for 1 yard (tackle by Blake Cashman and Shaquill Griffin),2.980,2.580
3,0:50,2,9,MIN 38,28,6,Daniel Jones pass complete short right to Darius Slayton for 7 yards (tackle by Josh Metellus),2.580,2.810
