Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
4,4:54,1,10,KAN 30,20,27,Isiah Pacheco right tackle for 5 yards (tackle by Eddie Jackson),0.940,1.070
4,4:15,2,5,KAN 35,20,27,Penalty on Jawaan Taylor: False Start 5 yards (accepted) (no play),1.070,0.390
4,4:14,2,10,KAN 30,20,27,Patrick Mahomes scrambles right end for no gain (tackle by Roquan Smith). Penalty on Rashee Rice: Offensive Holding 10 yards (offset) . Penalty on Marcus Williams: Personal Foul / Defense 15 yards (offset) (no play),0.390,0.390
4,4:06,2,10,KAN 30,20,27,Patrick Mahomes pass complete short right to Isiah Pacheco for 10 yards (tackle by Nate Wiggins),0.390,1.600
4,3:28,1,10,KAN 40,20,27,Isiah Pacheco right guard for 2 yards (tackle by Travis Jones),1.600,1.320
4,2:47,2,8,KAN 42,20,27,Carson Steele left end for -2 yards (tackle by Roquan Smith),1.320,0.370
4,2:36,,,,,,Timeout #3 by Baltimore Ravens,,
4,2:36,3,10,KAN 40,20,27,Patrick Mahomes pass complete short middle to Patrick Mahomes for 2 yards (tackle by Odafe Oweh),0.370,-0.590
4,2:00,4,8,KAN 42,20,27,Matt Araiza punts 48 yards returned by Deonte Harty for 3 yards (tackle by Nazeeh Johnson),-0.590,0.320
4,1:50,1,10,BAL 13,20,27,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Jaylen Watson),-0.320,0.350
4,1:45,2,2,BAL 21,20,27,Lamar Jackson scrambles right end for 9 yards (tackle by Chamarri Conner),0.350,0.940
4,1:37,1,10,BAL 30,20,27,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,0.940,0.390
4,1:31,2,10,BAL 30,20,27,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Jaylen Watson),0.390,0.760
4,1:26,3,2,BAL 38,20,27,Lamar Jackson scrambles up the middle for 3 yards (tackle by Nick Bolton),0.760,1.660
4,1:11,,,,,,Timeout #1 by Kansas City Chiefs,,
4,1:11,1,10,BAL 41,20,27,Lamar Jackson pass complete short right to Justice Hill for 7 yards (tackle by Nick Bolton),1.660,2.070
4,0:48,2,3,BAL 48,20,27,Lamar Jackson pass complete short right to Isaiah Likely for 4 yards (tackle by Jaylen Watson),2.070,2.390
4,0:43,1,10,KAN 48,20,27,Lamar Jackson pass complete short left to Rashod Bateman for 38 yards (tackle by Bryan Cook),2.390,4.910
4,0:19,1,10,KAN 10,20,27,Lamar Jackson pass incomplete short left intended for Isaiah Likely,4.910,4.190
4,0:10,2,10,KAN 10,20,27,Lamar Jackson pass incomplete short middle intended for Zay Flowers,4.190,3.130
4,0:05,3,10,KAN 10,20,27,Lamar Jackson pass complete short middle to Isaiah Likely for no gain touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Lamar Jackson pass incomplete short middle intended for Isaiah Likely (defended by Nick Bolton),3.130,2.760
