Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
4,8:50,4,2,CIN 18,16,7,Joey Slye 37 yard field goal good,2.370,3.000
4,8:46,,,NWE 35,16,7,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,8:46,1,10,CIN 30,16,7,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by Ja'Whaun Bentley),0.940,1.200
4,8:25,2,4,CIN 36,16,7,Joe Burrow pass complete deep middle to Ja'Marr Chase for 28 yards (tackle by Jabrill Peppers and Kyle Dugger),1.200,3.180
4,7:51,1,10,NWE 36,16,7,Joe Burrow pass incomplete short left intended for Andrei Iosivas,3.180,2.640
4,7:48,2,10,NWE 36,16,7,Joe Burrow scrambles right end for 5 yards (tackle by Ja'Whaun Bentley),2.640,2.610
4,7:07,3,5,NWE 31,16,7,Joe Burrow sacked by Keion White for -2 yards,2.610,1.150
4,6:18,4,7,NWE 33,16,10,Evan McPherson 51 yard field goal good,1.150,3.000
4,6:14,,,CIN 35,16,10,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
4,6:14,1,10,NWE 30,16,10,Rhamondre Stevenson left tackle for 12 yards (tackle by Sam Hubbard),0.940,1.730
4,5:31,1,10,NWE 42,16,10,Rhamondre Stevenson right end for 2 yards (tackle by Sam Hubbard),1.730,1.460
4,4:52,2,8,NWE 44,16,10,Rhamondre Stevenson right tackle for 3 yards (tackle by Germaine Pratt and Sheldon Rankins),1.460,1.160
4,4:03,3,5,NWE 47,16,10,Jacoby Brissett pass complete short left to Demario Douglas for 3 yards (tackle by Logan Wilson),1.160,-0.060
4,3:14,4,2,CIN 50,16,10,Penalty on Jacoby Brissett: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
4,3:14,4,7,NWE 45,16,10,Bryce Baringer punts 49 yards returned by Charlie Jones for 4 yards (tackle by Brenden Schooler),-0.390,0.380
4,3:04,1,10,CIN 10,16,10,Joe Burrow pass incomplete short right intended for Andrei Iosivas,-0.380,-0.780
4,3:00,2,10,CIN 10,16,10,Joe Burrow pass incomplete short middle intended for Zack Moss,-0.780,-1.420
4,2:55,3,10,CIN 10,16,10,Joe Burrow pass complete short left to Zack Moss for 5 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),-1.420,-2.440
4,2:19,4,5,CIN 15,16,10,Ryan Rehkow punts 70 yards returned by Marcus Jones for 10 yards (tackle by Cal Adomitis). Penalty on Ja'Marr Chase: Illegal Substitution 5 yards (accepted),-2.440,-0.940
4,2:13,1,10,NWE 30,16,10,Rhamondre Stevenson left guard for 5 yards (tackle by Logan Wilson),0.940,1.070
4,2:08,,,,,,Timeout #1 by Cincinnati Bengals,,
4,2:08,2,5,NWE 35,16,10,Rhamondre Stevenson right tackle for 9 yards (tackle by Daxton Hill),1.070,1.860
4,2:00,1,10,NWE 44,16,10,Rhamondre Stevenson left guard for 3 yards (tackle by Cam Taylor-Britt and Akeem Davis-Gaither),1.860,1.720
4,1:52,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:52,2,7,NWE 47,16,10,Rhamondre Stevenson right tackle for 9 yards (tackle by Cam Taylor-Britt),1.720,2.650
4,1:44,,,,,,Timeout #3 by Cincinnati Bengals,,
4,1:44,1,10,CIN 44,16,10,Jacoby Brissett kneels for -1 yards,2.650,1.980
4,1:03,2,11,CIN 45,16,10,Jacoby Brissett kneels for no gain,1.980,1.290
4,0:33,3,11,CIN 45,16,10,Jacoby Brissett kneels for -1 yards,1.290,0.200
