Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
4,6:15,2,11,ATL 5,15,10,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud (defended by Alex Highsmith),-0.850,-1.540
4,6:09,3,11,ATL 5,15,10,Kirk Cousins pass complete short middle to Kyle Pitts for 8 yards (tackle by Minkah Fitzpatrick),-1.540,-2.490
4,5:25,4,4,ATL 13,15,10,Bradley Pinion punts 55 yards returned by Calvin Austin for 16 yards (tackle by Troy Andersen). Penalty on Mark Robinson: Illegal Block Above the Waist 10 yards (accepted),-2.490,-1.470
4,4:56,1,10,PIT 38,15,10,Najee Harris left end for -3 yards (tackle by James Smith-Williams),1.470,0.520
4,4:27,2,13,PIT 35,15,10,Justin Fields pass incomplete short right,0.520,-0.160
4,4:20,3,13,PIT 35,15,10,Justin Fields sacked by and Matt Judon for -8 yards and Grady Jarrett for -8 yards,-0.160,-1.570
4,3:38,4,21,PIT 27,15,10,Cameron Johnston punts returned by Avery Williams for no gain. Penalty on Cory Trice: Offensive Holding 10 yards (accepted) (no play),-1.570,-2.320
4,3:29,4,31,PIT 17,15,10,Chris Boswell punts 43 yards returned by Avery Williams for no gain (tackle by Scott Miller),-2.320,-1.600
4,3:20,1,10,ATL 40,15,10,Bijan Robinson left end for 13 yards (tackle by DeShon Elliott and Alex Highsmith),1.600,2.460
4,2:49,1,10,PIT 47,15,10,Kirk Cousins pass short left intended for Ray-Ray McCloud is intercepted by Donte Jackson at PIT-33 and returned for 49 yards (tackle by Drew Dalman),2.460,-4.370
4,2:34,1,10,ATL 18,15,10,Najee Harris right guard for 1 yard (tackle by Matt Judon),4.370,3.940
4,2:28,,,,,,Timeout #1 by Atlanta Falcons,,
4,2:28,2,9,ATL 17,15,10,Justin Fields left tackle for 4 yards (tackle by Matt Judon),3.940,3.820
4,2:22,,,,,,Timeout #2 by Atlanta Falcons,,
4,2:22,3,5,ATL 13,15,10,Justin Fields right tackle for 7 yards (tackle by Mike Hughes),3.820,5.830
4,2:16,,,,,,Timeout #3 by Atlanta Falcons,,
4,2:16,1,6,ATL 6,15,10,Najee Harris right guard for 1 yard (tackle by Nathan Landman),5.830,5.150
4,2:00,2,5,ATL 5,15,10,Najee Harris left tackle for -1 yards (tackle by Mike Hughes and Matt Judon),5.150,4.040
4,1:14,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,1:14,3,6,ATL 6,15,10,Justin Fields left tackle for -1 yards (tackle by Mike Hughes),4.040,2.990
4,0:29,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:29,4,6,ATL 6,18,10,Chris Boswell 25 yard field goal good,2.990,3.000
4,0:28,,,PIT 35,18,10,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,0:28,1,10,ATL 30,18,10,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by Beanie Bishop),0.940,1.340
4,0:14,2,3,ATL 37,18,10,Kirk Cousins spiked the ball,1.340,0.630
4,0:13,3,3,ATL 37,18,10,Kirk Cousins sacked by T.J. Watt for -9 yards,0.630,-1.500
