Quarter,Time,Down,ToGo,Location,ARI,BUF,Detail,EPB,EPA
4,5:17,1,10,ARI 19,28,31,Kyler Murray pass incomplete short left intended for Trey McBride,0.150,-0.390
4,5:13,2,10,ARI 19,28,31,Kyler Murray pass incomplete short right intended for James Conner (defended by DaQuan Jones),-0.390,-1.070
4,5:08,3,10,ARI 19,28,31,Kyler Murray sacked by Von Miller for -5 yards,-1.070,-2.470
4,4:32,4,15,ARI 14,28,31,Blake Gillikin punts 28 yards out of bounds,-2.470,-2.790
4,4:30,1,10,ARI 42,28,31,James Cook up the middle for 9 yards (tackle by Kyzir White and Sean Murphy-Bunting),2.790,3.460
4,3:52,2,1,ARI 33,28,31,Penalty on ARI: Defensive Too Many Men on Field 5 yards (accepted) (no play),3.460,3.710
4,3:52,1,10,ARI 28,28,31,James Cook up the middle for 7 yards (tackle by Zaven Collins and Justin Jones),3.710,4.110
4,3:09,2,3,ARI 21,28,31,James Cook left tackle for 1 yard (tackle by Mack Wilson and Jalen Thompson),4.110,3.530
4,2:22,3,2,ARI 20,28,31,Josh Allen left guard for -1 yards (tackle by Kyzir White),3.530,2.160
4,2:00,4,3,ARI 21,28,34,Tyler Bass 39 yard field goal good,2.160,3.000
4,1:56,,,BUF 35,28,34,Tyler Bass kicks off 25 yards out of bounds. Penalty on Tyler Bass: Kickoff Out of Bounds (accepted),0.000,1.600
4,1:56,1,10,ARI 40,28,34,Kyler Murray pass incomplete deep right intended for Michael Wilson,1.600,1.050
4,1:51,2,10,ARI 40,28,34,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Terrel Bernard),1.050,1.030
4,1:33,3,5,ARI 45,28,34,Kyler Murray pass complete short left to Greg Dortch for 12 yards (tackle by Cameron Lewis),1.030,2.720
4,1:28,1,10,BUF 43,28,34,Kyler Murray pass complete short left to Trey McBride for 4 yards (tackle by Dorian Williams),2.720,2.720
4,1:07,2,6,BUF 39,28,34,Kyler Murray pass complete short right to Greg Dortch for 7 yards (tackle by Dorian Williams),2.720,3.450
4,0:44,1,10,BUF 32,28,34,Kyler Murray pass incomplete short left intended for Trey McBride,3.450,2.900
4,0:40,2,10,BUF 32,28,34,Kyler Murray pass incomplete short middle intended for Greg Dortch,2.900,2.210
4,0:36,3,10,BUF 32,28,34,James Conner right guard for 3 yards (tackle by Dorian Williams),2.210,1.500
4,0:32,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:32,4,7,BUF 29,28,34,Kyler Murray pass incomplete deep left intended for Greg Dortch (defended by Ja'Marcus Ingram),1.500,-0.870
4,0:26,1,10,BUF 29,28,34,Josh Allen kneels for -1 yards,0.870,0.190
