Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA
4,14:42,2,18,LAC 39,8,16,Justin Herbert pass complete deep right to Josh Palmer for 45 yards (tackle by Kool-Aid McKinstry),0.440,4.510
4,14:11,1,10,NOR 16,8,16,Kimani Vidal left end for 1 yard (tackle by Ugo Amadi),4.510,4.050
4,13:30,2,9,NOR 15,8,16,Justin Herbert pass complete short left to Will Dissly for 1 yard (tackle by Demario Davis),4.050,3.370
4,12:44,3,8,NOR 14,8,16,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Ugo Amadi),3.370,2.750
4,11:59,4,5,NOR 11,8,19,Cameron Dicker 29 yard field goal good,2.750,3.000
4,11:55,,,LAC 35,8,19,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,11:55,1,10,NOR 30,8,19,Jake Haener pass complete short left to Chris Olave for 15 yards (tackle by Cam Hart),0.940,1.930
4,11:30,1,10,NOR 45,8,19,Jamaal Williams up the middle for 2 yards (tackle by Denzel Perryman),1.930,1.650
4,10:51,2,8,NOR 47,8,19,Jake Haener pass incomplete deep middle intended for Chris Olave,1.650,0.960
4,10:44,3,8,NOR 47,8,19,Jake Haener pass incomplete short middle intended for Taysom Hill (defended by Ja'Sir Taylor),0.960,-0.260
4,10:41,4,8,NOR 47,8,19,Matthew Hayball punts 46 yards fair catch by Ladd McConkey at LAC-7,-0.260,0.380
4,10:35,1,10,LAC 7,8,19,J.K. Dobbins up the middle for 3 yards (tackle by Jordan Howden),-0.380,-0.560
4,9:56,2,7,LAC 10,8,19,Justin Herbert pass incomplete short right intended for Josh Palmer,-0.560,-1.070
4,9:49,3,7,LAC 10,8,19,Justin Herbert sacked by and Chase Young for -5 yards and Alontae Taylor for -5 yards,-1.070,-2.490
4,9:02,4,12,LAC 5,8,19,JK Scott punts 67 yards returned by Jermaine Jackson for 18 yards (tackle by Dicaprio Bootle),-2.490,-1.990
4,8:51,1,10,NOR 46,8,19,Jake Haener pass incomplete short right intended for Alvin Kamara (defended by Ja'Sir Taylor),1.990,1.450
4,8:46,2,10,NOR 46,8,19,Jake Haener pass complete short right to Chris Olave for 28 yards (tackle by Alohi Gilman and Elijah Molden),1.450,3.840
4,8:16,1,10,LAC 26,8,19,Jake Haener pass complete short middle to Alvin Kamara for 2 yards (tackle by Daiyan Henley),3.840,3.570
4,7:36,2,8,LAC 24,8,19,Jake Haener pass complete short left to Chris Olave for 3 yards (tackle by Tarheeb Still),3.570,3.270
4,6:53,3,5,LAC 21,8,19,Penalty on Taliese Fuaga: False Start 5 yards (accepted) (no play),3.270,2.610
4,6:53,3,10,LAC 26,8,19,Jake Haener pass incomplete short middle intended for Alvin Kamara,2.610,1.740
4,6:49,4,10,LAC 26,8,19,Blake Grupe 44 yard field goal no good,1.740,-1.200
4,6:45,1,10,LAC 34,8,19,Justin Herbert pass complete short right to Scott Matlock for 9 yards (tackle by Jordan Howden),1.200,1.870
4,6:07,2,1,LAC 43,8,19,J.K. Dobbins up the middle for 5 yards (tackle by Carl Granderson),1.870,2.130
4,5:21,1,10,LAC 48,8,19,J.K. Dobbins right guard for 3 yards (tackle by Demario Davis),2.130,1.990
4,4:40,2,7,NOR 49,8,19,Justin Herbert pass complete short right to J.K. Dobbins for 15 yards (tackle by Pete Werner),1.990,3.310
4,3:51,1,10,NOR 34,8,19,J.K. Dobbins left end for -2 yards (tackle by Chase Young),3.310,2.500
4,3:45,,,,,,Timeout #1 by New Orleans Saints,,
4,3:45,2,12,NOR 36,8,19,Justin Herbert pass complete deep right to Jalen Reagor for 24 yards (tackle by Kool-Aid McKinstry),2.500,4.780
4,3:40,1,10,NOR 12,8,19,J.K. Dobbins right end for 3 yards (tackle by Payton Turner),4.780,4.640
4,3:35,,,,,,Timeout #2 by New Orleans Saints,,
4,3:35,2,7,NOR 9,8,19,Justin Herbert pass incomplete short middle intended for Eric Tomlinson,4.640,3.700
4,3:30,3,7,NOR 9,8,25,Justin Herbert pass complete short left to Ladd McConkey for 9 yards touchdown,3.700,7.000
4,3:22,,,NOR 15,8,26,Cameron Dicker kicks extra point good,0.000,0.000
4,3:22,,,LAC 35,8,26,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,3:22,1,10,NOR 30,8,26,Jake Haener sacked by Poona Ford for -5 yards,0.940,-0.280
4,2:51,2,15,NOR 25,8,26,Jake Haener pass complete short middle to Juwan Johnson for 11 yards (tackle by Daiyan Henley and Derwin James),-0.280,0.500
4,2:22,3,4,NOR 36,8,26,Jake Haener pass complete short middle to Juwan Johnson for 15 yards (tackle by Derwin James),0.500,2.320
4,2:00,1,10,LAC 49,8,26,Jake Haener scrambles right end for 5 yards (tackle by Alohi Gilman),2.320,2.460
4,1:53,2,5,LAC 44,8,26,Jake Haener sacked by Bud Dupree for -11 yards,2.460,0.300
4,1:14,3,16,NOR 45,8,26,Jake Haener scrambles left tackle for 5 yards (tackle by Elijah Molden),0.300,-0.060
4,1:06,,,,,,Timeout #3 by New Orleans Saints,,
4,1:06,4,11,LAC 50,8,26,Jake Haener pass complete deep middle to Bub Means for 36 yards (tackle by Alohi Gilman),-0.060,4.650
4,0:35,1,10,LAC 14,8,26,Jake Haener pass incomplete short right intended for Chris Olave,4.650,4.000
4,0:28,2,10,LAC 14,8,26,Jake Haener pass complete short left to Chris Olave for 7 yards (tackle by Derwin James),4.000,4.500
4,0:09,3,3,LAC 7,8,26,Jake Haener pass incomplete short middle intended for Foster Moreau,4.500,2.990
4,0:05,4,3,LAC 7,8,26,Jake Haener pass short left is intercepted by Elijah Molden at LAC-3 and returned for no gain (tackle by Jamaal Williams). Penalty on Bud Dupree: Roughing the Passer 4 yards (accepted) (no play),2.990,6.510
4,0:00,1,3,LAC 3,8,26,Jake Haener pass incomplete short right intended for Chris Olave,6.510,5.530
