Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
3,6:28,3,4,DAL 32,10,20,Dak Prescott pass incomplete short right intended for KaVontae Turpin,0.230,-1.240
3,6:20,4,4,DAL 32,10,20,Bryan Anger punts 59 yards returned by Jacob Cowing for 16 yards (tackle by Trent Sieg and Hunter Luepke),-1.240,-0.610
3,6:09,1,10,SFO 25,10,20,Isaac Guerendo left end for 4 yards (tackle by Trevon Diggs and Linval Joseph),0.610,0.600
3,5:27,2,6,SFO 29,10,20,Brock Purdy scrambles right tackle for 16 yards (tackle by Malik Hooker),0.600,1.930
3,4:43,1,10,SFO 45,10,20,Brock Purdy pass complete deep middle to George Kittle for 27 yards (tackle by Eric Kendricks),1.930,3.710
3,4:00,1,10,DAL 28,10,20,Isaac Guerendo left tackle for 3 yards (tackle by Chauncey Golston),3.710,3.570
3,3:18,,,,,,Timeout #1 by San Francisco 49ers,,
3,3:18,2,7,DAL 25,10,20,Brock Purdy pass complete short right to Isaac Guerendo for no gain (tackle by Amani Oruwariye),3.570,2.870
3,2:33,3,7,DAL 25,10,20,Brock Purdy pass complete short middle to Deebo Samuel for 16 yards (tackle by Malik Hooker and Israel Mukuamu),2.870,5.140
3,1:46,1,9,DAL 9,10,20,Isaac Guerendo left guard for 1 yard (tackle by Trevon Diggs and Eric Kendricks),5.140,4.570
3,1:04,2,8,DAL 8,10,20,Deebo Samuel right end for 6 yards (tackle by Amani Oruwariye),4.570,4.950
3,0:40,3,2,DAL 2,10,26,Brock Purdy up the middle for 2 yards touchdown,4.950,7.000
3,0:36,,,DAL 15,10,27,Anders Carlson kicks extra point good,0.000,0.000
3,0:36,,,SFO 35,10,27,Anders Carlson kicks off 25 yards out of bounds. Penalty on Anders Carlson: Kickoff Out of Bounds (accepted),0.000,1.600
3,0:36,1,10,DAL 40,10,27,Dalvin Cook up the middle for 4 yards (tackle by De'Vondre Campbell),1.600,1.590
4,15:00,2,6,DAL 44,10,27,Dalvin Cook right tackle for 1 yard (tackle by Deommodore Lenoir),1.590,1.030
4,14:24,3,5,DAL 45,10,27,Dak Prescott sacked by Sam Okuayinonu for -2 yards,1.030,-0.520
4,13:41,4,7,DAL 43,10,27,Bryan Anger punts 40 yards fair catch by Jacob Cowing at SF-17,-0.520,0.060
4,13:34,1,10,SFO 17,10,27,Isaac Guerendo up the middle for 9 yards (tackle by Jourdan Lewis),-0.060,0.750
4,12:58,2,1,SFO 26,10,27,Isaac Guerendo up the middle for no gain (tackle by Eric Kendricks),0.750,-0.120
4,12:14,3,1,SFO 26,10,27,Brock Purdy pass incomplete short right intended for Ronnie Bell (defended by Trevon Diggs),-0.120,-1.630
4,12:05,4,1,SFO 26,10,27,Mitch Wishnowsky punts 44 yards fair catch by KaVontae Turpin at DAL-30,-1.630,-0.940
4,11:57,1,10,DAL 30,10,27,Penalty on Terence Steele: False Start 5 yards (accepted) (no play),0.940,0.610
4,11:57,1,15,DAL 25,10,27,Ezekiel Elliott right tackle for 1 yard (tackle by Evan Anderson and Fred Warner),0.610,-0.150
4,11:36,2,14,DAL 26,10,27,Dak Prescott pass complete short right to Ezekiel Elliott for 4 yards (tackle by Fred Warner),-0.150,-0.300
4,11:07,3,10,DAL 30,10,27,Dak Prescott pass incomplete deep right intended for Jalen Tolbert. Penalty on Charvarius Ward: Defensive Pass Interference 19 yards (accepted) (no play),-0.300,2.190
4,11:00,1,10,DAL 49,10,27,Dak Prescott pass incomplete short left intended for Brevyn Spann-Ford,2.190,1.650
4,10:54,2,10,DAL 49,10,27,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,1.650,0.960
4,10:50,3,10,DAL 49,10,27,Dak Prescott pass complete short left to Jake Ferguson for 6 yards (tackle by Deommodore Lenoir),0.960,0.270
4,10:15,4,4,SFO 45,10,27,Dak Prescott pass complete short right to KaVontae Turpin for 16 yards (tackle by Deommodore Lenoir),0.270,3.640
4,9:48,1,10,SFO 29,10,27,Dak Prescott pass complete short right to Jalen Tolbert for 9 yards (tackle by Isaac Yiadom),3.640,4.320
4,9:16,2,1,SFO 20,10,27,Dak Prescott pass complete short right to CeeDee Lamb for 15 yards (tackle by Charvarius Ward),4.320,6.060
4,8:42,1,5,SFO 5,10,27,Ezekiel Elliott up the middle for -2 yards (tackle by Fred Warner),6.060,4.760
4,8:04,2,7,SFO 7,16,27,Dak Prescott pass complete short left to CeeDee Lamb for 7 yards touchdown,4.760,7.000
4,7:58,,,SFO 15,17,27,Brandon Aubrey kicks extra point good,0.000,0.000
4,7:58,,,DAL 35,17,27,Brandon Aubrey kicks off 63 yards returned by Patrick Taylor for 29 yards (tackle by Juanyeh Thomas),0.000,1.000
4,7:52,1,10,SFO 31,17,27,Isaac Guerendo right end for 4 yards (tackle by DeMarvion Overshown),1.000,1.000
4,7:11,2,6,SFO 35,17,27,Ricky Pearsall left end for 39 yards (tackle by Donovan Wilson),1.000,3.840
4,6:25,1,10,DAL 26,17,27,Patrick Taylor left guard for no gain (tackle by Carlos Watkins and Tyrus Wheat). Penalty on Ricky Pearsall: Illegal Formation 5 yards (accepted) (no play),3.840,3.510
4,6:07,1,15,DAL 31,17,27,Patrick Taylor left guard for 4 yards (tackle by Tyrus Wheat and Eric Kendricks),3.510,3.160
4,5:25,2,11,DAL 27,17,27,Patrick Taylor right end for 5 yards (tackle by Mazi Smith and Osa Odighizuwa),3.160,3.140
4,4:39,3,6,DAL 22,17,27,Brock Purdy pass incomplete short right,3.140,2.020
4,4:30,4,6,DAL 22,17,30,Anders Carlson 41 yard field goal good,2.020,3.000
4,4:25,,,SFO 35,17,30,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
4,4:25,1,10,DAL 30,17,30,Ezekiel Elliott left end for no gain (tackle by Renardo Green),0.940,0.390
4,4:03,2,10,DAL 30,17,30,Dak Prescott pass complete short left to CeeDee Lamb for 21 yards (tackle by Fred Warner),0.390,2.320
4,3:56,1,10,SFO 49,17,30,Dak Prescott pass complete short right to CeeDee Lamb for 29 yards (tackle by Malik Mustapha and Fred Warner),2.320,4.240
4,3:36,1,10,SFO 20,23,30,Dak Prescott pass complete deep left to CeeDee Lamb for 20 yards touchdown,4.240,7.000
4,3:32,,,SFO 15,24,30,Brandon Aubrey kicks extra point good,0.000,0.000
4,3:32,,,DAL 35,24,30,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,3:32,1,10,SFO 30,24,30,Brock Purdy scrambles left end for 7 yards (tackle by Marist Liufau),0.940,1.340
4,3:25,,,,,,Timeout #1 by Dallas Cowboys,,
4,3:25,2,3,SFO 37,24,30,Brock Purdy sacked by DeMarvion Overshown for -7 yards,1.340,-0.300
4,3:22,,,,,,Timeout #2 by Dallas Cowboys,,
4,3:22,3,10,SFO 30,24,30,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by Malik Hooker and Eric Kendricks),-0.300,-0.980
4,3:15,,,,,,Timeout #3 by Dallas Cowboys,,
4,3:15,4,4,SFO 36,24,30,Mitch Wishnowsky punts 39 yards downed by Chris Conley,-0.980,-0.610
4,3:05,1,10,DAL 25,24,30,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Fred Warner),0.610,0.060
4,3:00,2,10,DAL 25,24,30,Dak Prescott pass incomplete short right,0.060,-0.620
4,2:55,3,10,DAL 25,24,30,Dak Prescott pass incomplete deep left intended for KaVontae Turpin,-0.620,-1.700
4,2:49,4,10,DAL 25,24,30,Dak Prescott pass incomplete deep right intended for Jalen Brooks,-1.700,-3.910
4,2:43,1,10,DAL 25,24,30,Isaac Guerendo right guard for 4 yards (tackle by Jourdan Lewis and Eric Kendricks),3.910,3.900
4,2:00,2,6,DAL 21,24,30,Isaac Guerendo right guard for 4 yards (tackle by Trevon Diggs),3.900,3.850
4,1:17,3,2,DAL 17,24,30,Isaac Guerendo left end for 14 yards (tackle by Markquese Bell),3.850,6.510
4,0:31,1,3,DAL 3,24,30,Brock Purdy kneels for -1 yards,6.510,5.340
