Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
3,7:00,2,1,TEN 17,14,42,Jared Goff pass complete short left to Sam LaPorta for 10 yards (tackle by Quandre Diggs and Harold Landry),4.640,5.600
3,6:17,1,7,TEN 7,14,48,Jared Goff pass complete short right to Kalif Raymond for 7 yards touchdown,5.600,7.000
3,6:12,,,TEN 15,14,49,Jake Bates kicks extra point good,0.000,0.000
3,6:12,,,DET 35,14,49,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,6:12,1,10,TEN 30,14,49,Tony Pollard left end for 3 yards (tackle by Pat O'Connor and James Houston),0.940,0.800
3,5:34,2,7,TEN 33,14,49,Mason Rudolph pass incomplete deep left intended for Tyler Boyd,0.800,0.100
3,5:29,3,7,TEN 33,14,49,Mason Rudolph pass incomplete short left intended for Calvin Ridley. Penalty on Tony Pollard: Offensive Pass Interference 10 yards (declined),0.100,-1.180
3,5:19,4,7,TEN 33,14,49,Ryan Stonehouse punts 62 yards returned by Kalif Raymond for 24 yards (tackle by Mike Brown). Penalty on Jalen Reeves-Maybin: Offensive Holding 10 yards (accepted),-1.180,-0.150
3,5:08,1,10,DET 19,14,49,Jahmyr Gibbs left end for 6 yards (tackle by Quandre Diggs),0.150,0.480
3,4:33,2,4,DET 25,14,49,Jared Goff pass complete short right to Sam LaPorta for 24 yards (tackle by Arden Key),0.480,2.190
3,3:51,1,10,DET 49,14,49,Jahmyr Gibbs right end for 6 yards (tackle by Jarvis Brownlee and Amani Hooker),2.190,2.460
3,3:13,2,4,TEN 45,14,49,Jared Goff pass complete short middle to David Montgomery for 5 yards (tackle by Jack Gibbens),2.460,2.920
3,2:35,1,10,TEN 40,14,49,Jahmyr Gibbs right end for 4 yards (tackle by Sebastian Joseph-Day),2.920,2.910
3,1:57,2,6,TEN 36,14,49,Jahmyr Gibbs right tackle for 3 yards (tackle by Sebastian Joseph-Day),2.910,2.610
3,1:18,3,3,TEN 33,14,49,Jared Goff pass incomplete deep right intended for Tim Patrick (defended by Darrell Baker),2.610,1.190
3,1:13,4,3,TEN 33,14,52,Jake Bates 51 yard field goal good,1.190,3.000
3,1:08,,,DET 35,14,52,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,1:08,1,10,TEN 30,14,52,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 18 yards (tackle by Kerby Joseph),0.940,2.130
3,0:32,1,10,TEN 48,14,52,Mason Rudolph pass incomplete short right intended for Chigoziem Okonkwo,2.130,1.580
3,0:27,2,10,TEN 48,14,52,Mason Rudolph pass complete short right to Tony Pollard for 1 yard (tackle by Brian Branch),1.580,1.020
4,15:00,3,9,TEN 49,14,52,Mason Rudolph pass complete short left to Calvin Ridley for 13 yards (tackle by Terrion Arnold),1.020,3.050
4,14:15,1,10,DET 38,14,52,Tony Pollard left tackle for 16 yards (tackle by Terrion Arnold),3.050,4.110
4,13:31,1,10,DET 22,14,52,Tony Pollard left end for 4 yards (tackle by Alex Anzalone),4.110,4.130
4,12:58,2,6,DET 18,14,52,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for -4 yards. Chigoziem Okonkwo fumbles (forced by Amik Robertson) recovered by Isaiah Thomas at DET-22,4.130,-0.410
4,12:52,1,10,DET 22,14,52,Hendon Hooker pass complete short right to Isaiah Williams for 2 yards (tackle by T'Vondre Sweat and Jack Gibbens),0.410,0.140
4,12:08,2,8,DET 24,14,52,Craig Reynolds left end for 3 yards (tackle by Jack Gibbens and Harold Landry),0.140,-0.160
4,11:29,3,5,DET 27,14,52,Craig Reynolds right end for -2 yards (tackle by Roger McCreary and Arden Key),-0.160,-1.700
4,10:57,4,7,DET 25,14,52,Jack Fox punts 62 yards fair catch by Jha'Quan Jackson at TEN-13,-1.700,0.320
4,10:52,1,10,TEN 13,14,52,Tony Pollard left end for 9 yards (tackle by Jack Campbell),-0.320,0.490
4,10:14,2,1,TEN 22,14,52,Tony Pollard up the middle for 4 yards (tackle by Kerby Joseph and Pat O'Connor),0.490,0.670
4,9:34,1,10,TEN 26,14,52,Julius Chestnut up the middle for 1 yard (tackle by Ennis Rakestraw),0.670,0.270
4,8:54,2,9,TEN 27,14,52,Mason Rudolph pass complete short middle to Calvin Ridley for no gain (tackle by Kindle Vildor),0.270,-0.430
4,8:31,3,9,TEN 27,14,52,Mason Rudolph pass incomplete deep middle intended for Jha'Quan Jackson,-0.430,-1.570
