Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
3,6:59,1,10,CLE 37,10,13,Derrick Henry up the middle for 5 yards (tackle by Mohamoud Diabate and Jeremiah Owusu-Koramoah),3.120,3.250
3,6:23,2,5,CLE 32,10,13,Lamar Jackson pass complete short right to Derrick Henry for 4 yards (tackle by Mohamoud Diabate),3.250,3.070
3,5:56,3,1,CLE 28,10,13,Penalty on Charlie Kolar: False Start 5 yards (accepted) (no play),3.070,2.410
3,5:45,3,6,CLE 33,10,13,Lamar Jackson pass complete short left to Isaiah Likely for 25 yards (tackle by Jeremiah Owusu-Koramoah),2.410,5.370
3,5:21,1,8,CLE 8,10,13,Lamar Jackson pass complete short middle to Isaiah Likely for 1 yard (tackle by Shelby Harris and Grant Delpit),5.370,4.760
3,4:47,2,7,CLE 7,16,13,Lamar Jackson pass complete short right to Mark Andrews for 7 yards touchdown,4.760,7.000
3,4:42,,,CLE 15,17,13,Justin Tucker kicks extra point good,0.000,0.000
3,4:42,,,BAL 35,17,13,Justin Tucker kicks off 60 yards returned by Pierre Strong for 23 yards (tackle by Sanoussi Kane and Charlie Kolar),0.000,0.810
3,4:37,1,10,CLE 28,17,13,Nick Chubb right tackle for 8 yards (tackle by Kyle Hamilton),0.810,1.340
3,4:05,2,2,CLE 36,17,13,Nick Chubb up the middle for 7 yards (tackle by Trenton Simpson),1.340,1.800
3,3:30,1,10,CLE 43,17,13,Jameis Winston pass complete short right to Jerry Jeudy for 30 yards (tackle by Brandon Stephens),1.800,3.780
3,2:47,1,10,BAL 27,17,13,Jameis Winston pass incomplete deep left intended for Jerry Jeudy,3.780,3.230
3,2:43,2,10,BAL 27,17,13,D'Onta Foreman left guard for 5 yards (tackle by Brandon Stephens),3.230,3.200
3,2:06,3,5,BAL 22,17,19,Jameis Winston pass complete short right to Cedric Tillman for 22 yards touchdown,3.200,7.000
3,2:01,,,BAL 15,17,20,Dustin Hopkins kicks extra point good,0.000,0.000
3,2:01,,,CLE 35,17,20,Dustin Hopkins kicks off 60 yards returned by Chris Collier for 24 yards (tackle by Michael Hall and Nathaniel Watson),0.000,0.870
3,1:56,1,10,BAL 29,17,20,Lamar Jackson pass incomplete short right intended for Rashod Bateman,0.870,0.330
3,1:51,2,10,BAL 29,17,20,Zay Flowers left end for no gain (tackle by Mohamoud Diabate). Penalty on Mohamoud Diabate: Face Mask (15 Yards) 15 yards (accepted) (no play),0.330,1.860
3,1:32,1,10,BAL 44,17,20,Lamar Jackson sacked by Za'Darius Smith for -11 yards,1.860,-0.170
3,0:50,2,21,BAL 33,17,20,Derrick Henry right tackle for 10 yards (tackle by Devin Bush and Jeremiah Owusu-Koramoah),-0.170,0.500
3,0:22,3,11,BAL 43,17,20,Lamar Jackson pass complete short left to Zay Flowers for 12 yards (tackle by Martin Emerson). Penalty on Martin Emerson: Defensive Holding 5 yards (declined),0.500,2.590
4,15:00,1,10,CLE 45,17,20,Derrick Henry right guard for 4 yards (tackle by Za'Darius Smith and Mohamoud Diabate),2.590,2.580
4,14:25,2,6,CLE 41,17,20,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Grant Delpit),2.580,3.310
4,13:48,1,10,CLE 34,17,20,Derrick Henry right end for 7 yards (tackle by Devin Bush and Grant Delpit),3.310,3.720
4,13:11,2,3,CLE 27,17,20,Penalty on Ronnie Stanley: False Start 5 yards (accepted) (no play),3.720,3.040
4,13:11,2,8,CLE 32,17,20,Lamar Jackson pass incomplete short right intended for Rashod Bateman (defended by Shelby Harris),3.040,2.350
4,13:08,3,8,CLE 32,17,20,Lamar Jackson pass incomplete short left intended for Rashod Bateman,2.350,1.240
4,13:03,4,8,CLE 32,17,20,Justin Tucker 50 yard field goal no good,1.240,-1.600
4,12:58,1,10,CLE 40,17,20,Nick Chubb left tackle for no gain (tackle by Trenton Simpson and Tavius Robinson),1.600,1.050
4,12:20,2,10,CLE 40,17,20,Jameis Winston pass incomplete deep middle intended for Cedric Tillman (defended by Eddie Jackson),1.050,0.370
4,12:14,3,10,CLE 40,17,20,Jameis Winston pass complete short right to Elijah Moore for 2 yards (tackle by Eddie Jackson),0.370,-0.590
4,11:38,4,8,CLE 42,17,20,Corey Bojorquez punts 52 yards fair catch by Tylan Wallace at BAL-6,-0.590,0.380
4,11:31,1,10,BAL 6,17,20,Lamar Jackson pass complete short left to Zay Flowers for 6 yards (tackle by Rodney McLeod),-0.380,-0.340
4,11:07,2,4,BAL 12,17,20,Lamar Jackson up the middle for 2 yards (tackle by Mohamoud Diabate and Maurice Hurst),-0.340,-0.480
4,10:43,3,2,BAL 14,17,20,Lamar Jackson pass incomplete deep middle intended for Isaiah Likely. Penalty on Myles Garrett: Defensive Too Many Men on Field 5 yards (accepted) (no play),-0.480,0.150
4,10:39,1,10,BAL 19,17,20,Lamar Jackson left end for 5 yards (tackle by Grant Delpit),0.150,0.340
4,10:13,2,5,BAL 24,17,20,Lamar Jackson up the middle for -9 yards (tackle by Za'Darius Smith),0.340,-1.760
4,9:29,3,14,BAL 15,17,20,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,-1.760,-2.440
4,9:18,4,14,BAL 15,17,20,Jordan Stout punts 64 yards returned by Jaelon Darden for 17 yards (tackle by Chris Board),-2.440,-1.470
4,9:06,1,10,CLE 38,17,20,Jameis Winston pass complete short right to Geoff Swaim for 7 yards (tackle by Eddie Jackson),1.470,1.870
4,8:33,2,3,CLE 45,17,20,D'Onta Foreman up the middle for 2 yards (tackle by Malik Harrison and Roquan Smith),1.870,1.420
4,8:02,3,1,CLE 47,17,20,Jameis Winston up the middle for 1 yard (tackle by Malik Harrison and Roquan Smith),1.420,2.130
4,7:17,1,10,CLE 48,17,20,Jameis Winston pass complete short left to Elijah Moore for 15 yards (tackle by Brandon Stephens),2.130,3.120
4,6:39,1,10,BAL 37,17,20,Nick Chubb left end for no gain (tackle by Nnamdi Madubuike),3.120,2.570
4,6:06,2,10,BAL 37,17,20,Jameis Winston pass complete short right to David Njoku for 8 yards (tackle by Roquan Smith),2.570,2.940
4,5:44,3,2,BAL 29,17,20,Nick Chubb up the middle for -1 yards (tackle by Trenton Simpson and Eddie Jackson),2.940,1.480
4,4:59,4,3,BAL 30,17,23,Dustin Hopkins 48 yard field goal good,1.480,3.000
4,4:55,,,CLE 35,17,23,Dustin Hopkins kicks off 66 yards returned by Chris Collier for 19 yards (tackle by Nathaniel Watson). Penalty on Charlie Kolar: Defensive Illegal Blindside Block 9 yards (accepted),0.000,-0.380
4,4:49,1,10,BAL 9,17,23,Lamar Jackson scrambles up the middle for 22 yards (tackle by Devin Bush),-0.380,1.000
4,4:04,1,10,BAL 31,17,23,Lamar Jackson right end for 6 yards (tackle by Juan Thornhill and Devin Bush),1.000,1.270
4,3:59,2,4,BAL 37,17,23,Lamar Jackson pass complete deep left to Zay Flowers for 29 yards (tackle by Cameron Mitchell),1.270,3.310
4,3:31,1,10,CLE 34,17,23,Lamar Jackson pass complete short right to Mark Andrews for 9 yards (tackle by Mohamoud Diabate),3.310,3.990
4,2:50,2,1,CLE 25,17,23,Lamar Jackson pass complete short middle to Zay Flowers for 23 yards (tackle by Greg Newsome),3.990,6.740
4,2:41,1,2,CLE 2,23,23,Derrick Henry left end for 2 yards touchdown,6.740,7.000
4,2:36,,,CLE 15,24,23,Justin Tucker kicks extra point good,0.000,0.000
4,2:36,,,BAL 35,24,23,Justin Tucker kicks off 52 yards returned by Pierre Strong for 18 yards (tackle by Sanoussi Kane),0.000,1.000
4,2:31,1,10,CLE 31,24,23,Jameis Winston pass complete short right to Elijah Moore for 3 yards (tackle by Eddie Jackson),1.000,0.870
4,2:07,2,7,CLE 34,24,23,Jameis Winston pass complete short right to Cedric Tillman for 12 yards (tackle by Roquan Smith),0.870,1.990
4,2:00,1,10,CLE 46,24,23,Jameis Winston pass incomplete short right intended for Jerry Jeudy,1.990,1.450
4,1:57,2,10,CLE 46,24,23,Jameis Winston pass complete short right to Jerry Jeudy for 11 yards (tackle by Jalyn Armour-Davis),1.450,2.720
4,1:25,1,10,BAL 43,24,23,Jameis Winston pass complete short left to David Njoku for 3 yards (tackle by Kyle Hamilton),2.720,2.580
4,1:21,,,,,,Timeout #1 by Baltimore Ravens,,
4,1:21,2,7,BAL 40,24,23,Jameis Winston pass incomplete short right intended for Elijah Moore,2.580,1.880
4,1:18,3,7,BAL 40,24,23,Jameis Winston pass complete short right to Elijah Moore for 7 yards (tackle by Ar'Darius Washington),1.880,3.380
4,1:08,,,,,,Timeout #2 by Baltimore Ravens,,
4,1:08,1,10,BAL 33,24,23,Penalty on Wyatt Teller: False Start 5 yards (accepted) (no play),3.380,3.050
4,1:08,1,15,BAL 38,24,23,Jameis Winston pass incomplete short right intended for Elijah Moore,3.050,2.160
4,1:04,2,15,BAL 38,24,29,Jameis Winston pass complete deep right to Cedric Tillman for 38 yards touchdown,2.160,7.000
4,0:59,,,BAL 2,24,29,Two Point Attempt: Jameis Winston pass incomplete intended for intended for Cedric Tillman,1.000,-1.000
4,0:59,,,CLE 35,24,29,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
4,0:59,1,10,BAL 30,24,29,Lamar Jackson pass complete short left to Nelson Agholor for 11 yards (tackle by Mohamoud Diabate and Cameron Mitchell),0.940,1.660
4,0:45,1,10,BAL 41,24,29,Lamar Jackson spiked the ball,1.660,1.120
