Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
3,6:47,2,1,NYJ 29,0,12,Josh Allen pass incomplete short right intended for Keon Coleman (defended by Solomon Thomas),3.720,3.010
3,6:42,3,1,NYJ 29,0,12,Josh Allen left guard for 3 yards (tackle by Jamien Sherwood),3.010,3.840
3,6:04,1,10,NYJ 26,0,12,James Cook up the middle for -4 yards (tackle by Solomon Thomas),3.840,2.830
3,5:19,2,13,NYJ 30,0,18,Josh Allen pass complete deep right to Amari Cooper for 30 yards touchdown,2.830,7.000
3,5:13,,,NYJ 15,0,19,Tyler Bass kicks extra point good,0.000,0.000
3,5:13,,,BUF 35,0,19,Tyler Bass kicks off 65 yards returned by Xavier Gipson for 25 yards (tackle by Christian Benford). Penalty on Jeremy Ruckert: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.220
3,5:03,1,10,NYJ 15,0,19,Breece Hall right guard for 1 yard (tackle by Von Miller),-0.220,-0.580
3,4:28,2,9,NYJ 16,0,19,Aaron Rodgers pass complete short left to Davante Adams for 3 yards (tackle by Taron Johnson),-0.580,-0.880
3,3:52,3,6,NYJ 19,0,19,Aaron Rodgers sacked by Von Miller for -8 yards,-0.880,-2.490
3,3:22,4,14,NYJ 11,0,19,Thomas Morstead punts 56 yards returned by Brandon Codrington for 25 yards (tackle by Braelon Allen). Penalty on Jarius Monroe: Player Out of Bounds on a Punt 5 yards (accepted),-2.490,-3.120
3,3:05,1,10,NYJ 37,0,19,Josh Allen pass complete short left to Dalton Kincaid for 13 yards (tackle by D.J. Reed),3.120,3.970
3,2:27,1,10,NYJ 24,0,19,Josh Allen pass incomplete deep left intended for Quintin Morris,3.970,3.430
3,2:22,2,10,NYJ 24,0,19,James Cook up the middle for 3 yards (tackle by Quincy Williams and Bruce Hector). Penalty on Micheal Clemons: Unnecessary Roughness / Defense 10 yards (accepted),3.430,4.840
3,2:02,1,10,NYJ 11,0,19,Josh Allen pass incomplete short left intended for Keon Coleman. Penalty on Quinnen Williams: Unnecessary Roughness / Defense 6 yards (accepted) . Penalty on D.J. Reed: Illegal Use of Hands / Defense 5 yards (declined) (no play),4.840,6.060
3,1:57,1,5,NYJ 5,0,19,James Cook right end for 4 yards (tackle by Brandin Echols),6.060,5.910
3,1:17,2,1,NYJ 1,0,25,James Cook left guard for 1 yard touchdown,5.910,7.000
3,1:15,,,NYJ 15,0,26,Tyler Bass kicks extra point good,0.000,0.000
3,1:15,,,BUF 35,0,26,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,1:15,1,10,NYJ 30,0,26,Aaron Rodgers pass complete short left to Garrett Wilson for no gain. Garrett Wilson fumbles (forced by Ed Oliver) recovered by Matt Milano at NYJ-15 touchdown Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Aaron Rodgers pass complete short left to Garrett Wilson for -10 yards. Garrett Wilson fumbles (forced by Ed Oliver) recovered by Matt Milano at NYJ-15,0.940,-4.580
3,1:08,1,10,NYJ 15,0,26,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Quincy Williams). Penalty on Alec Anderson: Illegal Formation 5 yards (declined),4.580,3.950
3,1:03,2,10,NYJ 15,0,26,Ty Johnson right end for 1 yard (tackle by Tony Adams and Chazz Surratt),3.950,3.240
3,0:21,3,9,NYJ 14,0,32,Josh Allen pass complete short left to Keon Coleman for 14 yards touchdown,3.240,7.000
3,0:12,,,NYJ 15,0,32,Penalty on Solomon Thomas: Unnecessary Roughness / Defense 8 yards (accepted) (no play),0.000,0.000
3,0:12,,,NYJ 7,0,33,Tyler Bass kicks extra point good,0.000,0.000
3,0:12,,,BUF 35,0,33,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,0:12,1,10,NYJ 30,0,33,Aaron Rodgers pass incomplete short left intended for Davante Adams,0.940,0.390
3,0:06,2,10,NYJ 30,0,33,Aaron Rodgers sacked by Ed Oliver for -12 yards,0.390,-2.120
4,15:00,3,22,NYJ 18,0,33,Aaron Rodgers pass complete short right to Breece Hall for 8 yards (tackle by Ed Oliver and Cameron Lewis),-2.120,-1.630
4,14:29,4,14,NYJ 26,0,33,Thomas Morstead punts 46 yards returned by Brandon Codrington for 7 yards (tackle by Isaiah Davis),-1.630,-1.270
4,14:15,1,10,BUF 35,0,33,Ray Davis right end for -2 yards (tackle by Bruce Hector),1.270,0.450
4,13:32,2,12,BUF 33,0,33,Ray Davis right end for -2 yards (tackle by Jamien Sherwood and Bruce Hector),0.450,-0.490
4,12:48,3,14,BUF 31,0,39,Mitchell Trubisky pass complete short left to Tyrell Shavers for 69 yards touchdown,-0.490,7.000
4,12:37,,,NYJ 15,0,40,Tyler Bass kicks extra point good,0.000,0.000
4,12:37,,,BUF 35,0,40,Tyler Bass kicks off 65 yards touchback.. Penalty on Marcelino McCrary-Ball: Illegal Formation 5 yards (accepted),0.000,0.610
4,12:37,1,10,NYJ 25,0,40,Braelon Allen right guard for 6 yards (tackle by Dorian Williams and Joe Andreessen),0.610,0.870
4,12:08,2,4,NYJ 31,0,40,Tyrod Taylor pass complete short left to Tyler Conklin for 5 yards (tackle by Dorian Williams and Joe Andreessen),0.870,1.330
4,11:38,1,10,NYJ 36,0,40,Tyrod Taylor scrambles left tackle for 6 yards (tackle by Quinton Jefferson),1.330,1.600
4,10:55,2,4,NYJ 42,0,40,Braelon Allen left guard for 11 yards (tackle by Joe Andreessen),1.600,2.460
4,10:27,1,10,BUF 47,0,40,Tyrod Taylor pass complete short right to Davante Adams for 3 yards (tackle by Brandon Codrington),2.460,2.320
4,10:02,2,7,BUF 44,0,40,Tyrod Taylor pass complete short right to Allen Lazard for 9 yards (tackle by Taylor Rapp),2.320,3.250
4,9:35,1,10,BUF 35,0,40,Tyrod Taylor pass complete short left to Isaiah Davis for 8 yards (tackle by Joe Andreessen and Dorian Williams),3.250,3.780
4,9:06,2,2,BUF 27,0,40,Tyrod Taylor aborted snap recovered by Tyrod Taylor at BUF-35 and returned for -8 yards (tackle by A.J. Epenesa),3.780,2.010
4,8:23,,,,,,Timeout #1 by Buffalo Bills,,
4,8:23,3,10,BUF 35,0,40,Tyrod Taylor pass complete short right to Garrett Wilson for 12 yards (tackle by Cole Bishop),2.010,4.040
4,8:00,1,10,BUF 23,0,40,Isaiah Davis right guard for 14 yards (tackle by Brandon Codrington and Dorian Williams),4.040,5.140
4,7:16,1,9,BUF 9,0,40,Tyrod Taylor pass incomplete short right intended for Garrett Wilson,5.140,4.380
4,7:11,2,9,BUF 9,0,40,Tyrod Taylor pass incomplete short left,4.380,3.360
4,7:04,3,9,BUF 9,6,40,Tyrod Taylor pass complete short right to Garrett Wilson for 9 yards touchdown,3.360,7.000
4,6:59,,,BUF 2,8,40,Two Point Attempt: Tyrod Taylor pass complete to to Tyler Conklin for no gain,1.000,1.000
4,6:59,,,NYJ 35,8,40,Thomas Morstead kicks off 61 yards returned by Ty Johnson for 45 yards (tackle by Tony Adams and Brandin Echols),0.000,2.190
4,6:51,1,10,BUF 49,8,40,Ray Davis right tackle for 3 yards (tackle by Quincy Williams and Chuck Clark),2.190,2.050
4,6:12,,,,,,Timeout #2 by Buffalo Bills,,
4,6:12,2,7,NYJ 48,8,40,Reggie Gilliam right guard for 4 yards (tackle by Chazz Surratt and Quincy Williams),2.050,1.880
4,5:37,3,3,NYJ 44,8,40,Reggie Gilliam right guard for -1 yards (tackle by D.J. Reed and Jamien Sherwood),1.880,0.270
4,4:52,4,4,NYJ 45,8,40,Ray Davis up the middle for 3 yards (tackle by Chuck Clark),0.270,-1.730
4,4:44,1,10,NYJ 42,8,40,Tyrod Taylor pass complete short left to Tyler Conklin for 5 yards (tackle by Joe Andreessen),1.730,1.860
4,4:39,2,5,NYJ 47,8,40,Tyrod Taylor pass complete short left to Tyler Conklin for -1 yards (tackle by Joe Andreessen),1.860,1.030
4,4:09,3,6,NYJ 46,8,40,Tyrod Taylor pass complete short middle to Tyler Conklin for 10 yards (tackle by Joe Andreessen),1.030,2.650
4,3:34,1,10,BUF 44,8,40,Isaiah Davis left end for 11 yards (tackle by Cole Bishop),2.650,3.380
4,2:53,1,10,BUF 33,8,40,Tyrod Taylor pass incomplete short right intended for Kenny Yeboah,3.380,2.840
4,2:43,2,10,BUF 33,8,40,Tyrod Taylor pass complete short right to Tyler Conklin for 3 yards (tackle by Joe Andreessen),2.840,2.540
4,2:40,3,7,BUF 30,8,40,Isaiah Davis left guard for 10 yards (tackle by Dorian Williams),2.540,4.240
4,2:00,1,10,BUF 20,14,40,Tyrod Taylor pass complete deep right to Tyler Conklin for 20 yards touchdown,4.240,7.000
4,1:55,,,BUF 2,14,40,Two Point Attempt: Tyrod Taylor pass incomplete intended for,1.000,-1.000
4,1:55,,,NYJ 35,14,40,Thomas Morstead kicks off 63 yards recovered by Ty Johnson at BUF-3 (tackle by Jarius Monroe and Samuel Eguavoen),0.000,0.150
4,1:48,1,10,BUF 19,14,40,Ray Davis left end for 4 yards (tackle by Tony Adams),0.150,0.210
4,1:11,2,6,BUF 23,14,40,Mitchell Trubisky kneels for no gain,0.210,-0.550
4,0:38,3,6,BUF 23,14,40,Mitchell Trubisky kneels for -1 yards,-0.550,-1.900
