Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
4,11:34,2,5,NWE 33,37,7,Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Eddie Jackson). Penalty on Cole Strange: Ineligible Downfield Pass 5 yards (accepted) (no play),0.940,0.260
4,11:15,2,10,NWE 28,37,7,Drake Maye pass incomplete short middle intended for Rhamondre Stevenson,0.260,-0.430
4,11:10,3,10,NWE 28,37,7,Drake Maye pass incomplete short right intended for Kendrick Bourne,-0.430,-1.500
4,11:06,4,10,NWE 28,37,7,Bryce Baringer punts 64 yards returned by Derius Davis for 13 yards (tackle by Dell Pettus),-1.500,-0.340
4,10:54,1,10,LAC 21,37,7,Hassan Haskins up the middle for 5 yards (tackle by Davon Godchaux and Keion White),0.340,0.480
4,10:12,2,5,LAC 26,37,7,Taylor Heinicke scrambles left end for 8 yards (tackle by Marte Mapu),0.480,1.200
4,9:25,1,10,LAC 34,37,7,Hassan Haskins up the middle for 6 yards (tackle by Daniel Ekuale),1.200,1.470
4,8:38,2,4,LAC 40,37,7,Kimani Vidal up the middle for 5 yards (tackle by Davon Godchaux and Sione Takitaki),1.470,1.930
4,7:52,1,10,LAC 45,37,7,Kimani Vidal left guard for 1 yard (tackle by Marte Mapu),1.930,1.520
4,7:07,2,9,LAC 46,37,7,Hassan Haskins up the middle for 3 yards (tackle by Kyle Dugger),1.520,1.220
4,6:34,3,6,LAC 49,37,7,Taylor Heinicke pass incomplete short left intended for DJ Chark,1.220,-0.130
4,6:25,4,6,LAC 49,37,7,Penalty on JK Scott: Delay of Game 5 yards (accepted) (no play),-0.130,-0.460
4,6:25,4,11,LAC 44,37,7,JK Scott punts 39 yards fair catch by Alex Erickson at NE-17,-0.460,0.060
4,6:17,1,10,NWE 17,37,7,Drake Maye pass incomplete short left intended for Javon Baker (defended by Cam Hart),-0.060,-0.580
4,6:14,2,10,NWE 17,37,7,Antonio Gibson up the middle for 4 yards (tackle by Bud Dupree),-0.580,-0.750
4,5:39,3,6,NWE 21,37,7,Drake Maye pass incomplete deep right intended for Ja'Lynn Polk (defended by Deane Leonard),-0.750,-1.960
4,5:32,4,6,NWE 21,37,7,Drake Maye pass complete short right to Austin Hooper for 5 yards (tackle by Tony Jefferson and Troy Dye),-1.960,-3.840
4,5:25,1,10,NWE 26,37,7,Hassan Haskins up the middle for 2 yards (tackle by Davon Godchaux and Dell Pettus),3.840,3.570
4,4:41,2,8,NWE 24,37,7,Taylor Heinicke pass incomplete short right intended for Kimani Vidal,3.570,2.870
4,4:35,3,8,NWE 24,37,7,Kimani Vidal right tackle for 7 yards (tackle by Jahlani Tavai),2.870,2.460
4,3:51,4,1,NWE 17,40,7,Cameron Dicker 35 yard field goal good,2.460,3.000
4,3:47,,,LAC 35,40,7,Cameron Dicker kicks off 69 yards returned by Alex Erickson for 34 yards (tackle by Hassan Haskins),0.000,0.940
4,3:39,1,10,NWE 30,40,7,Antonio Gibson up the middle for 3 yards (tackle by Otito Ogbonnia and Teair Tart),0.940,0.800
4,3:00,2,7,NWE 33,40,7,Antonio Gibson up the middle for 4 yards (tackle by Junior Colson and Otito Ogbonnia),0.800,0.630
4,2:18,3,3,NWE 37,40,7,Antonio Gibson up the middle for 7 yards (tackle by Scott Matlock),0.630,1.860
4,2:00,1,10,NWE 44,40,7,Jacoby Brissett pass complete short right to Demario Douglas for -2 yards (tackle by Deane Leonard),1.860,1.050
4,1:16,2,12,NWE 42,40,7,Antonio Gibson up the middle for 14 yards (tackle by Junior Colson and Tony Jefferson),1.050,2.650
4,0:40,1,10,LAC 44,40,7,Antonio Gibson right end for 20 yards (tackle by Tony Jefferson),2.650,3.970
4,0:39,1,10,LAC 24,40,7,Antonio Gibson up the middle for 5 yards (tackle by Otito Ogbonnia and Bud Dupree),3.970,4.120
