Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2,5:25,1,19,TAM 42,7,20,Baker Mayfield sacked by Jadeveon Clowney for -8 yards,1.730,-0.520
2,4:40,2,27,TAM 34,7,20,Baker Mayfield pass complete deep middle to Ryan Miller for 23 yards (tackle by Michael Jackson). Penalty on Jadeveon Clowney: Defensive Offside 5 yards (declined),-0.520,1.880
2,4:27,3,4,CAR 43,7,20,Baker Mayfield pass complete short middle to Mike Evans for 10 yards (tackle by Michael Jackson),1.880,3.380
2,3:37,1,10,CAR 33,7,20,Baker Mayfield pass incomplete deep right intended for Mike Evans,3.380,2.840
2,3:31,2,10,CAR 33,7,20,Bucky Irving right guard for 6 yards (tackle by Jaden Crumedy),2.840,2.940
2,2:48,3,4,CAR 27,7,20,Bucky Irving left guard for 5 yards (tackle by Xavier Woods and Chandler Wooten),2.940,4.110
2,2:06,1,10,CAR 22,7,20,Bucky Irving right end for 9 yards (tackle by Chandler Wooten and Demani Richardson),4.110,5.060
2,2:00,2,1,CAR 13,7,20,Rachaad White left tackle for 3 yards (tackle by D.J. Wonnum and Michael Jackson),5.060,4.910
2,1:17,1,10,CAR 10,7,26,Baker Mayfield pass complete short middle to Jalen McMillan for 10 yards touchdown,4.910,7.000
2,1:11,,,CAR 15,7,27,Chase McLaughlin kicks extra point good,0.000,0.000
2,1:11,,,TAM 35,7,27,Jack Browning kicks off 65 yards touchback.,0.000,0.940
2,1:11,1,10,CAR 30,7,27,Bryce Young pass complete short left to Xavier Legette for 5 yards (tackle by Jamel Dean),0.940,1.070
2,1:05,2,5,CAR 35,7,27,Bryce Young pass incomplete short right,1.070,0.370
2,1:01,3,5,CAR 35,7,27,Bryce Young pass complete short middle to Xavier Legette for 10 yards (tackle by Zyon McCollum). Penalty on Vita Vea: Roughing the Passer 15 yards (accepted),0.370,2.920
2,0:56,1,10,TAM 40,13,27,Bryce Young pass complete deep middle to Adam Thielen for 40 yards touchdown,2.920,7.000
2,0:50,,,TAM 15,14,27,Eddy Piñeiro kicks extra point good,0.000,0.000
2,0:50,,,CAR 35,14,27,Eddy Piñeiro kicks off 63 yards returned by Rakim Jarrett for 15 yards (tackle by Lonnie Johnson),0.000,-0.060
2,0:46,1,10,TAM 17,14,27,Penalty on Tristan Wirfs: False Start 5 yards (accepted) (no play),-0.060,-0.510
2,0:46,1,15,TAM 12,14,27,Baker Mayfield pass incomplete short middle intended for Ryan Miller,-0.510,-1.150
2,0:42,2,15,TAM 12,14,27,Baker Mayfield pass complete short left to Ryan Miller for 3 yards (tackle by Akayleb Evans),-1.150,-1.570
2,0:36,,,,,,Timeout #1 by Carolina Panthers,,
2,0:36,3,12,TAM 15,14,27,Baker Mayfield pass complete short middle to Devin Culp for 9 yards (tackle by Chandler Wooten and Demani Richardson),-1.570,-1.770
2,0:28,,,,,,Timeout #2 by Carolina Panthers,,
2,0:28,4,3,TAM 24,14,27,Jack Browning punts 52 yards fair catch by David Moore at CAR-24,-1.770,-0.540
2,0:20,1,10,CAR 24,14,27,Bryce Young pass complete deep right to David Moore for 17 yards (tackle by Zyon McCollum),0.540,1.660
2,0:15,,,,,,Timeout #3 by Carolina Panthers,,
2,0:15,1,10,CAR 41,14,27,Bryce Young pass incomplete short right intended for Ja'Tavion Sanders. Penalty on Calijah Kancey: Defensive Offside 5 yards (accepted) (no play),1.660,2.390
2,0:11,1,5,CAR 46,14,27,Bryce Young pass complete short left to Adam Thielen for 19 yards (tackle by Kaevon Merriweather),2.390,3.250
2,0:06,1,10,TAM 35,14,27,Bryce Young pass incomplete short left,3.250,2.700
2,0:03,2,10,TAM 35,14,27,Eddy Piñeiro 53 yard field goal no good,2.700,1.730
3,15:00,,,TAM 35,14,27,Jack Browning kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CAR 30,14,27,Raheem Blackshear left guard for -2 yards (tackle by Tykee Smith and Josh Hayes),0.940,0.120
3,14:17,2,12,CAR 28,14,27,Bryce Young pass complete deep right to Jalen Coker for 20 yards (tackle by Mike Edwards),0.120,2.130
3,13:31,,,,,,Timeout #1 by Carolina Panthers,,
3,13:31,1,10,CAR 48,14,27,Bryce Young sacked by YaYa Diaby for -10 yards,2.130,0.230
3,13:18,2,20,CAR 38,14,27,Bryce Young sacked by Anthony Nelson for -4 yards,0.230,-0.960
3,12:36,3,24,CAR 34,14,27,Raheem Blackshear right tackle for 8 yards (tackle by Lavonte David),-0.960,-0.590
3,11:53,4,16,CAR 42,14,27,Johnny Hekker punts 51 yards returned by Trey Palmer for -1 yards (tackle by Sam Franklin),-0.590,0.380
3,11:38,1,10,TAM 6,14,27,Bucky Irving left tackle for no gain (tackle by Jacoby Windmon),-0.380,-0.780
3,11:03,2,10,TAM 6,14,27,Baker Mayfield pass complete short left to Jalen McMillan for 9 yards (tackle by Chandler Wooten),-0.780,-0.370
3,10:40,3,1,TAM 15,14,27,Jalen McMillan left end for 9 yards (tackle by Caleb Farley),-0.370,0.540
3,10:09,1,10,TAM 24,14,27,Baker Mayfield pass complete deep middle to Mike Evans for 34 yards (tackle by Xavier Woods),0.540,2.790
3,9:39,1,10,CAR 42,14,27,Baker Mayfield pass complete short left to Bucky Irving for 16 yards (tackle by Dane Jackson),2.790,3.840
3,9:09,1,10,CAR 26,14,27,Bucky Irving right guard for 6 yards (tackle by Chandler Wooten and Jacoby Windmon),3.840,4.110
3,8:33,2,4,CAR 20,14,27,Bucky Irving right tackle for no gain (tackle by DeShawn Williams and Cam Gill). Penalty on Rakim Jarrett: Offensive Offside 5 yards (accepted) (no play),4.110,3.430
3,8:08,2,9,CAR 25,14,27,Baker Mayfield pass complete short left to Jalen McMillan for 15 yards (tackle by Chandler Wooten),3.430,4.910
3,7:23,1,10,CAR 10,14,27,Baker Mayfield pass complete short right to Bucky Irving for 4 yards (tackle by Demani Richardson),4.910,4.950
3,6:36,2,6,CAR 6,14,27,Baker Mayfield pass complete short left to Jalen McMillan for 1 yard (tackle by Demani Richardson),4.950,4.260
3,5:52,3,5,CAR 5,14,33,Baker Mayfield pass complete short left to Payne Durham for 5 yards touchdown,4.260,7.000
3,5:48,,,CAR 15,14,34,Chase McLaughlin kicks extra point good,0.000,0.000
3,5:48,,,TAM 35,14,34,Jack Browning kicks off 65 yards touchback.,0.000,0.940
3,5:48,1,10,CAR 30,14,34,Bryce Young pass incomplete deep right intended for Xavier Legette (defended by J.J. Russell),0.940,0.390
3,5:40,2,10,CAR 30,14,34,Bryce Young pass incomplete short right intended for Adam Thielen,0.390,-0.300
3,5:35,3,10,CAR 30,14,34,Bryce Young pass incomplete deep right. Penalty on Mike Boone: Offensive Holding 10 yards (declined),-0.300,-1.370
3,5:30,4,10,CAR 30,14,40,Johnny Hekker punts blocked by Joe Tryon-Shoyinka touchdown,-1.370,-7.000
3,5:23,,,CAR 15,14,41,Chase McLaughlin kicks extra point good,0.000,0.000
3,5:23,,,TAM 35,14,41,Jack Browning kicks off 65 yards touchback.,0.000,0.940
3,5:23,1,10,CAR 30,14,41,Mike Boone up the middle for 8 yards (tackle by K.J. Britt),0.940,1.470
3,5:00,2,2,CAR 38,14,41,Mike Boone right guard for 3 yards (tackle by Anthony Nelson),1.470,1.660
3,4:30,1,10,CAR 41,14,41,Bryce Young pass complete short right to Xavier Legette for 3 yards (tackle by Zyon McCollum),1.660,1.530
3,3:53,2,7,CAR 44,14,41,Bryce Young pass incomplete short middle,1.530,0.830
3,3:46,3,7,CAR 44,14,41,Bryce Young pass incomplete short left intended for Mike Boone,0.830,-0.460
3,3:43,4,7,CAR 44,14,41,Penalty on Cade Mays: False Start 5 yards (accepted) (no play),-0.460,-0.780
3,3:43,4,12,CAR 39,14,41,Johnny Hekker punts 48 yards returned by Trey Palmer for 2 yards (tackle by Jon Rhattigan and Dan Chisena),-0.780,0.220
3,3:33,1,10,TAM 15,14,41,Baker Mayfield pass complete short middle to Mike Evans for 15 yards (tackle by Xavier Woods),-0.220,0.940
3,3:00,1,10,TAM 30,14,41,Rachaad White right guard for 16 yards (tackle by DJ Johnson),0.940,1.990
3,2:15,1,10,TAM 46,14,41,Rachaad White left end for 3 yards (tackle by Michael Jackson),1.990,1.860
3,1:29,2,7,TAM 49,14,41,Baker Mayfield pass complete short right to Bucky Irving for 15 yards (tackle by Chandler Wooten),1.860,3.180
3,0:48,1,10,CAR 36,14,41,Baker Mayfield pass incomplete short middle intended for Payne Durham (defended by Jacoby Windmon),3.180,2.640
3,0:45,2,10,CAR 36,14,41,Bucky Irving left end for 12 yards (tackle by A'Shawn Robinson and D.J. Wonnum),2.640,3.970
4,15:00,1,10,CAR 24,14,41,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Jacoby Windmon),3.970,3.970
4,14:25,2,6,CAR 20,14,41,Rachaad White right tackle for -1 yards (tackle by Michael Jackson),3.970,3.140
4,13:42,3,7,CAR 21,14,41,Baker Mayfield pass complete short left to Mike Evans for no gain (tackle by Caleb Farley). Penalty on Jadeveon Clowney: Defensive Offside 5 yards (accepted) (no play),3.140,3.950
4,13:36,3,2,CAR 16,14,47,Baker Mayfield pass complete short left to Jalen McMillan for 16 yards touchdown,3.950,7.000
4,13:30,,,CAR 15,14,48,Chase McLaughlin kicks extra point good,0.000,0.000
4,13:30,,,TAM 35,14,48,Jack Browning kicks off 65 yards touchback.,0.000,0.940
4,13:30,1,10,CAR 30,14,48,Raheem Blackshear left end for 6 yards (tackle by Greg Gaines),0.940,1.200
4,12:53,2,4,CAR 36,14,48,Raheem Blackshear right guard for -2 yards (tackle by Logan Hall),1.200,0.230
4,12:14,3,6,CAR 34,14,48,Bryce Young scrambles right end for 7 yards (tackle by Joe Tryon-Shoyinka),0.230,1.660
4,11:29,1,10,CAR 41,14,48,Bryce Young aborted snap recovered by Bryce Young at CAR-41 Bryce Young pass complete short middle to Xavier Legette for 5 yards (tackle by Jordan Whitehead),1.660,1.800
4,10:55,2,5,CAR 46,14,48,Bryce Young pass complete short right to Xavier Legette for 5 yards (tackle by Zyon McCollum),1.800,2.320
4,10:16,1,10,TAM 49,14,48,Bryce Young pass complete short right to Adam Thielen for 3 yards (tackle by Tykee Smith),2.320,2.190
4,9:38,2,7,TAM 46,14,48,Bryce Young pass complete short right to Dan Chisena for 8 yards,2.190,3.050
4,9:06,1,10,TAM 38,14,48,Bryce Young pass incomplete short right,3.050,2.510
4,9:03,2,10,TAM 38,14,48,Bryce Young pass complete short middle to Ja'Tavion Sanders for 5 yards (tackle by K.J. Britt),2.510,2.480
