Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
3,4:31,1,10,WAS 43,17,14,Penalty on Samuel Cosmi: False Start 5 yards (accepted) (no play),1.800,1.470
3,4:16,1,15,WAS 38,17,14,Jayden Daniels pass incomplete short middle intended for Terry McLaurin (defended by Nathan Landman),1.470,0.580
3,4:11,2,15,WAS 38,17,14,Jayden Daniels scrambles up the middle for 18 yards (tackle by Richie Grant),0.580,2.650
3,3:30,1,10,ATL 44,17,14,Chris Rodriguez right end for 2 yards (tackle by Nathan Landman),2.650,2.380
3,3:09,2,8,ATL 42,17,14,Jayden Daniels scrambles right end for 3 yards (tackle by Lorenzo Carter),2.380,2.080
3,2:23,3,5,ATL 39,17,14,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,2.080,0.660
3,2:15,4,5,ATL 39,17,14,Jayden Daniels pass complete short middle to Jeremy McNichols for 6 yards (tackle by Jessie Bates),0.660,3.380
3,1:38,,,,,,Timeout #1 by Atlanta Falcons,,
3,1:38,1,10,ATL 33,17,14,Jayden Daniels pass complete short right to Olamide Zaccheaus for 6 yards (tackle by DeAundre Alford),3.380,3.650
3,1:09,2,4,ATL 27,17,14,Olamide Zaccheaus right end for 8 yards (tackle by Jessie Bates and Kaden Elliss),3.650,4.310
3,0:38,1,10,ATL 19,17,14,Jayden Daniels right end for 5 yards (tackle by Kaden Elliss),4.310,4.530
4,15:00,2,5,ATL 14,17,14,Chris Rodriguez right tackle for 4 yards (tackle by Matt Judon),4.530,4.690
4,14:22,3,1,ATL 10,17,14,Chris Rodriguez up the middle for 2 yards (tackle by Eddie Goldman and Grady Jarrett),4.690,5.370
4,13:46,1,8,ATL 8,17,14,Chris Rodriguez left guard for 6 yards (tackle by Justin Simmons),5.370,5.720
4,13:08,2,2,ATL 2,17,20,Chris Rodriguez left end for 2 yards touchdown,5.720,7.000
4,13:03,,,ATL 15,17,21,Zane Gonzalez kicks extra point good,0.000,0.000
4,13:03,,,WAS 35,17,21,Zane Gonzalez kicks off 65 yards touchback.,0.000,0.940
4,13:03,1,10,ATL 30,17,21,Michael Penix pass complete short middle to Charlie Woerner for 6 yards (tackle by Michael Davis),0.940,1.200
4,12:27,2,4,ATL 36,17,21,Bijan Robinson left end for 2 yards (tackle by Jonathan Allen),1.200,0.760
4,11:46,3,2,ATL 38,17,21,Michael Penix pass complete short middle to Ray-Ray McCloud for 13 yards (tackle by Mike Sainristil and Jer'Zhan Newton),0.760,2.320
4,11:09,1,10,WAS 49,17,21,Michael Penix pass incomplete short left intended for Darnell Mooney,2.320,1.780
4,11:02,2,10,WAS 49,17,21,Michael Penix pass incomplete short middle intended for Drake London (defended by Quan Martin),1.780,1.090
4,10:57,3,10,WAS 49,17,21,Michael Penix sacked by Dorance Armstrong for -6 yards. Michael Penix fumbles (forced by Dorance Armstrong) recovered by Drew Dalman at ATL-45 (tackle by Dorance Armstrong),1.090,-0.390
4,10:13,4,16,ATL 45,17,21,Bradley Pinion punts 38 yards returned by Jamison Crowder for 19 yards (tackle by Avery Williams and JD Bertrand),-0.390,-1.330
4,10:02,1,10,WAS 36,17,21,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 16 yards (tackle by Jessie Bates),1.330,2.390
4,9:23,1,10,ATL 48,17,21,Jayden Daniels left end for 7 yards (tackle by Nathan Landman),2.390,2.790
4,8:41,2,3,ATL 41,17,21,Brian Robinson left guard for 11 yards (tackle by Justin Simmons),2.790,3.580
4,8:05,1,10,ATL 30,17,21,Brian Robinson left end for 12 yards (tackle by Kaden Elliss),3.580,4.370
4,7:32,1,10,ATL 18,17,21,Brian Robinson right guard for 1 yard (tackle by Kentavius Street),4.370,3.940
4,6:58,2,9,ATL 17,17,21,Jayden Daniels pass complete short middle to John Bates for 14 yards (tackle by Justin Simmons),3.940,6.510
4,6:07,,,,,,Timeout #1 by Washington Commanders,,
4,6:07,1,3,ATL 3,17,21,Jayden Daniels left tackle for 2 yards (tackle by Grady Jarrett and Eddie Goldman),6.510,5.910
4,5:21,,,,,,Timeout #2 by Washington Commanders,,
4,5:21,2,1,ATL 1,17,21,Brian Robinson up the middle for -1 yards (tackle by Matt Judon and Ruke Orhorhoro),5.910,4.950
4,4:45,3,2,ATL 2,17,21,Jayden Daniels pass complete short left to Olamide Zaccheaus for no gain touchdown. Penalty on Samuel Cosmi: Offensive Holding 10 yards (accepted) (no play),4.950,3.100
4,4:39,3,12,ATL 12,17,21,Jayden Daniels pass incomplete short left intended for Terry McLaurin,3.100,2.630
4,4:35,4,12,ATL 12,17,24,Zane Gonzalez 31 yard field goal good,2.630,3.000
4,4:32,,,WAS 35,17,24,Zane Gonzalez kicks off 60 yards returned by Avery Williams for 27 yards (tackle by Brycen Tremayne),0.000,1.070
4,4:25,1,10,ATL 32,17,24,Bijan Robinson left end for 5 yards (tackle by Mike Sainristil),1.070,1.200
4,4:18,2,5,ATL 37,17,24,Michael Penix pass incomplete deep right intended for Drake London,1.200,0.500
4,4:13,3,5,ATL 37,17,24,Michael Penix pass complete short left to Drake London for 14 yards,0.500,2.320
4,4:08,1,10,WAS 49,17,24,Michael Penix pass complete short left to Kyle Pitts for no gain (tackle by Michael Davis). Penalty on Kaleb McGary: Offensive Holding 10 yards (accepted) (no play),2.320,1.660
4,3:57,1,20,ATL 41,17,24,Michael Penix pass complete short middle to Bijan Robinson for 6 yards (tackle by Dante Fowler and Dorance Armstrong),1.660,1.240
4,3:28,2,14,ATL 47,17,24,Michael Penix scrambles up the middle for 3 yards (tackle by Javontae Jean-Baptiste and Dorance Armstrong),1.240,0.960
4,2:40,3,11,ATL 50,17,24,Michael Penix pass incomplete deep right intended for Kyle Pitts (defended by Jeremy Chinn),0.960,-0.060
4,2:34,4,11,ATL 50,17,24,Michael Penix pass complete deep left to Drake London for 31 yards (tackle by Quan Martin),-0.060,4.310
4,2:25,1,10,WAS 19,17,24,Ray-Ray McCloud right end for 14 yards (tackle by Quan Martin),4.310,6.060
4,2:20,1,5,WAS 5,17,24,Bijan Robinson aborted snap recovered by Bijan Robinson at WAS-27 and returned for -21 yards (tackle by Jalyn Holmes),6.060,2.190
4,2:00,2,26,WAS 26,17,24,Michael Penix pass complete short left to Drake London for 13 yards (tackle by Michael Davis),2.190,3.060
4,1:30,3,13,WAS 13,17,24,Michael Penix pass incomplete short right intended for Drake London,3.060,2.570
4,1:23,4,13,WAS 13,23,24,Michael Penix pass complete short middle to Kyle Pitts for 13 yards touchdown,2.570,7.000
4,1:19,,,WAS 15,24,24,Riley Patterson kicks extra point good,0.000,0.000
4,1:19,,,ATL 35,24,24,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
4,1:19,1,10,WAS 30,24,24,Jayden Daniels sacked by Arnold Ebiketie for no gain,0.940,0.390
4,0:59,2,10,WAS 30,24,24,Jayden Daniels pass incomplete short middle intended for Terry McLaurin,0.390,-0.300
4,0:55,3,10,WAS 30,24,24,Jayden Daniels pass incomplete deep middle intended for Olamide Zaccheaus,-0.300,-1.370
4,0:50,4,10,WAS 30,24,24,Tress Way punts 61 yards returned by Avery Williams for 10 yards (tackle by Percy Butler),-1.370,-0.150
4,0:40,1,10,ATL 19,24,24,Michael Penix pass complete deep right to Darnell Mooney for 25 yards (tackle by Michael Davis),0.150,1.860
4,0:19,1,10,ATL 44,24,24,Michael Penix pass incomplete deep left intended for Darnell Mooney,1.860,1.320
4,0:12,2,10,ATL 44,24,24,Michael Penix pass incomplete short middle intended for Drake London,1.320,0.630
4,0:07,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:07,3,10,ATL 44,24,24,Penalty on Daron Payne: Neutral Zone Infraction 5 yards (accepted) (no play),0.630,1.290
4,0:07,3,5,ATL 49,24,24,Michael Penix pass incomplete deep right intended for Darnell Mooney. Penalty on Michael Davis: Defensive Pass Interference 13 yards (accepted) (no play),1.290,3.050
4,0:02,1,10,WAS 38,24,24,Riley Patterson 56 yard field goal no good,3.050,0.000
,,,,,,,Commanders won the coin toss Commanders to receive the overtime kickoff.,,
OT,10:00,,,ATL 35,24,24,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,WAS 30,24,24,Penalty on Brandon Coleman: False Start 5 yards (accepted) (no play),0.940,0.610
OT,10:00,1,15,WAS 25,24,24,Jayden Daniels scrambles up the middle for 7 yards (tackle by Lorenzo Carter),0.610,0.660
OT,9:24,2,8,WAS 32,24,24,Jayden Daniels pass complete short middle to Zach Ertz for 10 yards (tackle by Jessie Bates),0.660,1.730
OT,8:46,1,10,WAS 42,24,24,Jayden Daniels left end for 7 yards (tackle by Nathan Landman),1.730,2.130
OT,8:10,2,3,WAS 49,24,24,Brian Robinson left tackle for 1 yard (tackle by Grady Jarrett),2.130,1.550
OT,7:38,3,2,WAS 50,24,24,Jayden Daniels scrambles right end for 16 yards (tackle by Justin Simmons),1.550,3.310
OT,6:58,1,10,ATL 34,24,24,Jayden Daniels pass complete short middle to Zach Ertz for 4 yards (tackle by Kaden Elliss),3.310,3.310
OT,6:19,2,6,ATL 30,24,24,Jayden Daniels pass complete short left to Chris Rodriguez for 12 yards (tackle by Mike Hughes),3.310,4.370
OT,5:41,1,10,ATL 18,24,24,Jayden Daniels pass complete short right to Brian Robinson for 4 yards (tackle by Jessie Bates and DeAundre Alford),4.370,4.430
OT,5:07,2,6,ATL 14,24,24,Jayden Daniels right end for 6 yards (tackle by JD Bertrand),4.430,5.370
OT,4:26,1,8,ATL 8,24,24,Jayden Daniels left end for no gain (tackle by DeAundre Alford),5.370,4.570
OT,3:37,2,8,ATL 8,24,24,Jayden Daniels scrambles up the middle for 6 yards (tackle by Justin Simmons),4.570,4.950
OT,2:45,,,,,,Timeout #1 by Washington Commanders,,
OT,2:45,3,2,ATL 2,24,30,Jayden Daniels pass complete short middle to Zach Ertz for 2 yards touchdown,4.950,6.000
