Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
4,10:29,1,10,SFO 30,34,28,Brock Purdy sacked by Myles Adams for -5 yards,0.940,-0.280
4,9:41,2,15,SFO 25,34,28,Penalty on Brock Purdy: Delay of Game 5 yards (accepted) (no play),-0.280,-0.960
4,9:29,2,20,SFO 20,34,28,Brock Purdy pass complete deep right to Ricky Pearsall for 15 yards,-0.960,0.370
4,9:07,3,5,SFO 35,34,28,Brock Purdy pass complete short left to Ricky Pearsall for 14 yards (tackle by Jack Campbell),0.370,2.190
4,8:27,1,10,SFO 49,34,28,Brock Purdy pass complete deep left to George Kittle for no gain (tackle by Ifeatu Melifonwu). Penalty on Austen Pleasants: Ineligible Downfield Pass 5 yards (accepted) (no play),2.190,1.860
4,8:04,1,15,SFO 44,34,28,Brock Purdy pass complete short left to Jauan Jennings for 5 yards (tackle by Terrion Arnold). Penalty on Brian Branch: Unnecessary Roughness / Defense 15 yards (accepted),1.860,3.180
4,7:42,1,10,DET 36,34,28,Brock Purdy pass short middle intended for Ricky Pearsall is intercepted by Kerby Joseph at DET-25 and returned for 13 yards (tackle by Deebo Samuel),3.180,-1.470
4,7:34,1,10,DET 38,34,28,Jahmyr Gibbs up the middle for 8 yards (tackle by Dee Winters and Jalen Graham),1.470,2.000
4,6:50,2,2,DET 46,34,28,Jahmyr Gibbs left guard for 4 yards (tackle by Nick Bosa and Deommodore Lenoir),2.000,2.260
4,6:07,1,10,DET 50,34,28,Craig Reynolds left end for 4 yards (tackle by Deommodore Lenoir),2.260,2.250
4,5:21,2,6,SFO 46,34,28,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Renardo Green),2.250,3.050
4,4:36,1,10,SFO 38,34,28,Craig Reynolds up the middle for 4 yards (tackle by Ji'Ayir Brown and Fred Warner),3.050,3.050
4,3:51,2,6,SFO 34,34,28,Jared Goff pass complete short right to Sam LaPorta for 4 yards (tackle by Talanoa Hufanga),3.050,2.870
4,3:06,3,2,SFO 30,40,28,Jahmyr Gibbs right end for 30 yards touchdown,2.870,7.000
4,2:58,,,SFO 15,40,28,Jake Bates kicks extra point no good,0.000,-1.000
4,2:58,,,DET 35,40,28,Jake Bates kicks off 65 yards returned by Deebo Samuel for 28 yards. Deebo Samuel fumbles (forced by Anthony Pittman) (tackle by Zeke Turner recovered by Tatum Bethune at SF-28,0.000,0.810
4,2:52,1,10,SFO 28,40,28,Brock Purdy pass complete short middle to George Kittle for 7 yards (tackle by Ifeatu Melifonwu),0.810,1.210
4,2:36,2,3,SFO 35,40,28,Brock Purdy pass complete short right to Isaac Guerendo for 12 yards (tackle by Terrion Arnold),1.210,2.060
4,2:30,1,10,SFO 47,40,28,Brock Purdy pass incomplete deep right intended for Jauan Jennings,2.060,1.520
4,2:22,2,10,SFO 47,40,28,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Terrion Arnold and Trevor Nowaske),1.520,1.880
4,2:00,3,2,DET 45,40,28,Brock Purdy pass complete short right to Ricky Pearsall for 10 yards (tackle by Brian Branch and Jack Campbell),1.880,3.250
4,1:46,1,10,DET 35,40,28,Brock Purdy sacked by Brian Branch for -7 yards,3.250,1.760
4,1:36,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:36,2,17,DET 42,40,28,Joshua Dobbs pass complete short right to Jauan Jennings for 15 yards (tackle by Jalen Reeves-Maybin),1.760,3.070
4,1:19,3,2,DET 27,40,28,Joshua Dobbs pass complete short left to Jauan Jennings for 9 yards (tackle by Amik Robertson),3.070,4.370
4,1:08,1,10,DET 18,40,28,Joshua Dobbs pass complete short middle to George Kittle for 11 yards (tackle by Trevor Nowaske),4.370,5.600
4,0:54,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:54,1,7,DET 7,40,28,Joshua Dobbs pass incomplete short right intended for Jauan Jennings,5.600,4.760
4,0:50,2,7,DET 7,40,34,Joshua Dobbs scrambles right end for 7 yards touchdown,4.760,7.000
4,0:43,,,DET 15,40,34,Jake Moody kicks extra point no good,0.000,-1.000
4,0:43,,,SFO 35,40,34,Jake Moody kicks onside 15 yards out of bounds. Penalty on Jake Moody: Kickoff Out of Bounds (accepted),0.000,2.260
4,0:43,1,10,SFO 50,40,34,Jared Goff kneels for -1 yards,2.260,1.580
4,0:19,2,11,DET 49,40,34,Jared Goff kneels for -1 yards,1.580,0.760
