Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
4,8:20,,,LVR 35,25,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,8:20,1,10,NOR 30,25,10,Spencer Rattler sacked by K'Lavon Chaisson for -7 yards. Spencer Rattler fumbles (forced by K'Lavon Chaisson) recovered by Taliese Fuaga at NO-23 (tackle by K'Lavon Chaisson),0.940,-0.550
4,7:50,2,17,NOR 23,25,10,Spencer Rattler pass incomplete deep right,-0.550,-1.220
4,7:48,3,17,NOR 23,25,10,Spencer Rattler pass incomplete deep right intended for Juwan Johnson (defended by Jack Jones),-1.220,-1.830
4,7:43,4,17,NOR 23,25,10,Matthew Hayball punts 55 yards returned by Tre Tucker for 11 yards (tackle by Adam Prentice),-1.830,-1.140
4,7:30,1,10,LVR 33,25,10,Alexander Mattison right guard for 2 yards (tackle by Nathan Shepherd and Demario Davis),1.140,0.860
4,6:52,2,8,LVR 35,25,10,Aidan O'Connell pass complete short left to Michael Mayer for 14 yards (tackle by Kool-Aid McKinstry and Demario Davis),0.860,2.190
4,6:12,1,10,LVR 49,25,10,Aidan O'Connell pass incomplete short right intended for Tre Tucker,2.190,1.650
4,6:04,2,10,LVR 49,25,10,Alexander Mattison left guard for 3 yards (tackle by Bryan Bresee),1.650,1.360
4,5:25,3,7,NOR 48,25,10,Aidan O'Connell pass incomplete deep right intended for Tre Tucker,1.360,0.070
4,5:16,4,7,NOR 48,25,10,AJ Cole punts 38 yards fair catch by Dante Pettis at NO-10,0.070,0.380
4,5:10,1,10,NOR 10,25,10,Spencer Rattler pass complete short left to Clyde Edwards-Helaire for 2 yards (tackle by Nate Hobbs),-0.380,-0.630
4,4:41,2,8,NOR 12,25,10,Spencer Rattler pass complete short left to Cedrick Wilson for 2 yards (tackle by Thomas Harper),-0.630,-0.950
4,4:25,3,6,NOR 14,25,10,Spencer Rattler sacked by and Tyree Wilson for -10 yards and Adam Butler for -10 yards,-0.950,-2.490
4,3:35,4,16,NOR 4,25,10,Penalty on Matthew Hayball: Delay of Game 2 yards (accepted) (no play),-2.490,-2.490
4,3:35,4,18,NOR 2,25,10,Matthew Hayball punts 64 yards returned by Tre Tucker for 17 yards (tackle by Nephi Sewell),-2.490,-2.320
4,3:22,1,10,NOR 49,25,10,Chris Collier up the middle for 3 yards (tackle by Khalen Saunders and Carl Granderson),2.320,2.190
4,3:19,,,,,,Timeout #1 by New Orleans Saints,,
4,3:19,2,7,NOR 46,25,10,Chris Collier left guard for 1 yard (tackle by Khalen Saunders and Pete Werner),2.190,1.620
4,3:14,,,,,,Timeout #2 by New Orleans Saints,,
4,3:14,3,6,NOR 45,25,10,Chris Collier up the middle for 2 yards (tackle by Carl Granderson),1.620,0.400
