Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
3,2:28,1,15,NYG 28,20,28,Drew Lock pass complete short middle to Chris Manhertz for 12 yards (tackle by Zaire Franklin and E.J. Speed),0.810,1.540
3,1:45,2,3,NYG 40,20,28,Devin Singletary right guard for no gain (tackle by Raekwon Davis and DeForest Buckner),1.540,0.830
3,1:03,3,3,NYG 40,20,28,Tyrone Tracy left guard for 2 yards (tackle by Nick Cross and DeForest Buckner),0.830,-0.590
3,0:19,4,1,NYG 42,20,28,Tyrone Tracy left end for no gain (tackle by E.J. Speed and Jaylon Jones),-0.590,-2.850
3,0:14,1,10,NYG 41,20,28,Jonathan Taylor right tackle for -1 yards (tackle by Brian Burns and Andru Phillips),2.850,2.170
4,15:00,2,11,NYG 42,20,28,Joe Flacco pass incomplete deep left intended for Alec Pierce (defended by Deonte Banks),2.170,1.490
4,14:55,3,11,NYG 42,20,28,Joe Flacco pass incomplete short middle intended for Josh Downs (defended by Dane Belton) (defended by Isaiah Simmons),1.490,0.460
4,14:44,4,11,NYG 42,20,28,Rigoberto Sanchez punts 32 yards fair catch by Ihmir Smith-Marsette at NYG-10,0.460,0.380
4,14:37,1,10,NYG 10,20,28,Tyrone Tracy up the middle for 4 yards (tackle by Grover Stewart and Taven Bryan),-0.380,-0.460
4,14:01,2,6,NYG 14,20,28,Drew Lock pass incomplete short middle intended for Tyrone Tracy,-0.460,-0.950
4,13:57,3,6,NYG 14,20,28,Drew Lock pass incomplete short middle intended for Darius Slayton,-0.950,-2.470
4,13:52,4,6,NYG 14,20,28,Jamie Gillan punts 47 yards fair catch by Anthony Gould at IND-39,-2.470,-1.530
4,13:45,1,10,IND 39,20,28,Jonathan Taylor right guard for 3 yards (tackle by Kayvon Thibodeaux and Ty Summers),1.530,1.390
4,13:25,2,7,IND 42,20,28,Joe Flacco pass complete short middle to Michael Pittman for 14 yards (tackle by Cordale Flott),1.390,2.650
4,12:58,1,10,NYG 44,20,28,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Deonte Banks),2.650,2.780
4,12:22,2,5,NYG 39,20,28,Joe Flacco pass incomplete deep left intended for Michael Pittman. Penalty on Deonte Banks: Defensive Pass Interference 19 yards (accepted) (no play),2.780,4.240
4,12:17,1,10,NYG 20,20,28,Jonathan Taylor left tackle for 5 yards (tackle by Elijah Chatman and Ty Summers),4.240,4.450
4,11:39,2,5,NYG 15,20,28,Jonathan Taylor right guard for 2 yards (tackle by Elijah Chatman and Boogie Basham),4.450,4.100
4,10:57,3,3,NYG 13,26,28,Joe Flacco pass complete short right to Alec Pierce for 13 yards touchdown,4.100,7.000
4,10:53,,,,,,Timeout #1 by New York Giants,,
4,10:53,,,NYG 2,26,28,Two Point Attempt: Joe Flacco pass incomplete intended for to Michael Pittman for no gain,1.000,-1.000
4,10:53,,,IND 35,26,28,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,10:53,1,10,NYG 30,26,28,Drew Lock pass complete short right to Malik Nabers for 6 yards (tackle by Nick Cross and E.J. Speed),0.940,1.200
4,10:10,2,4,NYG 36,26,28,Tyrone Tracy up the middle for 1 yard (tackle by Kenny Moore),1.200,0.630
4,9:32,3,3,NYG 37,26,28,Drew Lock pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Jaylon Jones),0.630,1.660
4,8:50,1,10,NYG 41,26,34,Drew Lock pass complete short right to Malik Nabers for 59 yards touchdown,1.660,7.000
4,8:39,,,IND 15,26,35,Graham Gano kicks extra point good,0.000,0.000
4,8:39,,,NYG 35,26,35,Graham Gano kicks off 65 yards touchback.,0.000,0.940
4,8:39,1,10,IND 30,26,35,Joe Flacco pass complete deep middle to Alec Pierce for 49 yards (tackle by Adoree' Jackson and Deonte Banks),0.940,4.170
4,8:09,1,10,NYG 21,26,35,Joe Flacco pass complete short left to Josh Downs for 10 yards (tackle by Andru Phillips),4.170,4.840
4,7:29,1,10,NYG 11,26,35,Joe Flacco pass incomplete short right intended for Adonai Mitchell,4.840,4.140
4,7:25,2,10,NYG 11,26,35,Joe Flacco pass complete short left to Jonathan Taylor for 4 yards (tackle by Anthony Johnson and Ty Summers),4.140,3.980
4,6:43,3,6,NYG 7,32,35,Joe Flacco pass complete short right to Michael Pittman for 7 yards touchdown,3.980,7.000
4,6:38,,,NYG 15,33,35,Matt Gay kicks extra point good,0.000,0.000
4,6:38,,,IND 35,33,35,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,6:38,1,10,NYG 30,33,35,Drew Lock pass incomplete short left,0.940,0.390
4,6:33,2,10,NYG 30,33,35,Drew Lock pass incomplete short left intended for Malik Nabers. Penalty on Jaylon Jones: Defensive Pass Interference 6 yards (accepted) (no play),0.390,1.330
4,6:29,1,10,NYG 36,33,35,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,1.330,0.790
4,6:25,2,10,NYG 36,33,35,Drew Lock pass complete deep right to Wan'Dale Robinson for 18 yards,0.790,2.520
