Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
3,1:24,2,6,CHI 42,6,3,Caleb Williams left end for 5 yards (tackle by Julian Love),1.460,1.420
3,0:55,3,1,CHI 47,6,3,Caleb Williams pass complete short left to Keenan Allen for 4 yards (tackle by Riq Woolen),1.420,2.320
3,0:26,1,10,SEA 49,6,3,Caleb Williams sacked by Uchenna Nwosu for -14 yards,2.320,-0.110
4,15:00,2,24,CHI 37,6,3,Caleb Williams pass incomplete short middle intended for Keenan Allen (defended by Uchenna Nwosu),-0.110,-0.760
4,14:55,3,24,CHI 37,6,3,Caleb Williams pass complete short middle to D.J. Moore for 2 yards (tackle by Devon Witherspoon),-0.760,-0.780
4,14:12,4,22,CHI 39,6,3,Tory Taylor punts 47 yards fair catch by Jaelon Darden at SEA-14,-0.780,0.280
4,14:06,1,10,SEA 14,6,3,Zach Charbonnet left guard for 1 yard (tackle by Chris Williams and Gervon Dexter),-0.280,-0.640
4,13:24,2,9,SEA 15,6,3,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 6 yards (tackle by Tyrique Stevenson),-0.640,-0.560
4,12:37,3,3,SEA 21,6,3,Zach Charbonnet right tackle for -1 yards (tackle by T.J. Edwards),-0.560,-2.030
4,11:54,4,4,SEA 20,6,3,Michael Dickson punts 56 yards returned by Josh Blackwell for 14 yards (tackle by Julian Love),-2.030,-1.470
4,11:43,1,10,CHI 38,6,3,D'Andre Swift left tackle for 8 yards (tackle by Ernest Jones and Julian Love),1.470,2.000
4,11:21,2,2,CHI 46,6,3,D'Andre Swift right tackle for 1 yard (tackle by Jarran Reed and Coby Bryant),2.000,1.420
4,10:37,3,1,CHI 47,6,3,Roschon Johnson right guard for 2 yards (tackle by Dre'Mont Jones),1.420,2.190
4,9:50,1,10,CHI 49,6,3,D'Andre Swift left guard for 2 yards (tackle by Ernest Jones and Tyrice Knight),2.190,1.920
4,9:07,2,8,SEA 49,6,3,Caleb Williams pass incomplete short middle intended for D'Andre Swift,1.920,1.220
4,9:04,3,8,SEA 49,6,3,Caleb Williams sacked by Rayshawn Jenkins for -8 yards,1.220,-0.520
4,8:20,4,16,CHI 43,6,3,Tory Taylor punts 45 yards fair catch by Jaelon Darden at SEA-12,-0.520,0.350
4,8:13,1,10,SEA 12,6,3,Penalty on Jonathan Ford: Neutral Zone Infraction 5 yards (accepted) (no play),-0.350,0.280
4,8:13,1,5,SEA 17,6,3,Geno Smith pass complete deep left to D.K. Metcalf for 23 yards (tackle by Kyler Gordon),0.280,1.600
4,7:26,1,10,SEA 40,6,3,Zach Charbonnet right end for 1 yard (tackle by Jacob Martin),1.600,1.190
4,6:49,2,9,SEA 41,6,3,Geno Smith pass complete short right to Noah Fant for 3 yards,1.190,0.890
4,6:07,3,6,SEA 44,6,3,Geno Smith pass complete short left to Zach Charbonnet for 2 yards (tackle by Tremaine Edmunds and Daniel Hardy),0.890,-0.320
4,5:19,4,4,SEA 46,6,3,Michael Dickson punts 43 yards fair catch by Josh Blackwell at CHI-11,-0.320,0.370
4,5:12,1,10,CHI 11,6,3,Caleb Williams right end for 7 yards (tackle by Boye Mafe),-0.370,0.000
4,4:45,2,3,CHI 18,6,3,D'Andre Swift up the middle for 12 yards (tackle by Tyrice Knight and Ernest Jones),0.000,0.940
4,4:18,1,10,CHI 30,6,3,Caleb Williams scrambles right end for 8 yards (tackle by Ernest Jones),0.940,1.470
4,3:40,2,2,CHI 38,6,3,Caleb Williams pass complete short left to Keenan Allen for no gain (tackle by Tre Brown),1.470,0.760
4,2:54,3,2,CHI 38,6,3,Caleb Williams scrambles up the middle for 1 yard (tackle by Leonard Williams),0.760,-0.780
4,2:14,,,,,,Timeout #1 by Seattle Seahawks,,
4,2:14,4,1,CHI 39,6,3,Penalty on Jake Curhan: False Start 4 yards (accepted) (no play),-0.780,-1.040
4,2:14,,,,,,Timeout #1 by Chicago Bears,,
4,2:14,4,5,CHI 35,6,3,Caleb Williams pass complete short right to D.J. Moore for 14 yards (tackle by Devon Witherspoon),-1.040,2.190
4,2:05,1,10,CHI 49,6,3,Caleb Williams aborted snap recovered by Caleb Williams at CHI-49 Caleb Williams sacked by Leonard Williams for -5 yards,2.190,0.970
4,2:00,2,15,CHI 44,6,3,Caleb Williams pass complete short left to D.J. Moore for 1 yard (tackle by Uchenna Nwosu and Tyrice Knight),0.970,0.430
4,1:16,3,14,CHI 45,6,3,Caleb Williams pass complete short right to Rome Odunze for 15 yards (tackle by Coby Bryant),0.430,2.920
4,0:38,1,10,SEA 40,6,3,Caleb Williams pass incomplete short right,2.920,2.370
4,0:31,,,,,,Timeout #2 by Chicago Bears,,
4,0:31,2,10,SEA 40,6,3,Caleb Williams pass incomplete deep right intended for Rome Odunze,2.370,1.680
4,0:26,3,10,SEA 40,6,3,Caleb Williams pass incomplete deep right intended for D.J. Moore,1.680,0.590
4,0:20,,,,,,Timeout #2 by Seattle Seahawks,,
4,0:20,4,10,SEA 40,6,3,Caleb Williams pass deep right (defended by Coby Bryant) intended for D.J. Moore is intercepted by Riq Woolen at SEA-22 and returned for 7 yards (tackle by Cole Kmet),0.590,-0.870
4,0:11,1,10,SEA 29,6,3,Geno Smith kneels for -1 yards,0.870,0.190
