Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
3,11:29,2,3,JAX 40,3,13,Tyjae Spears right end for no gain (tackle by Devin Lloyd). Penalty on Mason Rudolph: Offensive Offside 4 yards (accepted) (no play),2.860,2.320
3,11:07,2,7,JAX 44,3,13,Tyjae Spears up the middle for -1 yards (tackle by Foyesade Oluokun),2.320,1.490
3,10:25,3,8,JAX 45,3,13,Mason Rudolph pass complete deep middle to Calvin Ridley for 19 yards (tackle by Montaric Brown),1.490,3.840
3,9:46,1,10,JAX 26,3,13,Tyjae Spears left end for 8 yards (tackle by Andre Cisco),3.840,4.450
3,8:58,2,2,JAX 18,3,13,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Montaric Brown),4.450,3.750
3,8:53,3,2,JAX 18,3,13,Tyjae Spears left guard for 2 yards (tackle by Foyesade Oluokun and Arik Armstead),3.750,4.510
3,8:08,1,10,JAX 16,3,13,Tyjae Spears up the middle for 1 yard (tackle by Josh Hines-Allen and Foyesade Oluokun),4.510,4.050
3,7:35,2,9,JAX 15,3,13,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 7 yards,4.050,4.620
3,6:57,3,2,JAX 8,9,13,Mason Rudolph pass complete short left to Nick Vannett for 8 yards touchdown,4.620,7.000
3,6:51,,,JAX 15,10,13,Matthew Wright kicks extra point good,0.000,0.000
3,6:51,,,TEN 35,10,13,Matthew Wright kicks off 65 yards touchback.,0.000,0.940
3,6:51,1,10,JAX 30,10,13,Travis Etienne left guard for 2 yards (tackle by Jerome Baker and Sebastian Joseph-Day),0.940,0.660
3,6:04,2,8,JAX 32,10,13,Mac Jones pass incomplete short left intended for Brian Thomas (defended by Chidobe Awuzie),0.660,-0.030
3,5:59,3,8,JAX 32,10,13,Penalty on Cole Van Lanen: False Start 6 yards (accepted) (no play),-0.030,-0.820
3,5:59,3,14,JAX 26,10,13,Mac Jones pass complete short right to D'Ernest Johnson for 8 yards (tackle by Luke Gifford),-0.820,-1.110
3,5:23,4,6,JAX 34,10,13,Logan Cooke punts 38 yards out of bounds,-1.110,-0.810
3,5:14,1,10,TEN 28,10,13,Tyjae Spears left guard for 3 yards (tackle by Devin Lloyd and Myles Cole),0.810,0.670
3,4:41,2,7,TEN 31,10,13,Tyjae Spears left end for 3 yards (tackle by Foyesade Oluokun),0.670,0.370
3,4:04,3,4,TEN 34,10,13,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 5 yards (tackle by Antonio Johnson),0.370,1.530
3,3:27,1,10,TEN 39,10,13,Tyjae Spears left end for -5 yards (tackle by Josh Hines-Allen),1.530,0.310
3,2:56,2,15,TEN 34,10,13,Mason Rudolph sacked by Josh Hines-Allen for -7 yards,0.310,-1.290
3,2:16,3,22,TEN 27,10,13,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 6 yards (tackle by Josh Hines-Allen and Arik Armstead),-1.290,-1.180
3,1:24,4,16,TEN 33,10,13,Ryan Stonehouse punts 50 yards returned by Devin Duvernay for 9 yards (tackle by Chigoziem Okonkwo),-1.180,-0.670
3,1:16,1,10,JAX 26,10,13,Travis Etienne right guard for 8 yards (tackle by Mike Brown),0.670,1.210
3,0:39,2,2,JAX 34,10,13,Travis Etienne right guard for 2 yards (tackle by Arden Key and Jeffery Simmons),1.210,1.330
3,0:12,1,10,JAX 36,10,13,Penalty on Mac Jones: False Start 5 yards (accepted) (no play),1.330,1.000
