Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
3,2:07,,,BUF 35,13,20,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,2:07,1,10,MIA 30,13,20,Jaylen Wright up the middle for 5 yards (tackle by Terrel Bernard),0.940,1.070
3,1:33,2,5,MIA 35,13,20,Jaylen Wright left end for 7 yards (tackle by Damar Hamlin and Gregory Rousseau),1.070,1.730
3,0:50,1,10,MIA 42,13,20,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 27 yards (tackle by Damar Hamlin),1.730,3.510
3,0:01,1,10,BUF 31,13,20,Penalty on Liam Eichenberg: False Start 5 yards (accepted) (no play),3.510,3.180
4,15:00,1,15,BUF 36,13,20,De'Von Achane up the middle for 7 yards (tackle by Rasul Douglas and Damar Hamlin),3.180,3.240
4,14:33,2,8,BUF 29,13,20,Tua Tagovailoa pass complete short right to Odell Beckham for 3 yards (tackle by Kaiir Elam),3.240,2.940
4,14:07,3,5,BUF 26,13,20,Tua Tagovailoa pass complete short left to De'Von Achane for 1 yard (tackle by Terrel Bernard),2.940,1.880
4,13:28,4,4,BUF 25,13,20,Tua Tagovailoa scrambles up the middle for 4 yards (tackle by Rasul Douglas) BUF challenged the first down ruling and the play was upheld.,1.880,4.170
4,12:53,1,10,BUF 21,13,20,Tua Tagovailoa pass complete short left to Jonnu Smith for 13 yards (tackle by Damar Hamlin and Kaiir Elam),4.170,5.370
4,12:19,1,8,BUF 8,19,20,De'Von Achane right end for 8 yards touchdown,5.370,7.000
4,12:14,,,BUF 15,20,20,Jason Sanders kicks extra point good,0.000,0.000
4,12:14,,,MIA 35,20,20,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,12:14,1,10,BUF 30,20,20,Josh Allen pass complete short left to James Cook for 11 yards (tackle by Cam Smith),0.940,1.660
4,11:39,1,10,BUF 41,20,20,Josh Allen pass complete short right to Keon Coleman for 21 yards (tackle by Marcus Maye and Tyus Bowser),1.660,3.050
4,10:52,1,10,MIA 38,20,20,Josh Allen pass complete short left to Khalil Shakir for 14 yards (tackle by Da'Shawn Hand),3.050,3.970
4,10:07,1,10,MIA 24,20,20,James Cook up the middle for 4 yards (tackle by Jordyn Brooks and Anthony Walker),3.970,3.970
4,9:25,2,6,MIA 20,20,20,Josh Allen pass complete short middle to James Cook for 5 yards (tackle by Anthony Walker),3.970,4.170
4,8:43,3,1,MIA 15,20,20,Ty Johnson right guard for 4 yards (tackle by Jordyn Brooks),4.170,4.840
4,8:06,1,10,MIA 11,20,20,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Jordyn Brooks),4.840,4.890
4,7:19,2,6,MIA 7,20,20,Josh Allen pass incomplete short right intended for Dalton Kincaid,4.890,3.980
4,7:13,3,6,MIA 7,20,20,Josh Allen pass incomplete short right intended for Keon Coleman. Penalty on Siran Neal: Defensive Holding 4 yards (accepted) (no play),3.980,6.510
4,7:06,1,3,MIA 3,20,20,Ray Davis right guard for 1 yard (tackle by Marcus Maye and Kendall Fuller),6.510,5.720
