Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
3,8:03,3,6,MIN 44,7,7,Joe Flacco pass incomplete short right intended for Trey Sermon (defended by Jonathan Greenard),1.690,0.330
3,8:00,4,6,MIN 44,7,7,Penalty on Joe Flacco: Delay of Game 5 yards (declined) (no play),0.330,0.330
3,8:00,4,6,MIN 44,7,7,Rigoberto Sanchez punts 44 yards touchback.,0.330,-0.280
3,7:53,1,10,MIN 20,7,7,Sam Darnold pass complete short right to Josh Oliver for 11 yards (tackle by E.J. Speed),0.280,1.000
3,7:15,1,10,MIN 31,7,7,Sam Darnold pass incomplete short right intended for Aaron Jones. Penalty on Jaylon Jones: Defensive Holding 5 yards (accepted) (no play),1.000,1.330
3,7:09,1,10,MIN 36,7,7,Aaron Jones left guard for 3 yards (tackle by Grant Stuard and Raekwon Davis),1.330,1.200
3,6:30,2,7,MIN 39,7,7,Sam Darnold scrambles left end for 11 yards (tackle by Zaire Franklin),1.200,2.260
3,5:50,1,10,MIN 50,7,7,Sam Darnold pass complete short right to Aaron Jones for 8 yards (tackle by Kenny Moore and Nick Cross),2.260,2.790
3,5:24,2,2,IND 42,7,7,Aaron Jones left guard for no gain (tackle by Grover Stewart and Dayo Odeyingbo),2.790,2.080
3,4:49,3,2,IND 42,7,7,Sam Darnold pass complete deep right to Justin Jefferson for 41 yards (tackle by Samuel Womack),2.080,6.970
3,4:14,1,1,IND 1,7,7,Aaron Jones left guard for -1 yards (tackle by E.J. Speed and Kwity Paye),6.970,5.720
3,3:32,,,,,,Timeout #1 by Minnesota Vikings,,
3,3:32,2,2,IND 2,7,7,Sam Darnold pass complete short middle to Aaron Jones for -5 yards (tackle by E.J. Speed),5.720,3.810
3,2:53,3,7,IND 7,7,13,Sam Darnold pass complete short left to Jalen Nailor for 7 yards touchdown,3.810,7.000
3,2:49,,,IND 15,7,14,Will Reichard kicks extra point good,0.000,0.000
3,2:49,,,MIN 35,7,14,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,2:49,1,10,IND 30,7,14,Jonathan Taylor left end for 1 yard (tackle by Harrison Phillips),0.940,0.530
3,2:11,2,9,IND 31,7,14,Joe Flacco pass complete short right to Jonathan Taylor for 4 yards (tackle by Josh Metellus),0.530,0.370
3,1:27,3,5,IND 35,7,14,Joe Flacco pass complete short left to Josh Downs for 16 yards (tackle by Byron Murphy),0.370,2.320
3,1:01,1,10,MIN 49,7,14,Joe Flacco pass complete short right to Josh Downs for 12 yards (tackle by Stephon Gilmore and Josh Metellus),2.320,3.120
3,0:30,1,10,MIN 37,7,14,Trey Sermon up the middle for no gain (tackle by Jerry Tillery and Harrison Phillips),3.120,2.570
4,15:00,2,10,MIN 37,7,14,Joe Flacco scrambles up the middle for no gain (tackle by Harrison Phillips). Penalty on Jonathan Taylor: Chop Block 15 yards (accepted) (no play),2.570,0.550
4,14:38,2,25,IND 48,7,14,Penalty on Braden Smith: False Start 5 yards (accepted) (no play),0.550,-0.130
4,14:34,2,30,IND 43,7,14,Joe Flacco pass complete deep right to Adonai Mitchell for 22 yards,-0.130,2.150
4,14:28,3,8,MIN 35,7,14,Joe Flacco pass short left intended for Josh Downs is intercepted by Byron Murphy at MIN-23 and returned for no gain (tackle by Josh Downs),2.150,-0.480
4,14:23,1,10,MIN 23,7,14,Sam Darnold pass deep left intended for Justin Jefferson is intercepted by Nick Cross at MIN-45 and returned for 20 yards (tackle by Josh Oliver),0.480,-3.910
4,14:13,1,10,MIN 25,7,14,Jonathan Taylor left tackle for 1 yard (tackle by Kamu Grugier-Hill and Harrison Phillips),3.910,3.500
4,13:36,2,9,MIN 24,7,14,Joe Flacco pass complete short left to Josh Downs for 1 yard (tackle by Stephon Gilmore),3.500,2.940
4,12:56,3,8,MIN 23,7,14,Joe Flacco pass incomplete short left intended for Michael Pittman,2.940,1.930
4,12:44,4,8,MIN 23,10,14,Matt Gay 42 yard field goal good,1.930,3.000
4,12:41,,,IND 35,10,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,12:41,1,10,MIN 30,10,14,Cam Akers left guard for 6 yards (tackle by E.J. Speed),0.940,1.200
4,12:17,2,4,MIN 36,10,14,Cam Akers up the middle for 13 yards (tackle by Julian Blackmon),1.200,2.190
4,11:37,1,10,MIN 49,10,14,Cam Akers left tackle for 12 yards (tackle by Nick Cross),2.190,2.980
4,10:55,1,10,IND 39,10,14,Sam Darnold pass incomplete short right,2.980,2.440
4,10:50,2,10,IND 39,10,14,Cam Akers right guard for -1 yards (tackle by Kenny Moore),2.440,1.620
4,10:09,3,11,IND 40,10,14,Sam Darnold sacked by Kwity Paye for -8 yards,1.620,0.070
4,9:31,4,19,IND 48,10,14,Ryan Wright punts 39 yards returned by Josh Downs for 12 yards (tackle by Brian Asamoah and Andrew DePaola),0.070,-0.340
4,9:22,1,10,IND 21,10,14,Joe Flacco pass incomplete short left intended for Jonathan Taylor,0.340,-0.200
4,9:19,2,10,IND 21,10,14,Joe Flacco pass complete short right to Alec Pierce for 15 yards (tackle by Josh Metellus),-0.200,1.330
4,8:35,1,10,IND 36,10,14,Jonathan Taylor left guard for 4 yards (tackle by Jerry Tillery),1.330,1.330
4,8:04,2,6,IND 40,10,14,Ashton Dulin right end for 5 yards (tackle by Dallas Turner and Camryn Bynum),1.330,1.290
4,7:25,3,1,IND 45,10,14,Jonathan Taylor left guard for 7 yards (tackle by Byron Murphy),1.290,2.390
4,6:48,1,10,MIN 48,10,14,Jonathan Taylor up the middle for 4 yards (tackle by Harrison Phillips),2.390,2.390
4,6:11,2,6,MIN 44,10,14,Trey Sermon right tackle for 4 yards (tackle by Josh Metellus and Harrison Smith),2.390,2.210
4,5:33,3,2,MIN 40,10,14,Joe Flacco pass incomplete deep right intended for Michael Pittman (defended by Harrison Smith),2.210,0.590
4,5:24,4,2,MIN 40,10,14,Joe Flacco pass incomplete short right intended for Ashton Dulin (defended by Stephon Gilmore),0.590,-1.600
4,5:20,1,10,MIN 40,10,14,Aaron Jones left end for 1 yard (tackle by E.J. Speed and Jaylon Jones),1.600,1.190
4,4:44,2,9,MIN 41,10,14,Sam Darnold pass complete short right to Jordan Addison for 21 yards (tackle by Samuel Womack),1.190,3.050
4,3:58,1,10,IND 38,10,14,Aaron Jones left guard for 10 yards (tackle by Jaylon Jones),3.050,3.710
4,3:48,1,10,IND 28,10,14,Aaron Jones left guard for 7 yards (tackle by Grant Stuard),3.710,4.110
4,3:06,2,3,IND 21,10,14,Aaron Jones left tackle for 2 yards (tackle by Taven Bryan),4.110,3.720
4,3:00,,,,,,Timeout #1 by Indianapolis Colts,,
4,3:00,3,1,IND 19,10,14,Aaron Jones left tackle for 6 yards (tackle by Nick Cross and Dayo Odeyingbo),3.720,4.710
4,2:53,,,,,,Timeout #2 by Indianapolis Colts,,
4,2:53,1,10,IND 13,10,14,Aaron Jones left end for -1 yards (tackle by Adetomiwa Adebawore and E.J. Speed),4.710,3.900
4,2:09,2,11,IND 14,10,20,Sam Darnold pass complete short left to Josh Oliver for 14 yards touchdown,3.900,7.000
4,2:05,,,IND 15,10,21,Will Reichard kicks extra point good,0.000,0.000
4,2:05,,,MIN 35,10,21,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,2:05,1,10,IND 30,10,21,Joe Flacco sacked by Jonathan Greenard for -8 yards,0.940,-0.690
4,2:00,2,18,IND 22,10,21,Joe Flacco sacked by Jihad Ward for -4 yards,-0.690,-2.120
4,1:54,,,,,,Timeout #3 by Indianapolis Colts,,
4,1:54,3,22,IND 18,10,21,Joe Flacco pass complete short left to Trey Sermon for 9 yards (tackle by Ivan Pace),-2.120,-1.570
4,1:26,4,13,IND 27,10,21,Joe Flacco pass complete short middle to Josh Downs for 14 yards (tackle by Byron Murphy),-1.570,1.660
4,1:05,1,10,IND 41,10,21,Joe Flacco sacked by Jonathan Greenard for -8 yards,1.660,0.040
4,0:45,2,18,IND 33,10,21,Joe Flacco pass incomplete short right intended for Alec Pierce. Penalty on Dallas Turner: Defensive Too Many Men on Field 5 yards (accepted) (no play),0.040,0.720
4,0:40,2,13,IND 38,10,21,Joe Flacco pass deep left is intercepted by Camryn Bynum at IND-29 and returned for no gain. Penalty on Stephon Gilmore: Defensive Pass Interference 26 yards (accepted) (no play),0.720,3.180
4,0:32,1,10,MIN 36,13,21,Matt Gay 54 yard field goal good,3.180,3.000
4,0:28,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:28,,,IND 35,13,21,Rigoberto Sanchez kicks onside 10 yards returned by Justin Jefferson for no gain,0.000,2.590
4,0:27,1,10,IND 45,13,21,Sam Darnold kneels for -1 yards,2.590,1.910
