Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
4,14:13,1,10,ATL 45,13,21,Kirk Cousins pass complete short left to Bijan Robinson for 29 yards (tackle by Malik Hooker and Eric Kendricks),1.930,3.840
4,13:28,1,10,DAL 26,13,21,Ray-Ray McCloud right end for 7 yards (tackle by Eric Kendricks and Osa Odighizuwa),3.840,4.270
4,13:00,2,3,DAL 19,13,21,Bijan Robinson right tackle for 4 yards (tackle by Linval Joseph),4.270,4.580
4,12:18,1,10,DAL 15,13,21,Bijan Robinson right end for 4 yards (tackle by Caelen Carson),4.580,4.640
4,11:40,2,6,DAL 11,13,21,Tyler Allgeier right guard for 5 yards (tackle by Chauncey Golston and Eric Kendricks),4.640,4.900
4,11:15,3,1,DAL 6,13,27,Tyler Allgeier right tackle for 6 yards touchdown,4.900,7.000
4,11:08,,,DAL 15,13,27,Two Point Attempt: Bradley Pinion pass incomplete intended for,1.000,-1.000
4,11:08,,,ATL 35,13,27,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
4,11:08,1,10,DAL 30,13,27,Cooper Rush pass complete short right to Jake Ferguson for 3 yards (tackle by DeAundre Alford),0.940,0.800
4,10:42,2,7,DAL 33,13,27,Rico Dowdle right guard for 9 yards (tackle by Nathan Landman and Jessie Bates),0.800,1.730
4,10:18,1,10,DAL 42,13,27,Rico Dowdle right guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),1.730,1.730
4,9:43,2,6,DAL 46,13,27,Cooper Rush pass incomplete deep right intended for CeeDee Lamb. Penalty on Tyler Guyton: Illegal Formation 5 yards (accepted) (no play),1.730,1.050
4,9:38,2,11,DAL 41,13,27,Cooper Rush pass incomplete short left intended for Ryan Flournoy,1.050,0.370
4,9:34,3,11,DAL 41,13,27,Cooper Rush pass incomplete short left intended for Rico Dowdle,0.370,-0.650
4,9:29,4,11,DAL 41,13,27,Bryan Anger punts 45 yards fair catch by Avery Williams at ATL-14,-0.650,0.280
