Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
3,8:11,4,3,GNB 37,24,3,Daniel Whelan punts 51 yards fair catch by Kalif Raymond at DET-12. Penalty on Terrion Arnold: Defensive Holding 6 yards (accepted),-0.910,0.380
3,8:04,1,10,DET 6,24,3,Jared Goff pass complete short right to Tim Patrick for 3 yards (tackle by Quay Walker),-0.380,-0.560
3,7:29,2,7,DET 9,24,3,David Montgomery right tackle for 1 yard (tackle by Colby Wooden and Edgerrin Cooper),-0.560,-0.950
3,6:42,3,6,DET 10,24,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Quay Walker and Preston Smith),-0.950,-2.440
3,6:04,4,1,DET 15,24,3,Jack Fox punts 60 yards fair catch by Jayden Reed at GB-25,-2.440,-0.610
3,5:57,1,10,GNB 25,24,3,Jordan Love pass complete short right to Christian Watson for 4 yards (tackle by Terrion Arnold),0.610,0.600
3,5:13,2,6,GNB 29,24,3,Jordan Love pass complete deep right to Jayden Reed for 32 yards (tackle by Brandon Joseph),0.600,2.980
3,4:41,1,10,DET 39,24,3,Jordan Love pass complete short left to Romeo Doubs for 6 yards,2.980,3.250
3,4:05,2,4,DET 33,24,3,Josh Jacobs up the middle for 3 yards (tackle by Levi Onwuzurike and Trevor Nowaske),3.250,2.940
3,3:21,3,1,DET 30,24,3,Jordan Love pass complete short right to Jayden Reed for 3 yards DET challenged the pass completion ruling and the play was upheld.,2.940,3.780
3,3:05,1,10,DET 27,24,3,Jordan Love pass complete short right to Tucker Kraft for 13 yards (tackle by Jack Campbell),3.780,4.650
3,2:21,1,10,DET 14,24,3,Jordan Love pass incomplete short right intended for Christian Watson,4.650,4.000
3,2:17,2,10,DET 14,24,3,Jordan Love aborted snap recovered by Emanuel Wilson at DET-23 Emanuel Wilson left guard for no gain (tackle by Terrion Arnold and Chris Smith),4.000,3.110
3,1:30,3,10,DET 14,24,3,Jordan Love aborted snap recovered by Jordan Love at DET-20 and returned for -6 yards,3.110,2.120
3,0:52,4,16,DET 20,24,6,Brandon McManus 38 yard field goal good,2.120,3.000
3,0:48,,,GNB 35,24,6,Brandon McManus kicks off 62 yards returned by Isaiah Williams for 36 yards (tackle by Xavier McKinney and Kitan Oladapo),0.000,1.530
3,0:42,1,10,DET 39,24,6,David Montgomery left tackle for -1 yards (tackle by Isaiah McDuffie and Lukas Van Ness),1.530,0.850
4,15:00,2,11,DET 38,24,6,Jahmyr Gibbs left tackle for 1 yard (tackle by Tedarrell Slaton and Carrington Valentine),0.850,0.300
4,14:18,3,10,DET 39,24,6,Jared Goff pass incomplete short left intended for Sam LaPorta,0.300,-0.780
4,14:14,4,10,DET 39,24,6,Jack Fox punts 44 yards fair catch by Jayden Reed at GB-17,-0.780,0.060
4,14:07,1,10,GNB 17,24,6,Jordan Love pass complete short middle to Christian Watson for 14 yards (tackle by Brandon Joseph),-0.060,1.000
4,13:50,1,10,GNB 31,24,6,Penalty on Zach Tom: False Start 5 yards (accepted) (no play),1.000,0.670
4,13:25,1,15,GNB 26,24,6,Jordan Love pass incomplete deep right intended for Dontayvion Wicks (defended by Carlton Davis),0.670,-0.220
4,13:19,2,15,GNB 26,24,6,Jordan Love pass incomplete deep middle intended for Christian Watson,-0.220,-0.890
4,13:13,3,15,GNB 26,24,6,Jordan Love pass complete short middle to Chris Brooks for 10 yards (tackle by Jalen Reeves-Maybin),-0.890,-0.980
4,12:29,4,5,GNB 36,24,6,Jordan Love pass complete deep right to Jayden Reed for 28 yards (tackle by Ennis Rakestraw),-0.980,3.180
4,11:59,1,10,DET 36,24,6,Jordan Love aborted snap recovered by Jordan Love at DET-38 and returned for -1 yards (tackle by Alex Anzalone),3.180,2.500
4,11:21,2,11,DET 37,24,6,Jordan Love pass complete deep right to Bo Melton for 19 yards (tackle by Kerby Joseph),2.500,4.370
4,10:50,1,10,DET 18,24,6,Chris Brooks right guard for 9 yards (tackle by Brandon Joseph),4.370,5.420
4,10:22,2,1,DET 9,24,6,Jordan Love pass incomplete short right,5.420,4.740
4,10:12,3,1,DET 9,24,6,Jordan Love pass incomplete short middle intended for Dontayvion Wicks,4.740,2.980
4,10:07,,,,,,Timeout #1 by Green Bay Packers,,
4,10:07,4,1,DET 9,24,6,Josh Jacobs up the middle for no gain (tackle by Trevor Nowaske and Jack Campbell),2.980,0.380
4,10:03,1,10,DET 9,24,6,Jahmyr Gibbs left tackle for 3 yards (tackle by Quay Walker and Preston Smith),-0.380,-0.560
4,9:25,2,7,DET 12,24,6,Jahmyr Gibbs left guard for 4 yards (tackle by Devonte Wyatt),-0.560,-0.600
4,8:47,3,3,DET 16,24,6,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Eric Stokes),-0.600,0.340
4,8:09,1,10,DET 21,24,6,Kalif Raymond right end for -12 yards (tackle by Kingsley Enagbare),0.340,-1.660
4,7:27,2,22,DET 9,24,6,Jared Goff pass incomplete short right,-1.660,-2.820
4,7:20,3,22,DET 9,24,6,Jared Goff pass complete short left to Kalif Raymond for 12 yards (tackle by Javon Bullard),-2.820,-1.960
4,6:32,4,10,DET 21,24,6,Jack Fox punts 41 yards returned by Jayden Reed for 7 yards (tackle by Trevor Nowaske),-1.960,-1.930
4,6:22,1,10,GNB 45,24,6,Jordan Love pass complete short left to Emanuel Wilson for 1 yard (tackle by Terrion Arnold),1.930,1.520
4,5:58,2,9,GNB 46,24,6,Jordan Love pass complete short right to Romeo Doubs for 8 yards (tackle by Carlton Davis),1.520,1.880
4,5:34,3,1,DET 46,24,6,Emanuel Wilson right end for 19 yards (tackle by James Houston),1.880,3.780
4,5:01,1,10,DET 27,24,6,Jordan Love pass incomplete deep right intended for Christian Watson,3.780,3.230
4,4:57,2,10,DET 27,24,6,Jordan Love pass complete short right to Tucker Kraft for 6 yards (tackle by Carlton Davis and Alex Anzalone),3.230,3.340
4,4:31,3,4,DET 21,24,6,Jordan Love pass incomplete deep left intended for Bo Melton. Penalty on Amik Robertson: Unsportsmanlike Conduct / Defense 10 yards (accepted),3.340,4.840
4,4:26,1,10,DET 11,24,6,Jordan Love pass incomplete short right intended for Tucker Kraft,4.840,4.140
4,4:18,2,10,DET 11,24,6,Jordan Love pass complete short middle to Tucker Kraft for 9 yards (tackle by Brandon Joseph),4.140,5.120
4,3:52,3,1,DET 2,24,12,Emanuel Wilson right guard for 2 yards touchdown,5.120,7.000
4,3:49,,,DET 2,24,14,Two Point Attempt: Jordan Love pass complete to to Christian Watson for no gain,1.000,1.000
4,3:49,,,GNB 35,24,14,Brandon McManus kicks onside 18 yards out of bounds,0.000,2.060
4,3:49,1,10,DET 47,24,14,David Montgomery right end for 7 yards (tackle by Isaiah McDuffie and Eric Wilson),2.060,2.460
4,3:42,,,,,,Timeout #2 by Green Bay Packers,,
4,3:42,2,3,GNB 46,24,14,David Montgomery left guard for 2 yards (tackle by Xavier McKinney and Carrington Valentine),2.460,2.020
4,2:54,3,1,GNB 44,24,14,David Montgomery left end for 4 yards (tackle by Rashan Gary),2.020,2.920
4,2:09,1,10,GNB 40,24,14,David Montgomery up the middle for 12 yards (tackle by Kingsley Enagbare),2.920,3.710
4,2:03,,,,,,Timeout #3 by Green Bay Packers,,
4,2:03,1,10,GNB 28,24,14,Jared Goff pass complete short middle to David Montgomery for 14 yards (tackle by Edgerrin Cooper),3.710,4.650
4,1:54,1,10,GNB 14,24,14,Jared Goff kneels for -1 yards,4.650,3.850
4,1:13,2,11,GNB 15,24,14,Jared Goff kneels for no gain,3.850,3.060
4,0:37,3,11,GNB 15,24,14,Jared Goff kneels for -1 yards,3.060,2.380
