Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
3,8:28,,,SEA 15,10,13,Joshua Karty kicks extra point good,0.000,0.000
3,8:28,,,LAR 35,10,13,Joshua Karty kicks off 65 yards touchback.,0.000,0.940
3,8:28,1,10,SEA 30,10,13,Geno Smith scrambles up the middle for 3 yards (tackle by Byron Young),0.940,0.800
3,8:02,2,7,SEA 33,10,13,Penalty on Anthony Bradford: False Start 5 yards (accepted) (no play),0.800,0.120
3,7:47,2,12,SEA 28,10,13,Geno Smith sacked by Byron Young for -4 yards,0.120,-1.090
3,7:16,3,16,SEA 24,10,13,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 41 yards (tackle by Kamren Kinchens). Penalty on Michael Jerrell: Offensive Holding 10 yards (accepted) (no play),-1.090,-3.070
3,6:52,3,26,SEA 14,10,13,Kenneth Walker left tackle for 7 yards (tackle by Christian Rozeboom),-3.070,-1.960
3,6:13,4,19,SEA 21,10,13,Michael Dickson punts 44 yards fair catch by Xavier Smith at LA-35,-1.960,-1.270
3,6:06,1,10,LAR 35,10,13,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,1.270,0.720
3,6:01,2,10,LAR 35,10,13,Matthew Stafford pass complete short middle to Demarcus Robinson for 2 yards (tackle by Devon Witherspoon),0.720,0.300
3,5:26,3,8,LAR 37,10,13,Matthew Stafford pass incomplete intended for Colby Parkinson. Penalty on Riq Woolen: Illegal Contact 5 yards (accepted) (no play),0.300,1.730
3,5:20,1,10,LAR 42,10,13,Kyren Williams right tackle for no gain (tackle by Tyrel Dodson). Penalty on Hunter Long: Offensive Holding 10 yards (offset) . Penalty on Johnathan Hankins: Defensive Holding 5 yards (offset) (no play),1.730,1.730
3,4:55,1,10,LAR 42,10,13,Kyren Williams left tackle for 3 yards (tackle by Julian Love and Roy Robertson-Harris),1.730,1.590
3,4:13,2,7,LAR 45,10,13,Matthew Stafford pass complete short left to Kyren Williams for 26 yards (tackle by Coby Bryant),1.590,3.640
3,3:33,1,10,SEA 29,10,13,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Tyrel Dodson),3.640,4.320
3,2:58,2,1,SEA 20,10,13,Kyren Williams up the middle for 6 yards (tackle by Ernest Jones),4.320,4.650
3,2:24,,,,,,Timeout #1 by Seattle Seahawks,,
3,2:24,1,10,SEA 14,10,13,Matthew Stafford pass incomplete short left intended for Davis Allen (defended by Riq Woolen),4.650,4.000
3,2:18,2,10,SEA 14,10,13,Kyren Williams left tackle for 2 yards (tackle by Leonard Williams),4.000,3.430
3,1:32,3,8,SEA 12,10,13,Matthew Stafford pass incomplete short left intended for Kyren Williams. Penalty on Derick Hall: Roughing the Passer 6 yards (accepted) (no play),3.430,5.830
3,1:32,1,6,SEA 6,10,13,Matthew Stafford pass complete short left to Davis Allen for 5 yards (tackle by Julian Love),5.830,5.910
3,1:05,2,1,SEA 1,10,13,Kyren Williams up the middle for -2 yards (tackle by Ernest Jones),5.910,4.720
3,0:36,3,3,SEA 3,10,13,Matthew Stafford pass incomplete short middle intended for Davis Allen (defended by Coby Bryant),4.720,3.040
3,0:30,4,3,SEA 3,13,13,Joshua Karty 21 yard field goal good,3.040,3.000
3,0:27,,,LAR 35,13,13,Joshua Karty kicks off 66 yards returned by Laviska Shenault for 32 yards (tackle by Jaylen McCollough),0.000,1.000
3,0:17,1,10,SEA 31,13,13,Kenneth Walker right guard for 5 yards (tackle by Bobby Brown),1.000,1.140
4,15:00,2,5,SEA 36,13,13,Kenneth Walker left guard for 1 yard (tackle by Kobie Turner and Braden Fiske),1.140,0.560
4,14:22,3,4,SEA 37,13,13,Geno Smith pass complete deep right to Tyler Lockett for 20 yards (tackle by Darious Williams),0.560,2.720
4,13:45,1,10,LAR 43,13,13,Geno Smith pass complete short right to Kenneth Walker for 2 yards (tackle by Christian Rozeboom),2.720,2.450
4,13:18,2,8,LAR 41,13,13,Kenneth Walker right end for -2 yards (tackle by Christian Rozeboom and Darious Williams),2.450,1.490
4,12:47,3,10,LAR 43,13,13,Geno Smith pass incomplete deep left intended for Cody White. Penalty on Ahkello Witherspoon: Defensive Pass Interference 23 yards (accepted) (no play),1.490,4.240
4,12:42,1,10,LAR 20,13,13,Kenneth Walker up the middle for -2 yards (tackle by Jared Verse),4.240,3.420
4,12:03,2,12,LAR 22,13,13,Geno Smith pass complete short middle to Cody White for 16 yards (tackle by Quentin Lake),3.420,5.830
4,11:17,1,6,LAR 6,19,13,Geno Smith pass short left intended for Jaxon Smith-Njigba is intercepted by Kamren Kinchens in end zone and returned for 103 yards. Kamren Kinchens fumbles recovered by Kamren Kinchens at end zone touchdown,5.830,-7.000
4,10:59,,,SEA 15,20,13,Joshua Karty kicks extra point good,0.000,0.000
4,10:59,,,LAR 35,20,13,Joshua Karty kicks off 65 yards touchback.,0.000,0.940
4,10:59,1,10,SEA 30,20,13,Zach Charbonnet up the middle for 6 yards (tackle by Quentin Lake),0.940,1.200
4,10:41,2,4,SEA 36,20,13,Geno Smith pass incomplete short left intended for Zach Charbonnet (defended by Nick Hampton),1.200,0.500
4,10:36,3,4,SEA 36,20,13,Geno Smith sacked by Kobie Turner for -10 yards,0.500,-1.630
4,9:56,4,14,SEA 26,20,13,Michael Dickson punts 45 yards fair catch by Xavier Smith at LA-29,-1.630,-0.870
4,9:49,1,10,LAR 29,20,13,Kyren Williams right guard for 2 yards (tackle by Ernest Jones),0.870,0.600
4,9:06,2,8,LAR 31,20,13,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,0.600,-0.100
4,8:57,3,8,LAR 31,20,13,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson,-0.100,-1.310
4,8:52,4,8,LAR 31,20,13,Ty Zentner punts blocked by Cody White,-1.310,-4.310
4,8:44,1,10,LAR 19,20,13,Geno Smith pass complete short right to Kenneth Walker for 4 yards (tackle by Quentin Lake),4.310,4.350
4,8:01,2,6,LAR 15,20,13,Geno Smith sacked by Quentin Lake for no gain,4.350,3.580
4,7:25,3,6,LAR 15,20,13,Geno Smith pass complete short right to AJ Barner for 10 yards (tackle by Darious Williams),3.580,6.060
4,6:51,1,5,LAR 5,20,13,Kenneth Walker up the middle for 1 yard (tackle by Bobby Brown and Kobie Turner),6.060,5.340
4,6:11,2,4,LAR 4,20,13,Geno Smith pass short right intended for AJ Barner is intercepted by Kamren Kinchens at LA-7 and returned for no gain (tackle by AJ Barner),5.340,0.380
4,6:07,1,10,LAR 7,20,13,Kyren Williams up the middle for 1 yard (tackle by Byron Murphy and Roy Robertson-Harris),-0.380,-0.710
4,5:26,2,9,LAR 8,20,13,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Josh Jobe),-0.710,-0.600
4,4:45,3,3,LAR 14,20,13,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Devon Witherspoon),-0.600,-2.470
4,4:39,4,3,LAR 14,20,13,Ty Zentner punts 50 yards returned by Dee Williams for 2 yards (tackle by Blake Corum),-2.470,-1.470
4,4:28,1,10,SEA 38,20,13,Geno Smith sacked by Braden Fiske for -6 yards,1.470,0.110
4,3:54,2,16,SEA 32,20,13,Geno Smith pass complete deep right to Jaxon Smith-Njigba for no gain (tackle by Quentin Lake). Penalty on Michael Jerrell: Offensive Holding 10 yards (accepted) (no play),0.110,-1.240
4,3:47,2,26,SEA 22,20,13,Penalty on Michael Jerrell: False Start 5 yards (accepted) (no play),-1.240,-2.060
4,3:47,2,31,SEA 17,20,13,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,-2.060,-3.040
4,3:41,3,31,SEA 17,20,13,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 14 yards (tackle by Jaylen McCollough),-3.040,-1.310
4,3:08,4,17,SEA 31,20,13,Michael Dickson punts 49 yards returned by Xavier Smith for 8 yards (tackle by Jerrick Reed),-1.310,-0.810
4,2:59,1,10,LAR 28,20,13,Kyren Williams left guard for no gain (tackle by Coby Bryant). Penalty on Beaux Limmer: Offensive Holding 10 yards (accepted) (no play),0.810,-0.040
4,2:52,1,20,LAR 18,20,13,Kyren Williams left tackle for 9 yards (tackle by Tyrel Dodson),-0.040,0.130
4,2:46,,,,,,Timeout #2 by Seattle Seahawks,,
4,2:46,2,11,LAR 27,20,13,Kyren Williams right end for -4 yards (tackle by Devon Witherspoon and Boye Mafe),0.130,-1.090
4,2:41,,,,,,Timeout #3 by Seattle Seahawks,,
4,2:41,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:41,3,15,LAR 23,20,13,Kyren Williams up the middle for 6 yards (tackle by Leonard Williams and Ernest Jones),-1.090,-1.440
4,2:00,4,9,LAR 29,20,13,Ty Zentner punts 44 yards fair catch by Dee Williams at SEA-27,-1.440,-0.740
4,1:54,1,10,SEA 27,20,13,Geno Smith sacked by Braden Fiske for -14 yards,0.740,-1.790
