Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
2,0:26,1,10,ARI 30,9,14,Kyler Murray pass complete short left to Emari Demercado for 12 yards (tackle by Tyrique Stevenson),0.940,1.730
2,0:19,1,10,ARI 42,9,14,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Tyrique Stevenson),1.730,1.860
2,0:16,2,5,ARI 47,9,14,Kyler Murray pass incomplete short left,1.860,1.160
2,0:12,3,5,ARI 47,9,20,Emari Demercado right tackle for 53 yards touchdown,1.160,7.000
2,0:04,,,CHI 15,9,21,Chad Ryland kicks extra point good,0.000,0.000
2,0:04,,,ARI 35,9,21,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,CHI 30,9,21,Caleb Williams kneels for -1 yards,0.940,0.260
3,15:00,,,ARI 35,9,21,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CHI 30,9,21,D'Andre Swift left end for 1 yard (tackle by Budda Baker),0.940,0.530
3,14:23,2,9,CHI 31,9,21,Caleb Williams sacked by and Dante Stills for -7 yards and Zaven Collins for -7 yards,0.530,-1.090
3,13:38,3,16,CHI 24,9,21,Caleb Williams pass complete short middle to Keenan Allen for 11 yards (tackle by Budda Baker),-1.090,-1.040
3,13:00,4,5,CHI 35,9,21,Tory Taylor punts 62 yards returned by Greg Dortch for 17 yards (tackle by Amen Ogbongbemiga),-1.040,-0.280
3,12:47,1,10,ARI 20,9,21,James Conner right end for 15 yards (tackle by Elijah Hicks),0.280,1.270
3,12:10,1,10,ARI 35,9,21,Kyler Murray pass complete short left to Elijah Higgins for 11 yards (tackle by Tremaine Edmunds),1.270,1.990
3,11:29,1,10,ARI 46,9,21,James Conner right tackle for 7 yards (tackle by Jack Sanborn and Kevin Byard),1.990,2.400
3,10:49,2,3,CHI 47,9,21,James Conner left tackle for 1 yard (tackle by Tremaine Edmunds),2.400,1.820
3,10:09,3,2,CHI 46,9,21,Kyler Murray left tackle for 6 yards (tackle by Elijah Hicks),1.820,2.920
3,9:35,1,10,CHI 40,9,21,Kyler Murray pass complete short right to Trey McBride for 15 yards (tackle by T.J. Edwards),2.920,3.910
3,8:50,,,,,,Timeout #1 by Arizona Cardinals,,
3,8:50,1,10,CHI 25,9,21,James Conner up the middle for 8 yards (tackle by Andrew Billings and Tyrique Stevenson),3.910,4.550
3,8:14,2,2,CHI 17,9,21,James Conner left end for -3 yards (tackle by Jaylon Johnson),4.550,3.340
3,7:23,3,5,CHI 20,9,21,Kyler Murray pass complete short right to Emari Demercado for 9 yards (tackle by T.J. Edwards),3.340,4.840
3,6:56,1,10,CHI 11,9,21,James Conner up the middle for 4 yards (tackle by Jacob Martin and Andrew Billings),4.840,4.890
3,6:22,2,6,CHI 7,9,21,Kyler Murray sacked by Jacob Martin for -6 yards,4.890,3.080
3,5:42,3,12,CHI 13,9,21,James Conner left tackle for 2 yards (tackle by Austin Booker and T.J. Edwards),3.080,2.700
3,4:55,4,10,CHI 11,9,24,Chad Ryland 29 yard field goal good. Penalty on Tyrique Stevenson: Defensive Offside 5 yards (declined),2.700,3.000
3,4:53,,,ARI 35,9,24,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,4:53,1,10,CHI 30,9,24,D'Andre Swift left tackle for -2 yards (tackle by L.J. Collier),0.940,0.120
3,4:07,2,12,CHI 28,9,24,Caleb Williams pass complete short right to Rome Odunze for 17 yards (tackle by Garrett Williams),0.120,1.930
3,3:22,1,10,CHI 45,9,24,D'Andre Swift up the middle for 3 yards (tackle by Budda Baker),1.930,1.790
3,2:43,2,7,CHI 48,9,24,Caleb Williams scrambles right end for 2 yards (tackle by L.J. Collier),1.790,1.360
3,2:04,3,5,CHI 50,9,24,Roschon Johnson left end for 1 yard (tackle by Garrett Williams and Budda Baker),1.360,0.000
3,1:19,4,4,ARI 49,9,24,Caleb Williams pass complete short right to Keenan Allen for 6 yards (tackle by Max Melton),0.000,2.720
3,0:44,1,10,ARI 43,9,24,Caleb Williams pass incomplete deep right intended for D.J. Moore,2.720,2.180
3,0:37,2,10,ARI 43,9,24,Caleb Williams pass incomplete deep left intended for D.J. Moore,2.180,1.490
3,0:31,3,10,ARI 43,9,24,Caleb Williams sacked by and Kyzir White for -1 yards and Zaven Collins for -1 yards,1.490,0.330
4,15:00,4,11,ARI 44,9,24,Caleb Williams sacked by Zaven Collins for -16 yards,0.330,-2.920
4,14:55,1,10,CHI 40,9,24,Kyler Murray pass incomplete short left intended for Greg Dortch,2.920,2.370
4,14:50,2,10,CHI 40,9,24,Trey Benson up the middle for 3 yards (tackle by Darrell Taylor and T.J. Edwards),2.370,2.080
4,14:12,3,7,CHI 37,9,24,Kyler Murray pass incomplete deep right intended for Marvin Harrison,2.080,0.790
4,14:07,4,7,CHI 37,9,27,Chad Ryland 55 yard field goal good,0.790,3.000
4,14:02,,,ARI 35,9,27,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
4,14:02,1,10,CHI 30,9,27,Caleb Williams sacked by Jesse Luketa for -10 yards,0.940,-0.960
4,13:24,2,20,CHI 20,9,27,Caleb Williams scrambles right end for 2 yards (tackle by Jesse Luketa),-0.960,-1.350
4,12:42,3,18,CHI 22,9,27,Caleb Williams pass complete short right to Roschon Johnson for 5 yards (tackle by Dadrion Taylor-Demerson and Kyzir White),-1.350,-1.570
4,12:07,4,13,CHI 27,9,27,Tory Taylor punts 67 yards returned by Greg Dortch for 14 yards (tackle by Noah Sewell and Elijah Hicks),-1.570,-0.280
4,11:51,1,10,ARI 20,9,27,Trey Benson up the middle for 4 yards (tackle by Zacch Pickens and Gervon Dexter),0.280,0.270
4,11:15,2,6,ARI 24,9,27,Kyler Murray pass complete short right to Elijah Higgins for 23 yards (tackle by Jack Sanborn and Tyrique Stevenson),0.270,2.060
4,10:18,1,10,ARI 47,9,27,Trey Benson right tackle for 4 yards (tackle by Kevin Byard),2.060,2.060
4,9:46,2,6,CHI 49,9,27,Trey Benson left tackle for no gain (tackle by Gervon Dexter). Penalty on Hjalte Froholdt: Offensive Holding 10 yards (accepted) (no play),2.060,0.710
4,9:20,2,16,ARI 41,9,27,Kyler Murray pass complete short right to Marvin Harrison for 13 yards (tackle by Tyrique Stevenson),0.710,1.680
4,8:39,3,4,CHI 46,9,27,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Tyrique Stevenson),1.680,0.200
4,8:30,4,4,CHI 46,9,27,Blake Gillikin punts 45 yards downed by Joey Blount,0.200,0.380
4,8:21,1,10,CHI 1,9,27,D'Andre Swift up the middle for no gain (tackle by Ben Stille and Budda Baker),-0.380,-0.780
4,8:00,2,10,CHI 1,9,29,Caleb Williams pass incomplete short right intended for Marcedes Lewis. Penalty on D'Andre Swift: Chop Block 1 yard (accepted),-0.780,-2.000
4,7:54,,,CHI 20,9,29,Tory Taylor kicks off 16 yards,0.000,3.180
4,7:54,1,10,CHI 36,9,29,Trey Benson up the middle for 2 yards (tackle by Darrell Taylor),3.180,2.910
4,7:47,,,,,,Timeout #1 by Chicago Bears,,
4,7:47,2,8,CHI 34,9,29,Trey Benson right tackle for 4 yards (tackle by Kevin Byard and Jack Sanborn),2.910,2.740
4,7:41,,,,,,Timeout #2 by Chicago Bears,,
4,7:41,3,4,CHI 30,9,29,Emari Demercado up the middle for 3 yards (tackle by Kevin Byard),2.740,1.820
