Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
3,9:25,,,JAX 2,0,22,Penalty on Andre Cisco: Unnecessary Roughness / Defense 1 yard (accepted) (no play),0.000,1.000
3,9:25,,,JAX 1,0,22,Two Point Attempt: Jalen Hurts rushes conversion fails.,1.000,-1.000
3,9:25,,,PHI 35,0,22,Braden Mann kicks off 67 yards returned by Tank Bigsby for 41 yards (tackle by Oren Burks and Eli Ricks),0.000,1.530
3,9:17,1,10,JAX 39,0,22,Trevor Lawrence pass incomplete short right intended for Tim Jones,1.530,0.990
3,9:14,2,10,JAX 39,0,22,Travis Etienne up the middle for 16 yards (tackle by Cooper DeJean),0.990,2.590
3,8:50,1,10,PHI 45,0,22,Trevor Lawrence pass complete short right to Evan Engram for 2 yards (tackle by Zack Baun),2.590,2.310
3,8:20,2,8,PHI 43,0,22,Trevor Lawrence pass complete deep right to Austin Trammell for 18 yards (tackle by Cooper DeJean),2.310,3.910
3,7:53,1,10,PHI 25,0,22,Tank Bigsby up the middle for -2 yards (tackle by Zack Baun),3.910,3.090
3,7:15,2,12,PHI 27,0,22,Trevor Lawrence pass incomplete deep right,3.090,2.410
3,7:09,3,12,PHI 27,0,22,Trevor Lawrence pass complete short left to Parker Washington for 12 yards (tackle by C.J. Gardner-Johnson) PHI challenged the first down ruling and the play was upheld.,2.410,4.580
3,6:40,1,10,PHI 15,0,22,Trevor Lawrence pass complete short left to Evan Engram for 14 yards (tackle by C.J. Gardner-Johnson),4.580,6.970
3,6:19,1,1,PHI 1,0,22,D'Ernest Johnson up the middle for no gain (tackle by Josh Sweat and Jalen Carter),6.970,5.910
3,5:30,2,1,PHI 1,6,22,Trevor Lawrence up the middle for 1 yard touchdown,5.910,7.000
3,5:26,,,PHI 2,8,22,Two Point Attempt: Trevor Lawrence pass complete to to Brian Thomas for no gain,1.000,1.000
3,5:26,,,JAX 35,8,22,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,5:26,1,10,PHI 30,14,22,Saquon Barkley left end for 4 yards. Saquon Barkley fumbles recovered by Travon Walker at PHI-35 and returned for 35 yards touchdown Replay Assistant challenged the fumble ruling and the play was upheld.,0.940,-7.000
3,5:12,,,PHI 2,16,22,Two Point Attempt: Trevor Lawrence pass complete to to Evan Engram for no gain,1.000,1.000
3,5:12,,,JAX 35,16,22,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,5:12,1,10,PHI 30,16,22,Saquon Barkley left guard for 1 yard (tackle by Jeremiah Ledbetter and Ventrell Miller),0.940,0.530
3,4:37,2,9,PHI 31,16,22,Jalen Hurts pass deep middle intended for DeVonta Smith is intercepted by Andre Cisco at PHI-48 and returned for no gain (tackle by Fred Johnson and DeVonta Smith) Replay Assistant challenged the pass interception ruling and the original play was overturned. Jalen Hurts pass incomplete deep middle intended for DeVonta Smith,0.530,-0.160
3,4:34,3,9,PHI 31,16,22,Jalen Hurts scrambles left end for 21 yards (tackle by Antonio Johnson),-0.160,2.390
