Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
3,7:38,2,4,NOR 22,14,17,Kirk Cousins pass incomplete deep right intended for Darnell Mooney,3.980,3.270
3,7:33,3,4,NOR 22,14,17,Kirk Cousins pass complete short left to Darnell Mooney for -4 yards (tackle by Chase Young),3.270,1.740
3,6:50,4,8,NOR 26,14,20,Younghoe Koo 44 yard field goal good,1.740,3.000
3,6:46,,,ATL 35,14,20,Younghoe Koo kicks off 70 yards returned by Jamaal Williams for 30 yards (tackle by DeAngelo Malone),0.000,0.610
3,6:40,1,10,NOR 25,14,20,Derek Carr pass complete short left to Chris Olave for 7 yards (tackle by Mike Hughes),0.610,1.010
3,6:13,2,3,NOR 32,14,20,Alvin Kamara left tackle for no gain (tackle by Ta'Quon Graham),1.010,0.300
3,5:32,3,3,NOR 32,14,20,Derek Carr pass complete short right to Rashid Shaheed for 6 yards (tackle by AJ Terrell),0.300,1.470
3,4:48,1,10,NOR 38,14,20,Derek Carr pass complete short right to Jamaal Williams for 4 yards (tackle by AJ Terrell and Zach Harrison),1.470,1.460
3,4:27,2,6,NOR 42,14,20,Derek Carr pass complete short right to Chris Olave for 9 yards (tackle by James Smith-Williams),1.460,2.320
3,3:52,1,10,ATL 49,14,20,Derek Carr pass complete deep right to Rashid Shaheed for 25 yards (tackle by Clark Phillips),2.320,3.970
3,3:15,1,10,ATL 24,14,20,Alvin Kamara right end for -3 yards (tackle by James Smith-Williams),3.970,3.030
3,2:32,2,13,ATL 27,14,20,Derek Carr sacked by DeAundre Alford for -4 yards,3.030,1.820
3,1:51,3,17,ATL 31,14,20,Derek Carr pass complete short left to Alvin Kamara for 6 yards (tackle by Mike Hughes),1.820,1.800
3,1:08,4,11,ATL 25,17,20,Blake Grupe 43 yard field goal good,1.800,3.000
3,1:03,,,NOR 35,17,20,Blake Grupe kicks off 64 yards returned by Ray-Ray McCloud for 18 yards (tackle by Anfernee Orji and J.T. Gray),0.000,0.150
3,0:57,1,10,ATL 19,17,20,Tyler Allgeier right end for 7 yards (tackle by Jordan Howden and Paulson Adebo),0.150,0.610
3,0:34,2,3,ATL 26,17,20,Kirk Cousins pass complete short right to Ray-Ray McCloud for 15 yards (tackle by Paulson Adebo),0.610,1.660
4,15:00,1,10,ATL 41,17,20,Tyler Allgeier left guard for 11 yards (tackle by Marshon Lattimore),1.660,2.390
4,14:24,1,10,NOR 48,17,20,Tyler Allgeier right tackle for 15 yards (tackle by Paulson Adebo),2.390,3.380
4,13:39,1,10,NOR 33,17,20,Tyler Allgeier right end for 2 yards (tackle by Chase Young),3.380,3.110
4,12:57,2,8,NOR 31,17,20,Kirk Cousins pass complete short middle to Drake London for 12 yards (tackle by Paulson Adebo),3.110,4.310
4,12:16,1,10,NOR 19,17,20,Kirk Cousins pass complete short left to Bijan Robinson for no gain touchdown. Penalty on Jake Matthews: Offensive Holding 10 yards (accepted) (no play),4.310,3.640
4,12:08,1,20,NOR 29,17,20,Bijan Robinson left end for 2 yards (tackle by Payton Turner),3.640,2.680
4,11:44,2,18,NOR 27,17,20,Kirk Cousins sacked by Payton Turner for -11 yards. Kirk Cousins fumbles (forced by Payton Turner) recovered by Matthew Bergeron at NO-40,2.680,0.300
4,10:57,3,31,NOR 40,17,20,Kirk Cousins pass complete deep right to Drake London for 16 yards (tackle by Paulson Adebo),0.300,1.870
4,10:13,4,15,NOR 24,17,23,Younghoe Koo 42 yard field goal good,1.870,3.000
4,10:09,,,ATL 35,17,23,Younghoe Koo kicks off 65 yards touchback.,0.000,0.940
4,10:09,1,10,NOR 30,17,23,Alvin Kamara left tackle for 7 yards (tackle by Jessie Bates),0.940,1.340
4,9:39,2,3,NOR 37,17,23,Alvin Kamara left tackle for 4 yards (tackle by Grady Jarrett),1.340,1.660
4,9:05,1,10,NOR 41,17,23,Derek Carr pass complete deep left to Rashid Shaheed for 18 yards (tackle by Kaden Elliss),1.660,2.850
4,8:24,1,10,ATL 41,17,23,Derek Carr pass complete short right to Jamaal Williams for 4 yards (tackle by Troy Andersen),2.850,2.850
4,7:40,2,6,ATL 37,17,23,Alvin Kamara right end for 1 yard (tackle by AJ Terrell),2.850,2.280
4,7:01,3,5,ATL 36,17,23,Derek Carr pass complete short left to Chris Olave for 12 yards (tackle by Mike Hughes),2.280,3.970
4,6:17,1,10,ATL 24,17,23,Derek Carr pass incomplete deep right intended for Chris Olave,3.970,3.430
4,6:07,2,10,ATL 24,17,23,Alvin Kamara left tackle for 14 yards (tackle by Jessie Bates),3.430,4.910
4,5:43,1,10,ATL 10,17,23,Alvin Kamara left tackle for no gain (tackle by Mike Hughes and Ta'Quon Graham). Penalty on Ta'Quon Graham: Defensive Too Many Men on Field 5 yards (declined) . Penalty on Grady Jarrett: Defensive Offside 5 yards (accepted) (no play),4.910,6.060
4,5:29,1,5,ATL 5,17,23,Alvin Kamara right tackle for no gain (tackle by Troy Andersen),6.060,5.150
4,4:50,2,5,ATL 5,17,23,Derek Carr pass incomplete short left intended for Rashid Shaheed,5.150,4.260
4,4:46,3,5,ATL 5,17,23,Alvin Kamara right tackle for -2 yards (tackle by Arnold Ebiketie and Troy Andersen),4.260,2.970
4,4:01,,,,,,Timeout #1 by Atlanta Falcons,,
4,4:01,4,7,ATL 7,17,23,Derek Carr pass incomplete short left intended for Rashid Shaheed (defended by DeAundre Alford),2.970,0.380
4,3:57,1,10,ATL 7,17,23,Tyler Allgeier right guard for no gain (tackle by D'Marco Jackson and Marshon Lattimore),-0.380,-0.780
4,3:49,,,,,,Timeout #1 by New Orleans Saints,,
4,3:49,2,10,ATL 7,17,23,Kirk Cousins pass incomplete short left intended for Kyle Pitts,-0.780,-1.420
4,3:45,3,10,ATL 7,17,23,Kirk Cousins pass complete short left to Tyler Allgeier for 7 yards (tackle by Will Harris),-1.420,-2.470
4,3:38,4,3,ATL 14,17,23,Bradley Pinion punts 45 yards returned by Rashid Shaheed for 17 yards (tackle by Troy Andersen),-2.470,-2.790
4,3:28,1,10,ATL 42,17,23,Penalty on Juwan Johnson: False Start 5 yards (accepted) (no play),2.790,2.460
4,3:28,1,15,ATL 47,17,23,Derek Carr pass complete deep middle to Chris Olave for no gain (tackle by Kaden Elliss). Penalty on Rashid Shaheed: Illegal Motion 5 yards (accepted) (no play),2.460,2.130
4,3:22,1,20,NOR 48,17,23,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Lorenzo Carter),2.130,1.300
4,2:42,2,17,ATL 49,17,23,Derek Carr pass complete short left to Rashid Shaheed for 11 yards (tackle by AJ Terrell),1.300,2.080
4,2:35,3,6,ATL 38,17,23,Derek Carr pass complete short right to Chris Olave for 13 yards (tackle by DeAundre Alford),2.080,3.910
4,2:29,1,10,ATL 25,17,23,Derek Carr pass complete short left to Juwan Johnson for 8 yards (tackle by DeAundre Alford),3.910,4.550
4,2:00,2,2,ATL 17,17,23,Derek Carr pass incomplete short right intended for Alvin Kamara,4.550,3.850
4,1:58,3,2,ATL 17,17,23,Derek Carr pass complete short middle to Chris Olave for 16 yards (tackle by DeAundre Alford),3.850,6.970
4,1:53,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:53,1,1,ATL 1,17,23,Derek Carr right guard for no gain (tackle by Grady Jarrett),6.970,5.910
4,1:48,,,,,,Timeout #3 by Atlanta Falcons,,
4,1:48,2,1,ATL 1,17,23,Derek Carr left guard for no gain (tackle by David Onyemata),5.910,5.170
4,1:04,,,,,,Timeout #2 by New Orleans Saints,,
4,1:04,3,1,ATL 1,23,23,Alvin Kamara left tackle for 1 yard touchdown,5.170,7.000
4,1:00,,,ATL 15,24,23,Blake Grupe kicks extra point good,0.000,0.000
4,1:00,,,NOR 35,24,23,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
4,1:00,1,10,ATL 30,24,23,Kirk Cousins pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Carl Granderson),0.940,1.070
4,0:41,2,5,ATL 35,24,23,Penalty on Ryan Neuzil: False Start 5 yards (accepted) (no play),1.070,0.390
4,0:30,2,10,ATL 30,24,23,Kirk Cousins pass incomplete deep right intended for Darnell Mooney. Penalty on Paulson Adebo: Defensive Pass Interference 30 yards (accepted) (no play),0.390,2.920
4,0:23,,,,,,Timeout #3 by New Orleans Saints,,
4,0:23,1,10,NOR 40,24,23,Kirk Cousins pass incomplete deep right intended for Drake London,2.920,2.370
4,0:18,2,10,NOR 40,24,23,Kirk Cousins pass incomplete deep right intended for Darnell Mooney,2.370,1.680
4,0:13,3,10,NOR 40,24,23,Kirk Cousins pass incomplete deep right intended for Darnell Mooney (defended by Paulson Adebo),1.680,0.590
4,0:07,4,10,NOR 40,24,26,Younghoe Koo 58 yard field goal good,0.590,3.000
4,0:02,,,ATL 35,24,26,Younghoe Koo kicks off 66 yards returned by Rashid Shaheed for 15 yards lateral to Jamaal Williams for 1 yard (tackle by Richie Grant),0.000,1.270
