Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
3,5:43,2,2,GNB 39,28,7,Jordan Love pass complete short right to Dontayvion Wicks for 8 yards (tackle by Byron Murphy),1.540,2.060
3,5:21,1,10,GNB 47,28,7,Emanuel Wilson up the middle for 2 yards (tackle by Patrick Jones and Blake Cashman),2.060,1.790
3,5:01,2,8,GNB 49,28,7,Jordan Love pass complete short left to Jayden Reed for 17 yards (tackle by Camryn Bynum),1.790,3.310
3,4:18,1,10,MIN 34,28,7,Emanuel Wilson left guard for 2 yards (tackle by Camryn Bynum). Penalty on Tucker Kraft: Offensive Holding 10 yards (accepted),3.310,2.790
3,3:47,1,18,MIN 42,28,7,Jordan Love pass incomplete deep middle intended for Bo Melton (defended by Josh Metellus),2.790,1.690
3,3:42,2,18,MIN 42,28,7,Jordan Love pass incomplete short right intended for Jayden Reed,1.690,1.030
3,3:39,3,18,MIN 42,28,7,Jordan Love pass complete short right to Tucker Kraft for 10 yards (tackle by Andrew Van Ginkel and Blake Cashman),1.030,1.240
3,3:13,4,8,MIN 32,28,7,Jordan Love pass incomplete deep right intended for Dontayvion Wicks (defended by Shaquill Griffin),1.240,-1.140
3,3:02,1,10,MIN 33,28,7,Aaron Jones right end for 5 yards (tackle by Lukas Van Ness),1.140,1.270
3,2:23,2,5,MIN 38,28,7,Penalty on Blake Brandel: False Start 5 yards (accepted) (no play),1.270,0.590
3,2:09,2,10,MIN 33,28,7,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Eric Wilson),0.590,1.090
3,1:31,3,1,MIN 42,28,7,Ty Chandler left end for no gain (tackle by Quay Walker),1.090,-0.590
3,0:46,4,1,MIN 42,28,7,Ryan Wright punts 47 yards out of bounds,-0.590,0.370
3,0:33,1,10,GNB 11,28,7,Jordan Love pass complete short left to Jayden Reed for 12 yards (tackle by Blake Cashman and Camryn Bynum),-0.370,0.480
3,0:10,1,10,GNB 23,28,7,Jordan Love pass complete short middle to Josh Jacobs for 8 yards (tackle by Josh Metellus),0.480,1.010
4,15:00,2,2,GNB 31,28,7,Jordan Love pass incomplete short right intended for Tucker Kraft,1.010,0.300
4,14:55,3,2,GNB 31,28,7,Josh Jacobs up the middle for 11 yards (tackle by Harrison Smith and Josh Metellus),0.300,1.730
4,14:34,1,10,GNB 42,28,7,Jordan Love pass complete short right to Tucker Kraft for 3 yards (tackle by Shaquill Griffin and Harrison Smith),1.730,1.590
4,14:04,2,7,GNB 45,28,7,Jordan Love pass complete deep right to Bo Melton for 28 yards (tackle by Camryn Bynum),1.590,3.780
4,13:40,1,10,MIN 27,28,7,Jordan Love pass complete short left to Malik Heath for 3 yards,3.780,3.640
4,13:04,2,7,MIN 24,28,7,Jordan Love pass complete short right to Malik Heath for 9 yards (tackle by Blake Cashman),3.640,4.580
4,12:39,1,10,MIN 15,28,7,Jordan Love pass complete short middle to Josh Jacobs for 9 yards (tackle by Blake Cashman),4.580,5.600
4,11:54,2,1,MIN 6,28,7,Jordan Love pass incomplete short right intended for Josh Jacobs,5.600,4.900
4,11:42,3,1,MIN 6,28,13,Jordan Love pass complete short middle to Dontayvion Wicks for 6 yards touchdown,4.900,7.000
4,11:38,,,MIN 15,28,14,Brayden Narveson kicks extra point good,0.000,0.000
4,11:38,,,GNB 35,28,14,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
4,11:38,1,10,MIN 30,28,14,Sam Darnold scrambles left end for 2 yards (tackle by Rashan Gary),0.940,0.660
4,10:51,2,8,MIN 32,28,14,Sam Darnold sacked by Keisean Nixon for -8 yards. Sam Darnold fumbles (forced by Keisean Nixon) recovered by Edgerrin Cooper at MIN-24 and returned for 4 yards (tackle by Aaron Jones),0.660,-4.240
4,10:43,1,10,MIN 20,28,14,Josh Jacobs up the middle for 7 yards (tackle by Josh Metellus and Blake Cashman),4.240,4.830
4,10:22,2,3,MIN 13,28,20,Jordan Love pass complete short left to Tucker Kraft for 13 yards touchdown,4.830,7.000
4,10:16,,,MIN 2,28,22,Two Point Attempt: Jordan Love pass complete to to Tucker Kraft for no gain,1.000,1.000
4,10:16,,,GNB 35,28,22,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
4,10:16,1,10,MIN 30,28,22,Sam Darnold pass complete deep left to Justin Jefferson for 17 yards (tackle by Keisean Nixon),0.940,2.060
4,9:36,1,10,MIN 47,28,22,Sam Darnold pass complete short right to Josh Oliver for 8 yards (tackle by Quay Walker and Isaiah McDuffie),2.060,2.600
4,8:56,2,2,GNB 45,28,22,Sam Darnold pass complete short middle to Justin Jefferson for 27 yards (tackle by Corey Ballentine),2.600,4.370
4,8:30,1,10,GNB 18,28,22,Sam Darnold pass complete short left to Aaron Jones for 8 yards (tackle by Quay Walker),4.370,5.230
4,7:44,2,2,GNB 10,28,22,Sam Darnold up the middle for -5 yards (tackle by Edgerrin Cooper),5.230,3.460
4,7:07,3,7,GNB 15,28,22,Sam Darnold pass incomplete short right,3.460,2.440
4,6:53,4,7,GNB 15,31,22,Will Reichard 33 yard field goal good,2.440,3.000
4,6:50,,,MIN 35,31,22,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,6:50,1,10,GNB 30,31,22,Jordan Love pass complete deep right to Dontayvion Wicks for 36 yards (tackle by Byron Murphy),0.940,3.310
