Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
3,7:54,1,10,SFO 12,10,27,Brock Purdy pass incomplete deep middle intended for Chris Conley,-0.350,-0.780
3,7:47,2,10,SFO 12,10,27,Jordan Mason right end for 1 yard (tackle by Davon Godchaux and Jaylinn Hawkins),-0.780,-1.300
3,7:08,3,9,SFO 13,10,27,Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by Christian Gonzalez) NWE challenged the pass completion ruling and the play was upheld.,-1.300,0.480
3,6:30,1,10,SFO 23,10,27,Penalty on Aaron Banks: False Start 5 yards (accepted) (no play),0.480,0.000
3,6:30,1,15,SFO 18,10,27,Jordan Mason right tackle for 10 yards (tackle by Jabrill Peppers and Jaylinn Hawkins),0.000,0.610
3,5:51,2,5,SFO 28,10,27,Jordan Mason right end for no gain (tackle by Davon Godchaux),0.610,-0.100
3,5:06,3,5,SFO 28,10,27,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Jonathan Jones),-0.100,-1.500
3,5:01,4,5,SFO 28,10,27,Mitch Wishnowsky punts 44 yards returned by Marcus Jones for 13 yards (tackle by Isaac Yiadom),-1.500,-1.660
3,4:51,1,10,NWE 41,10,27,Rhamondre Stevenson up the middle for 4 yards (tackle by Demetrius Flannigan-Fowles and De'Vondre Campbell),1.660,1.660
3,4:16,2,6,NWE 45,10,27,Rhamondre Stevenson left tackle for -7 yards (tackle by Sam Okuayinonu),1.660,0.040
3,3:36,3,13,NWE 38,10,27,Jacoby Brissett pass complete short middle to Demario Douglas for 3 yards lateral to Rhamondre Stevenson for 4 yards (tackle by Ji'Ayir Brown and Renardo Green). Penalty on Tyquan Thornton: Offensive Illegal Block Above the Waist 10 yards (accepted),0.040,-0.360
3,3:10,3,16,NWE 35,10,27,Jacoby Brissett pass incomplete short left intended for Rhamondre Stevenson,-0.360,-1.040
3,3:08,4,16,NWE 35,10,27,Bryce Baringer punts 56 yards returned by Kyle Juszczyk for 8 yards (tackle by Joe Cardona and Christian Elliss),-1.040,0.060
3,2:56,1,10,SFO 17,10,27,Jordan Mason left guard for 24 yards (tackle by Christian Gonzalez),-0.060,1.660
3,2:17,1,10,SFO 41,10,27,Brock Purdy aborted snap recovered by Jordan Mason at SF-35 and returned for -2 yards (tackle by Jahlani Tavai),1.660,0.040
3,1:31,2,18,SFO 33,10,27,Brock Purdy pass incomplete short left intended for Jauan Jennings,0.040,-0.630
3,1:27,3,18,SFO 33,10,27,Brock Purdy pass complete short middle to Deebo Samuel for 3 yards (tackle by Marcus Jones),-0.630,-0.980
3,0:46,4,15,SFO 36,10,27,Mitch Wishnowsky punts 47 yards returned by Marcus Jones for 15 yards (tackle by Patrick Taylor),-0.980,-1.070
3,0:33,1,10,NWE 32,10,27,Jacoby Brissett pass complete short middle to Antonio Gibson for 6 yards (tackle by De'Vondre Campbell and Demetrius Flannigan-Fowles),1.070,1.340
3,0:07,2,4,NWE 38,10,27,Jacoby Brissett pass incomplete deep left intended for Ja'Lynn Polk (defended by Deommodore Lenoir). Penalty on Deommodore Lenoir: Defensive Pass Interference 13 yards (accepted) (no play),1.340,2.320
3,0:02,1,10,SFO 49,10,27,Jacoby Brissett pass incomplete short left intended for K.J. Osborn,2.320,1.780
4,15:00,2,10,SFO 49,10,27,Jacoby Brissett pass incomplete short left intended for Antonio Gibson,1.780,1.090
4,14:57,3,10,SFO 49,10,27,Jacoby Brissett pass complete short right to Antonio Gibson for 11 yards (tackle by Charvarius Ward),1.090,3.050
4,14:19,1,10,SFO 38,10,27,Antonio Gibson left guard for 2 yards (tackle by Leonard Floyd and Evan Anderson),3.050,2.780
4,13:40,2,8,SFO 36,10,27,Jacoby Brissett pass incomplete deep left intended for Ja'Lynn Polk,2.780,2.080
4,13:36,3,8,SFO 36,10,27,Jacoby Brissett pass incomplete short middle intended for Ja'Lynn Polk,2.080,0.880
4,13:29,4,8,SFO 36,13,27,Joey Slye 54 yard field goal good,0.880,3.000
4,13:26,,,NWE 35,13,27,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,13:26,1,10,SFO 30,13,27,Brock Purdy pass complete deep middle to Jauan Jennings for 45 yards (tackle by Marcus Jones),0.940,3.910
4,12:35,1,10,NWE 25,13,27,Deebo Samuel left tackle for no gain (tackle by Jaylinn Hawkins). Penalty on Kyle Juszczyk: Illegal Shift 5 yards (accepted) (no play),3.910,3.580
4,12:07,1,15,NWE 30,13,27,Brock Purdy pass complete short right to George Kittle for 7 yards (tackle by Jahlani Tavai),3.580,3.630
4,11:26,2,8,NWE 23,13,27,Brock Purdy pass deep left intended for Brandon Aiyuk is intercepted by Jabrill Peppers in end zone and returned for no gain,3.630,-0.280
4,11:19,1,10,NWE 20,13,27,Rhamondre Stevenson left guard for 5 yards (tackle by Maliek Collins),0.280,0.410
4,10:42,2,5,NWE 25,13,27,Rhamondre Stevenson up the middle for 4 yards (tackle by Yetur Gross-Matos),0.410,0.230
4,10:21,3,1,NWE 29,13,27,Jacoby Brissett up the middle for 2 yards (tackle by Demetrius Flannigan-Fowles),0.230,1.000
4,9:46,1,10,NWE 31,13,27,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 8 yards (tackle by De'Vondre Campbell and Malik Mustapha),1.000,1.540
4,9:15,2,2,NWE 39,13,27,Jacoby Brissett sacked by Evan Anderson for -2 yards. Jacoby Brissett fumbles (forced by Evan Anderson) recovered by Jacoby Brissett at NE-37,1.540,0.560
4,8:30,3,4,NWE 37,13,27,Jacoby Brissett pass incomplete short right intended for K.J. Osborn,0.560,-0.910
4,8:26,4,4,NWE 37,13,27,Jacoby Brissett pass incomplete deep left intended for Ja'Lynn Polk (defended by Ji'Ayir Brown) Replay Assistant challenged the pass completion ruling and the play was upheld.,-0.910,-3.180
4,8:18,1,10,NWE 36,13,27,Jordan Mason left tackle for 3 yards (tackle by Davon Godchaux and Deatrich Wise),3.180,3.040
4,7:35,2,7,NWE 33,13,27,Jordan Mason right end for 6 yards (tackle by Jaylinn Hawkins and Marco Wilson),3.040,3.140
4,6:56,3,1,NWE 27,13,27,Brock Purdy up the middle for no gain (tackle by Eric Johnson). Penalty on Raekwon McMillan: Defensive Too Many Men on Field 5 yards (accepted) (no play),3.140,4.110
4,6:37,1,10,NWE 22,13,27,Jordan Mason left tackle for no gain (tackle by Jabrill Peppers),4.110,3.560
4,5:52,2,10,NWE 22,13,27,Jordan Mason left tackle for -1 yards (tackle by Keion White and Deatrich Wise),3.560,2.740
4,5:07,3,11,NWE 23,13,27,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,2.740,1.930
4,5:02,4,11,NWE 23,13,30,Jake Moody 41 yard field goal good,1.930,3.000
4,4:58,,,SFO 35,13,30,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,4:58,1,10,NWE 30,13,30,Jacoby Brissett pass complete short left to Demario Douglas for 2 yards (tackle by Nick Bosa),0.940,0.660
4,4:33,2,8,NWE 32,13,30,Jacoby Brissett pass complete short left to Antonio Gibson for 50 yards (tackle by Ji'Ayir Brown),0.660,4.370
4,3:59,1,10,SFO 18,13,30,Antonio Gibson up the middle for 3 yards (tackle by Nick Bosa and Demetrius Flannigan-Fowles),4.370,4.250
