Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA
4,6:13,3,3,PIT 14,17,24,Trey Sermon up the middle for -2 yards (tackle by Patrick Queen and Nick Herbig),4.020,2.430
4,6:06,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,6:06,4,5,PIT 16,17,27,Matt Gay 35 yard field goal good,2.430,3.000
4,6:03,,,IND 35,17,27,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,6:03,1,10,PIT 30,17,27,Justin Fields pass incomplete short left intended for Najee Harris (defended by Laiatu Latu),0.940,0.390
4,5:57,2,10,PIT 30,17,27,Justin Fields up the middle for 8 yards (tackle by Nick Cross),0.390,0.760
4,5:14,3,2,PIT 38,17,27,Justin Fields pass complete deep left to George Pickens for 37 yards (tackle by Jaylon Jones),0.760,3.910
4,4:46,1,10,IND 25,17,27,Justin Fields pass complete short right to Van Jefferson for 12 yards (tackle by Chris Lammons),3.910,4.710
4,4:21,1,10,IND 13,17,27,Najee Harris up the middle for 5 yards (tackle by Taven Bryan and Zaire Franklin),4.710,4.960
4,3:53,2,5,IND 8,17,27,Justin Fields pass incomplete short left intended for George Pickens,4.960,4.100
4,3:45,3,5,IND 8,23,27,Justin Fields pass complete short left to Pat Freiermuth for 8 yards touchdown,4.100,7.000
4,3:40,,,IND 15,24,27,Chris Boswell kicks extra point good,0.000,0.000
4,3:40,,,PIT 35,24,27,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,3:40,1,10,IND 30,24,27,Trey Sermon left tackle for 3 yards (tackle by Payton Wilson),0.940,0.800
4,2:59,2,7,IND 33,24,27,Joe Flacco sacked by and Larry Ogunjobi for -8 yards and Cameron Heyward for -8 yards,0.800,-0.960
4,2:52,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,2:52,3,15,IND 25,24,27,Joe Flacco pass incomplete short right intended for Adonai Mitchell,-0.960,-1.700
4,2:46,4,15,IND 25,24,27,Rigoberto Sanchez punts 58 yards fair catch by Calvin Austin at PIT-17,-1.700,0.060
4,2:39,1,10,PIT 17,24,27,Justin Fields right tackle for 12 yards (tackle by Nick Cross),-0.060,0.870
4,2:12,1,10,PIT 29,24,27,Justin Fields pass complete short left to Van Jefferson for 9 yards (tackle by Zaire Franklin),0.870,1.540
4,2:00,2,1,PIT 38,24,27,Najee Harris up the middle for 4 yards (tackle by E.J. Speed),1.540,1.730
4,1:36,1,10,PIT 42,24,27,Justin Fields aborted snap recovered by Justin Fields at PIT-30 and returned for -12 yards (tackle by E.J. Speed),1.730,-0.370
4,1:11,2,21,PIT 30,24,27,Justin Fields pass incomplete deep left intended for George Pickens (defended by Jaylon Jones),-0.370,-1.020
4,1:07,3,21,PIT 30,24,27,Justin Fields pass complete short left to Najee Harris for 11 yards (tackle by E.J. Speed),-1.020,-0.650
4,0:42,4,10,PIT 41,24,27,Justin Fields pass incomplete short right intended for Van Jefferson,-0.650,-2.850
4,0:29,1,10,PIT 41,24,27,Joe Flacco kneels for -1 yards,2.850,2.170
