Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
4,8:06,2,6,JAX 30,17,22,Aaron Rodgers pass incomplete deep right intended for Davante Adams (defended by Ventrell Miller) (defended by Jarrian Jones),3.310,2.610
4,7:58,3,6,JAX 30,17,22,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Andre Cisco),2.610,1.430
4,7:52,4,6,JAX 30,17,22,Anders Carlson 48 yard field goal no good,1.430,-1.470
4,7:47,1,10,JAX 38,17,22,Travis Etienne up the middle for 5 yards (tackle by Jamien Sherwood),1.470,1.600
4,7:12,2,5,JAX 43,17,22,Mac Jones pass complete short middle to Brenton Strange for 6 yards (tackle by Tony Adams),1.600,2.190
4,6:36,1,10,JAX 49,17,22,Travis Etienne up the middle for 1 yard (tackle by Jamien Sherwood),2.190,1.780
4,6:00,2,9,NYJ 50,17,22,Mac Jones sacked by Solomon Thomas for -2 yards,1.780,0.830
4,5:13,3,11,JAX 48,17,22,Mac Jones pass complete short right to Brian Thomas for 6 yards (tackle by Tony Adams and Isaiah Oliver),0.830,0.200
4,4:20,4,5,NYJ 46,17,22,Logan Cooke punts 37 yards downed by Daniel Thomas,0.200,0.320
4,4:19,1,10,NYJ 13,17,22,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Tyson Campbell),-0.320,-0.300
4,3:47,2,6,NYJ 17,17,22,Aaron Rodgers pass complete short left to Jeremy Ruckert for 12 yards (tackle by Antonio Johnson),-0.300,0.870
4,3:38,1,10,NYJ 29,17,22,Aaron Rodgers pass incomplete short left intended for Jeremy Ruckert,0.870,0.330
4,3:34,2,10,NYJ 29,23,22,Aaron Rodgers pass complete deep middle to Davante Adams for 71 yards touchdown,0.330,7.000
4,3:24,,,JAX 2,25,22,Two Point Attempt: Aaron Rodgers pass complete to to Davante Adams for no gain,1.000,1.000
4,3:24,,,NYJ 35,25,22,Anders Carlson kicks off 66 yards returned by Devin Duvernay for 29 yards (tackle by Eric Watts). Penalty on Eric Watts: Illegal Formation 5 yards (accepted),0.000,1.140
