Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
4,13:14,2,6,NWE 16,3,16,Kyler Murray pass complete short left to James Conner for 3 yards (tackle by Christian Gonzalez),4.280,4.100
4,12:45,3,3,NWE 13,3,16,Kyler Murray pass complete short left to James Conner for 12 yards (tackle by Kyle Dugger and Daniel Ekuale),4.100,6.970
4,12:04,1,1,NWE 1,3,16,James Conner up the middle for no gain (tackle by Anfernee Jennings and Eric Johnson),6.970,5.910
4,11:22,2,1,NWE 1,3,16,Kyler Murray pass complete short middle to Trey McBride for no gain (tackle by Christian Elliss and Davon Godchaux),5.910,5.170
4,10:42,3,1,NWE 1,3,22,James Conner up the middle for 1 yard touchdown,5.170,7.000
4,10:39,,,NWE 15,3,23,Chad Ryland kicks extra point good,0.000,0.000
4,10:39,,,ARI 35,3,23,Chad Ryland kicks off 68 yards returned by Antonio Gibson for 28 yards (tackle by Krys Barnes),0.000,0.610
4,10:32,1,10,NWE 25,3,23,Rhamondre Stevenson right tackle for 12 yards (tackle by Budda Baker and Starling Thomas),0.610,1.400
4,10:09,1,10,NWE 37,3,23,Drake Maye pass complete short left to Kayshon Boutte for 16 yards (tackle by Jalen Thompson and Sean Murphy-Bunting),1.400,2.460
4,9:49,1,10,ARI 47,3,23,Rhamondre Stevenson up the middle for 4 yards (tackle by Krys Barnes and Naquan Jones),2.460,2.450
4,9:28,2,6,ARI 43,3,23,Drake Maye pass complete deep right to Kendrick Bourne for 37 yards (tackle by Starling Thomas),2.450,5.830
4,9:03,1,6,ARI 6,3,23,Rhamondre Stevenson right tackle for 3 yards (tackle by Xavier Thomas and Budda Baker),5.830,5.530
4,8:22,2,3,ARI 3,9,23,Drake Maye pass complete short left to Demario Douglas for 3 yards touchdown,5.530,7.000
4,8:14,,,ARI 15,10,23,Joey Slye kicks extra point good,0.000,0.000
4,8:14,,,NWE 35,10,23,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,8:14,1,10,ARI 30,10,23,Kyler Murray scrambles right end for 1 yard (tackle by Anfernee Jennings),0.940,0.530
4,7:41,2,9,ARI 31,10,23,Trey Benson right tackle for 5 yards (tackle by Anfernee Jennings),0.530,0.500
4,6:59,3,4,ARI 36,10,23,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Kyle Dugger),0.500,1.930
4,6:15,1,10,ARI 45,10,23,James Conner up the middle for 1 yard (tackle by Jahlani Tavai),1.930,1.520
4,5:37,2,9,ARI 46,10,23,Kyler Murray pass complete short left to Elijah Higgins for 5 yards (tackle by Kyle Dugger),1.520,1.490
4,5:12,3,4,NWE 49,10,23,Kyler Murray pass complete short right to Trey McBride for 26 yards (tackle by Jabrill Peppers and Sione Takitaki),1.490,4.040
4,4:23,1,10,NWE 23,10,23,James Conner up the middle for 5 yards (tackle by Jahlani Tavai),4.040,4.210
4,4:15,,,,,,Timeout #2 by New England Patriots,,
4,4:15,2,5,NWE 18,10,23,James Conner left end for 17 yards (tackle by Jonathan Jones),4.210,6.970
4,3:29,1,1,NWE 1,10,29,James Conner up the middle for 1 yard touchdown,6.970,7.000
4,3:27,,,NWE 15,10,30,Chad Ryland kicks extra point good,0.000,0.000
4,3:27,,,ARI 35,10,30,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
4,3:27,1,10,NWE 30,10,30,Drake Maye pass complete short right to Austin Hooper for 7 yards (tackle by Budda Baker and Kyzir White),0.940,1.340
4,3:09,2,3,NWE 37,10,30,Drake Maye pass complete short right to Antonio Gibson for 20 yards (tackle by Dadrion Taylor-Demerson),1.340,2.720
4,2:57,1,10,ARI 43,10,30,Drake Maye pass complete short right to Antonio Gibson for 11 yards (tackle by Budda Baker),2.720,3.450
4,2:34,1,10,ARI 32,10,30,Antonio Gibson up the middle for 1 yard (tackle by Darius Robinson and Dadrion Taylor-Demerson),3.450,3.040
4,2:10,2,9,ARI 31,10,30,Drake Maye pass complete short right to Austin Hooper for 26 yards (tackle by Kyzir White),3.040,6.060
4,2:00,1,5,ARI 5,16,30,Drake Maye scrambles right end for 5 yards touchdown,6.060,7.000
4,1:55,,,ARI 15,17,30,Joey Slye kicks extra point good,0.000,0.000
4,1:55,,,NWE 35,17,30,Joey Slye kicks onside 9 yards returned by Joey Blount for no gain,0.000,2.980
4,1:55,1,10,NWE 39,17,30,DeeJay Dallas up the middle for 5 yards (tackle by Jahlani Tavai),2.980,3.120
4,1:48,,,,,,Timeout #3 by New England Patriots,,
4,1:48,2,5,NWE 34,17,30,DeeJay Dallas up the middle for no gain (tackle by Anfernee Jennings and Eric Johnson),3.120,2.410
4,0:55,3,5,NWE 34,17,30,DeeJay Dallas up the middle for 7 yards (tackle by Jabrill Peppers),2.410,3.780
4,0:18,1,10,NWE 27,17,30,Clayton Tune kneels for -1 yards,3.780,3.100
