Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
3,7:27,1,10,NOR 41,17,0,Alvin Kamara right tackle for 4 yards (tackle by Jer'Zhan Newton),1.660,1.660
3,6:43,2,6,NOR 45,17,0,Penalty on Erik McCoy: False Start 5 yards (accepted) (no play),1.660,0.990
3,6:35,2,11,NOR 40,17,0,Spencer Rattler pass complete deep middle to Marquez Valdes-Scantling for 39 yards (tackle by Jeremy Chinn),0.990,4.170
3,5:53,1,10,WAS 21,17,6,Cedrick Wilson pass complete deep right to Alvin Kamara for 21 yards touchdown,4.170,7.000
3,5:45,,,WAS 15,17,7,Blake Grupe kicks extra point good,0.000,0.000
3,5:45,,,NOR 35,17,7,Blake Grupe kicks off 56 yards returned by Luke McCaffrey for 23 yards (tackle by Jordan Howden and Shemar Jean-Charles),0.000,1.070
3,5:38,1,10,WAS 32,17,7,Brian Robinson left end for -1 yards (tackle by Demario Davis),1.070,0.390
3,4:47,2,11,WAS 31,17,7,Jayden Daniels pass complete deep left to Terry McLaurin for 25 yards (tackle by Tyrann Mathieu),0.390,2.650
3,4:14,1,10,NOR 44,17,7,Brian Robinson left end for no gain (tackle by Bryan Bresee and Cameron Jordan),2.650,2.110
3,3:39,2,10,NOR 44,17,7,Brian Robinson up the middle for -4 yards (tackle by Demario Davis),2.110,0.890
3,3:00,3,14,NOR 48,17,7,Jayden Daniels scrambles up the middle for 24 yards (tackle by Alontae Taylor and Kool-Aid McKinstry),0.890,3.970
3,2:16,1,10,NOR 24,17,7,Brian Robinson left guard for 1 yard (tackle by John Ridgeway),3.970,3.570
3,1:39,2,9,NOR 23,17,7,Penalty on Brandon Coleman: False Start 5 yards (accepted) (no play),3.570,2.890
3,1:22,2,14,NOR 28,17,7,Jayden Daniels sacked by Chase Young for -5 yards,2.890,1.550
3,0:38,3,19,NOR 33,17,7,Jayden Daniels pass complete short middle to Jamison Crowder for 10 yards (tackle by Ugo Amadi),1.550,1.930
4,15:00,4,9,NOR 23,20,7,Greg Joseph 41 yard field goal good,1.930,3.000
4,14:56,,,WAS 35,20,7,Greg Joseph kicks off 62 yards returned by Kendre Miller for 23 yards (tackle by Mykal Walker),0.000,0.670
4,14:47,1,10,NOR 26,20,7,Kendre Miller left guard for no gain (tackle by Daron Payne and Sheldon Day),0.670,0.130
4,14:10,2,10,NOR 26,20,7,Spencer Rattler pass incomplete short left intended for Kevin Austin,0.130,-0.560
4,13:59,3,10,NOR 26,20,7,Spencer Rattler sacked by Dorance Armstrong for no gain. Penalty on Benjamin St-Juste: Illegal Use of Hands / Defense 5 yards (accepted) (no play),-0.560,1.000
4,13:48,1,10,NOR 31,20,7,Kendre Miller left end for 8 yards (tackle by Jeremy Chinn),1.000,1.540
4,13:18,2,2,NOR 39,20,7,Spencer Rattler pass complete short right to Foster Moreau for 12 yards (tackle by Darrick Forrest),1.540,2.320
4,12:41,1,10,WAS 49,20,7,Kendre Miller left tackle for 17 yards (tackle by Quan Martin and Jeremy Chinn),2.320,3.450
4,12:05,1,10,WAS 32,20,7,Spencer Rattler pass incomplete short left intended for Marquez Valdes-Scantling. Penalty on Dante Fowler: Roughing the Passer 15 yards (accepted) (no play),3.450,4.440
4,12:01,1,10,WAS 17,20,7,Kendre Miller right end for -6 yards (tackle by Dante Fowler),4.440,3.080
4,11:21,2,16,WAS 23,20,7,Spencer Rattler pass incomplete short right intended for Marquez Valdes-Scantling (defended by Jer'Zhan Newton),3.080,2.410
4,11:17,3,16,WAS 23,20,7,Spencer Rattler pass incomplete short right intended for Marquez Valdes-Scantling (defended by Daron Payne),2.410,1.930
4,11:13,4,16,WAS 23,20,10,Blake Grupe 41 yard field goal good,1.930,3.000
4,11:09,,,NOR 35,20,10,Blake Grupe kicks off 62 yards returned by Luke McCaffrey for 34 yards (tackle by Jaylan Ford and Shemar Jean-Charles),0.000,1.400
4,11:02,1,10,WAS 37,20,10,Jayden Daniels pass complete short left to Brian Robinson for 9 yards (tackle by Khalen Saunders and Pete Werner),1.400,2.070
4,10:18,2,1,WAS 46,20,10,Brian Robinson left guard for 2 yards (tackle by Pete Werner and Carl Granderson),2.070,2.130
4,9:45,1,10,WAS 48,20,10,Jayden Daniels pass incomplete deep middle intended for Terry McLaurin,2.130,1.580
4,9:40,2,10,WAS 48,20,10,Chris Rodriguez right tackle for 2 yards (tackle by Demario Davis),1.580,1.160
4,9:04,3,8,WAS 50,20,10,Jayden Daniels sacked by Carl Granderson for -3 yards,1.160,-0.260
4,8:06,4,11,WAS 47,20,10,Tress Way punts 37 yards returned by Dante Pettis for no gain (tackle by Ben Sinnott). Penalty on Rico Payton: Offensive Holding 8 yards (accepted),-0.260,0.380
4,8:06,1,10,NOR 8,20,10,Spencer Rattler pass incomplete deep right,-0.380,-0.780
4,8:02,2,10,NOR 8,20,10,Spencer Rattler pass complete short left to Foster Moreau for 19 yards (tackle by Quan Martin and Bobby Wagner). Penalty on Dante Fowler: Roughing the Passer 15 yards (accepted),-0.780,1.730
4,7:42,1,10,NOR 42,20,10,Spencer Rattler pass complete deep right to Marquez Valdes-Scantling for 25 yards (tackle by Jeremy Chinn and Darrick Forrest),1.730,3.380
4,7:15,1,10,WAS 33,20,10,Spencer Rattler pass incomplete short left intended for Kendre Miller,3.380,2.840
4,7:13,2,10,WAS 33,20,10,Spencer Rattler pass incomplete short middle intended for Juwan Johnson (defended by Frankie Luvu),2.840,2.150
4,7:08,3,10,WAS 33,20,10,Spencer Rattler pass incomplete deep right intended for Dante Pettis,2.150,1.150
4,7:02,4,10,WAS 33,20,13,Blake Grupe 51 yard field goal good,1.150,3.000
4,6:57,,,NOR 35,20,13,Blake Grupe kicks off 58 yards returned by Jeremy McNichols for 29 yards (tackle by Isaiah Foskey and Shemar Jean-Charles),0.000,1.330
4,6:51,1,10,WAS 36,20,13,Jayden Daniels pass complete short middle to Dyami Brown for 2 yards (tackle by Payton Turner and Will Harris),1.330,1.060
4,6:19,2,8,WAS 38,20,13,Jayden Daniels pass incomplete deep right intended for Terry McLaurin,1.060,0.370
4,6:13,,,,,,Timeout #1 by Washington Commanders,,
4,6:13,3,8,WAS 38,20,13,Jayden Daniels pass complete short left to Ben Sinnott for 7 yards (tackle by Kool-Aid McKinstry),0.370,-0.390
4,5:40,4,1,WAS 45,20,13,Jayden Daniels right guard for 1 yard (tackle by Nathan Shepherd),-0.390,1.990
4,5:02,1,10,WAS 46,20,13,Jayden Daniels pass incomplete short right intended for Terry McLaurin (defended by Shemar Jean-Charles),1.990,1.450
4,4:55,2,10,WAS 46,20,13,Brian Robinson left tackle for 7 yards (tackle by Khalen Saunders and Tyrann Mathieu),1.450,1.690
4,4:14,3,3,NOR 47,20,13,Jayden Daniels pass complete short middle to John Bates for 6 yards (tackle by Jordan Howden),1.690,2.850
4,3:28,1,10,NOR 41,20,13,Brian Robinson right tackle for -2 yards (tackle by John Ridgeway),2.850,2.040
4,2:48,2,12,NOR 43,20,13,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 13 yards (tackle by Will Harris),2.040,3.580
4,2:36,,,,,,Timeout #1 by New Orleans Saints,,
4,2:36,1,10,NOR 30,20,13,Brian Robinson left tackle for -3 yards (tackle by Will Harris),3.580,2.630
4,2:27,,,,,,Timeout #2 by New Orleans Saints,,
4,2:27,2,13,NOR 33,20,13,Jayden Daniels pass complete deep left to Dyami Brown for 23 yards (tackle by Alontae Taylor). Penalty on Nick Allegretti: Offensive Holding 10 yards (accepted) (no play),2.630,1.280
4,2:19,2,23,NOR 43,20,13,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,1.280,0.630
4,2:17,3,23,NOR 43,20,13,Brian Robinson right guard for 7 yards (tackle by Bryan Bresee),0.630,0.880
4,2:00,4,16,NOR 36,20,13,Greg Joseph 54 yard field goal no good,0.880,-1.860
4,1:55,1,10,NOR 44,20,13,Kendre Miller right guard for 12 yards (tackle by Bobby Wagner),1.860,2.650
4,1:36,1,10,WAS 44,20,13,Spencer Rattler pass incomplete short right intended for Juwan Johnson Replay Assistant challenged the pass completion ruling and the original play was overturned. Spencer Rattler pass complete short right to Juwan Johnson for 3 yards (tackle by Darrick Forrest),2.650,2.520
4,1:22,2,7,WAS 41,20,13,Kendre Miller right guard for 6 yards (tackle by Bobby Wagner and Mike Sainristil),2.520,2.610
4,1:03,3,1,WAS 35,20,13,Spencer Rattler pass complete short right to Kevin Austin for 8 yards (tackle by Mike Sainristil),2.610,3.780
4,1:00,1,10,WAS 27,20,13,Kendre Miller left tackle for 12 yards (tackle by Dorance Armstrong and Darrick Forrest),3.780,4.580
4,0:40,1,10,WAS 15,20,13,Kendre Miller left guard for -2 yards (tackle by Dorance Armstrong),4.580,3.680
4,0:38,,,,,,Timeout #3 by New Orleans Saints,,
4,0:38,2,12,WAS 17,20,13,Spencer Rattler pass complete short middle to Juwan Johnson for 9 yards (tackle by Darrick Forrest),3.680,4.450
4,0:22,3,3,WAS 8,20,13,Spencer Rattler pass incomplete short left intended for Dante Pettis,4.450,2.980
4,0:17,4,3,WAS 8,20,13,Spencer Rattler pass complete short right to Foster Moreau for 7 yards (tackle by Noah Igbinoghene and Mike Sainristil),2.980,6.970
4,0:05,1,1,WAS 1,20,13,Spencer Rattler spiked the ball,6.970,5.910
4,0:03,2,1,WAS 1,20,19,Spencer Rattler pass complete short right to Foster Moreau for 1 yard touchdown,5.910,7.000
4,0:00,,,,,,Timeout #2 by Washington Commanders,,
4,0:00,,,WAS 2,20,19,Two Point Attempt: Spencer Rattler pass incomplete intended for intended for Juwan Johnson,1.000,-1.000
