Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
3,4:46,4,21,CAR 20,24,7,Johnny Hekker punts 53 yards downed by Feleipe Franks,-2.030,-0.740
3,4:33,1,10,DAL 27,24,7,Ezekiel Elliott right end for 3 yards (tackle by Josey Jewell and Claudin Cherelus),0.740,0.600
3,3:51,2,7,DAL 30,24,7,Cooper Rush pass complete short left to Ezekiel Elliott for 11 yards (tackle by Claudin Cherelus),0.600,1.660
3,3:05,1,10,DAL 41,24,7,Rico Dowdle up the middle for 4 yards (tackle by Jordan Fuller and DJ Johnson) Replay Assistant challenged the runner was down by contact ruling and the play was upheld.,1.660,1.660
3,2:18,2,6,DAL 45,24,7,Cooper Rush pass complete short middle to Brandin Cooks for 12 yards (tackle by Claudin Cherelus),1.660,2.720
3,1:40,1,10,CAR 43,24,7,Rico Dowdle right end for 12 yards (tackle by Xavier Woods),2.720,3.510
3,0:57,1,10,CAR 31,24,7,KaVontae Turpin right end for 11 yards (tackle by Jordan Fuller and Xavier Woods),3.510,4.240
3,0:13,1,10,CAR 20,24,7,Penalty on T.J. Bass: False Start 5 yards (accepted) (no play),4.240,3.910
4,15:00,1,15,CAR 25,24,7,Cooper Rush pass incomplete deep left intended for CeeDee Lamb,3.910,3.020
4,14:55,2,15,CAR 25,24,7,Penalty on DAL: Offensive Too Many Men on Field 5 yards (accepted) (no play),3.020,2.340
4,14:55,2,20,CAR 30,24,7,Rico Dowdle up the middle for 3 yards (tackle by Jadeveon Clowney),2.340,2.080
4,14:18,3,17,CAR 27,24,7,Cooper Rush pass incomplete short left intended for KaVontae Turpin (defended by D.J. Wonnum),2.080,1.670
4,14:16,4,17,CAR 27,27,7,Brandon Aubrey 45 yard field goal good,1.670,3.000
4,14:12,,,DAL 35,27,7,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,14:12,1,10,CAR 30,27,7,Bryce Young pass complete short right to Tommy Tremble for 7 yards (tackle by Malik Hooker),0.940,1.340
4,13:44,2,3,CAR 37,27,7,Chuba Hubbard up the middle for 8 yards (tackle by Eric Kendricks),1.340,1.930
4,13:20,1,10,CAR 45,27,7,Bryce Young pass complete short right to Chuba Hubbard for 1 yard (tackle by Chauncey Golston),1.930,1.520
4,12:47,2,9,CAR 46,27,7,Bryce Young pass incomplete short right intended for Jalen Coker,1.520,0.830
4,12:37,3,9,CAR 46,27,7,Chuba Hubbard up the middle for 2 yards (tackle by Osa Odighizuwa),0.830,-0.190
4,12:01,4,7,CAR 48,27,7,Bryce Young pass complete short middle to Adam Thielen for 18 yards (tackle by Andrew Booth),-0.190,3.310
4,11:32,1,10,DAL 34,27,7,Bryce Young pass complete short right to Jalen Coker for 8 yards (tackle by Marist Liufau and Andrew Booth),3.310,3.850
4,10:58,2,2,DAL 26,27,7,Penalty on Micah Parsons: Neutral Zone Infraction 5 yards (accepted) (no play),3.850,4.170
4,10:47,1,10,DAL 21,27,7,Bryce Young pass complete short right to David Moore for 3 yards (tackle by Andrew Booth),4.170,4.040
4,10:14,2,7,DAL 18,27,7,Bryce Young pass incomplete short left,4.040,3.310
4,10:03,3,7,DAL 18,27,7,Penalty on Adam Thielen: False Start 5 yards (accepted) (no play),3.310,2.680
4,10:03,3,12,DAL 23,27,7,Bryce Young sacked by Micah Parsons for -2 yards,2.680,1.800
4,9:34,,,,,,Timeout #1 by Dallas Cowboys,,
