Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA
3,1:36,,,TAM 35,30,17,Jack Browning kicks off 61 yards returned by Derius Davis for 29 yards (tackle by Ryan Miller),0.000,1.140
3,1:30,1,10,LAC 33,30,17,Gus Edwards right end for 1 yard (tackle by Anthony Nelson and Lavonte David),1.140,0.730
3,0:51,2,9,LAC 34,30,17,Justin Herbert pass complete short middle to Ladd McConkey for 11 yards (tackle by Lavonte David),0.730,1.930
3,0:25,1,10,LAC 45,30,17,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Zyon McCollum),1.930,2.060
4,15:00,2,5,LAC 50,30,17,Justin Herbert pass complete short right to Quentin Johnston for 12 yards (tackle by Lavonte David),2.060,3.050
4,14:35,1,10,TAM 38,30,17,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Jamel Dean),3.050,2.510
4,14:29,2,10,TAM 38,30,17,Justin Herbert pass complete short middle to Stone Smartt for 4 yards (tackle by Joe Tryon-Shoyinka),2.510,2.340
4,13:46,3,6,TAM 34,30,17,Justin Herbert pass incomplete short left intended for Ladd McConkey,2.340,1.070
4,13:41,4,6,TAM 34,30,17,Justin Herbert pass incomplete short left intended for Ladd McConkey,1.070,-1.200
4,13:38,1,10,TAM 34,30,17,Rachaad White right guard for 5 yards (tackle by Daiyan Henley),1.200,1.330
4,12:56,2,5,TAM 39,30,17,Rachaad White left guard for 2 yards (tackle by Daiyan Henley and Junior Colson),1.330,0.890
4,12:10,3,3,TAM 41,30,17,Baker Mayfield pass complete short right to Mike Evans for 23 yards (tackle by Tarheeb Still),0.890,3.180
4,11:27,1,10,LAC 36,30,17,Rachaad White up the middle for 4 yards (tackle by Junior Colson),3.180,3.180
4,10:47,2,6,LAC 32,30,17,Bucky Irving left end for 3 yards (tackle by Derwin James),3.180,2.870
4,10:00,3,3,LAC 29,30,17,Rachaad White left tackle for 5 yards (tackle by Elijah Molden),2.870,3.970
4,9:13,1,10,LAC 24,30,17,Bucky Irving left guard for no gain (tackle by Derwin James and Otito Ogbonnia),3.970,3.430
4,8:29,2,10,LAC 24,30,17,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by Tony Jefferson and Marcus Maye),3.430,4.840
4,7:43,1,10,LAC 11,36,17,Baker Mayfield pass complete short right to Rachaad White for 11 yards touchdown,4.840,7.000
4,7:37,,,LAC 15,37,17,Chase McLaughlin kicks extra point good,0.000,0.000
4,7:37,,,TAM 35,37,17,Jack Browning kicks off 59 yards returned by Derius Davis for 24 yards (tackle by Josh Hayes and Chris Braswell),0.000,0.940
4,7:32,1,10,LAC 30,37,17,Justin Herbert pass incomplete deep left intended for Ladd McConkey. Penalty on Tykee Smith: Defensive Pass Interference 18 yards (accepted) (no play),0.940,2.130
4,7:26,1,10,LAC 48,37,17,Justin Herbert sacked by and Lavonte David for -9 yards and Logan Hall for -9 yards,2.130,0.370
4,6:57,2,19,LAC 39,37,17,Justin Herbert pass complete short right to DJ Chark for 12 yards,0.370,1.290
4,6:19,3,7,TAM 49,37,17,Justin Herbert pass incomplete deep right intended for Quentin Johnston,1.290,0.000
4,6:15,4,7,TAM 49,37,17,Justin Herbert pass complete short middle to DJ Chark for 4 yards (tackle by Joe Tryon-Shoyinka),0.000,-1.930
4,6:11,1,10,TAM 45,37,17,Rachaad White left end for 9 yards (tackle by Kristian Fulton and Junior Colson),1.930,2.600
4,5:30,2,1,LAC 46,37,17,Rachaad White up the middle for 8 yards (tackle by Tony Jefferson),2.600,3.050
4,4:48,1,10,LAC 38,37,17,Rachaad White right guard for 7 yards (tackle by Tony Jefferson),3.050,3.450
4,4:04,2,3,LAC 31,37,17,Rachaad White left end for -1 yards (tackle by Derwin James),3.450,2.610
4,3:55,3,4,LAC 32,37,17,Sean Tucker left guard for 4 yards (tackle by Junior Colson),2.610,3.710
4,3:50,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:50,1,10,LAC 28,37,17,Sean Tucker right end for no gain (tackle by Daiyan Henley and Tarheeb Still),3.710,3.170
4,3:44,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:44,2,10,LAC 28,37,17,Sean Tucker right guard for 2 yards (tackle by Otito Ogbonnia),3.170,2.740
4,3:40,,,,,,Timeout #3 by Los Angeles Chargers,,
4,3:40,3,8,LAC 26,37,17,Baker Mayfield pass complete short left to Ryan Miller for 1 yard (tackle by Junior Colson),2.740,1.800
4,2:55,4,7,LAC 25,40,17,Chase McLaughlin 43 yard field goal good,1.800,3.000
4,2:51,,,TAM 35,40,17,Jack Browning kicks off 58 yards returned by Derius Davis for 29 yards. Derius Davis fumbles (forced by Vi Jones) recovered by Shaquille Quarterman at LAC-37,0.000,1.070
4,2:46,1,10,LAC 32,40,17,Taylor Heinicke pass complete short left to Stone Smartt for 4 yards. Stone Smartt fumbles (forced by Vi Jones) recovered by Kaevon Merriweather at LAC-38 and returned for 1 yard (tackle by Bradley Bozeman),1.070,-3.120
4,2:37,1,10,LAC 37,40,17,Sean Tucker up the middle for 2 yards (tackle by Daiyan Henley),3.120,2.840
4,2:00,2,8,LAC 35,40,17,Sean Tucker right guard for 2 yards (tackle by Otito Ogbonnia and Bud Dupree),2.840,2.410
4,1:17,3,6,LAC 33,40,17,Sean Tucker right tackle for 3 yards (tackle by Junior Colson and Troy Dye),2.410,1.480
4,0:31,4,3,LAC 30,40,17,Sean Tucker right guard for 4 yards (tackle by Teair Tart),1.480,3.310
