Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA
3,4:26,4,5,ATL 34,12,3,Bradley Pinion punts 63 yards downed by Antonio Hamilton,-1.110,0.380
3,4:15,1,10,LVR 3,12,3,Alexander Mattison up the middle for no gain (tackle by Zach Harrison and Nathan Landman),-0.380,-0.780
3,3:35,2,10,LVR 3,12,3,Desmond Ridder pass complete short middle to Alexander Mattison for 4 yards (tackle by Kaden Elliss and Nathan Landman),-0.780,-0.950
3,2:52,3,6,LVR 7,12,3,Alexander Mattison left end for 4 yards (tackle by AJ Terrell),-0.950,-2.490
3,2:06,4,2,LVR 11,12,3,AJ Cole punts 37 yards out of bounds,-2.490,-2.390
3,2:00,1,10,LVR 48,12,3,Bijan Robinson right end for 6 yards (tackle by Tyree Wilson and Zachary Carter),2.390,2.660
3,1:23,2,4,LVR 42,12,3,Kirk Cousins pass incomplete short left,2.660,1.950
3,1:18,3,4,LVR 42,12,3,Kirk Cousins pass complete short right to Drake London for 5 yards,1.950,3.120
3,0:40,1,10,LVR 37,12,3,Bijan Robinson left tackle for 2 yards (tackle by Jonah Laulu),3.120,2.840
4,15:00,2,8,LVR 35,12,3,Penalty on Ross Dwelley: False Start 5 yards (accepted) (no play),2.840,2.170
4,15:00,2,13,LVR 40,12,3,Kirk Cousins sacked by Tyree Wilson for -1 yards,2.170,1.360
4,14:16,3,14,LVR 41,12,3,Kirk Cousins pass complete short middle to Kyle Pitts for 11 yards (tackle by Thomas Harper),1.360,1.480
4,13:31,4,3,LVR 30,15,3,Younghoe Koo 48 yard field goal good,1.480,3.000
4,13:26,,,ATL 35,15,3,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
4,13:26,1,10,LVR 30,15,3,Desmond Ridder pass complete short right to Michael Mayer for 11 yards (tackle by Lorenzo Carter),0.940,1.660
4,12:48,1,10,LVR 41,15,3,Desmond Ridder pass incomplete deep left intended for Jakobi Meyers (defended by Justin Simmons),1.660,1.120
4,12:42,2,10,LVR 41,15,3,Desmond Ridder pass incomplete short left intended for Alexander Mattison,1.120,0.430
4,12:37,3,10,LVR 41,15,3,Desmond Ridder pass incomplete short right intended for Alexander Mattison,0.430,-0.650
