Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
4,14:02,,,BUF 35,38,21,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,14:02,1,10,DET 30,38,21,Jared Goff pass complete short right to David Montgomery for 6 yards (tackle by Ed Oliver),0.940,1.200
4,13:58,2,4,DET 36,38,21,Jared Goff pass complete short right to Jahmyr Gibbs for 15 yards (tackle by Baylon Spector),1.200,2.320
4,13:18,1,10,BUF 49,38,21,Jared Goff pass complete deep middle to Sam LaPorta for 31 yards (tackle by Terrel Bernard),2.320,4.370
4,12:40,1,10,BUF 18,38,21,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Gregory Rousseau),4.370,4.810
4,12:09,2,4,BUF 12,38,27,Jared Goff pass complete short middle to Jahmyr Gibbs for 12 yards touchdown,4.810,7.000
4,12:00,,,BUF 15,38,28,Jake Bates kicks extra point good,0.000,0.000
4,12:00,,,DET 35,38,28,Jake Bates kicks onside 8 yards returned by Mack Hollins for 38 yards (tackle by Craig Reynolds),0.000,6.060
4,11:55,1,5,DET 5,44,28,Josh Allen pass complete short right to Ray Davis for 5 yards touchdown,6.060,7.000
4,11:51,,,DET 15,45,28,Tyler Bass kicks extra point good,0.000,0.000
4,11:51,,,BUF 35,45,28,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,11:51,1,10,DET 30,45,28,Jared Goff pass complete deep right to Jameson Williams for 16 yards (tackle by Christian Benford),0.940,1.990
4,11:23,1,10,DET 46,45,28,Jared Goff pass complete short middle to Sam LaPorta for 14 yards (tackle by Terrel Bernard and Kaiir Elam),1.990,2.920
4,10:57,1,10,BUF 40,45,28,Jared Goff pass complete short middle to Sam LaPorta for 11 yards (tackle by Gregory Rousseau and Taron Johnson),2.920,3.640
4,10:34,1,10,BUF 29,45,28,Jared Goff scrambles right end for 3 yards (tackle by Taron Johnson),3.640,3.510
4,9:57,2,7,BUF 26,45,28,Jared Goff pass incomplete short left intended for Allen Robinson (defended by Kaiir Elam),3.510,2.810
4,9:51,3,7,BUF 26,45,28,Jared Goff pass complete short left to Sam LaPorta for 10 yards (tackle by Cameron Lewis and Kareem Jackson),2.810,4.510
