Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
3,2:44,3,5,SEA 9,20,6,Penalty on Sean Rhyan: False Start 5 yards (accepted) (no play),4.050,3.110
3,2:32,3,10,SEA 14,20,6,Jordan Love pass complete short left to Christian Watson for 9 yards (tackle by Tyrice Knight),3.110,3.030
3,1:39,4,1,SEA 5,23,6,Brandon McManus 23 yard field goal good,3.030,3.000
3,1:36,,,GNB 35,23,6,Brandon McManus kicks off 65 yards returned by Jaelon Darden for 26 yards (tackle by Edgerrin Cooper),0.000,0.670
3,1:30,1,10,SEA 26,23,6,Sam Howell sacked by Kingsley Enagbare for -5 yards,0.670,-0.550
3,1:05,2,15,SEA 21,23,6,Sam Howell scrambles left end for 2 yards (tackle by Kingsley Enagbare),-0.550,-0.960
3,0:29,3,13,SEA 23,23,6,Sam Howell sacked by Kingsley Enagbare for -3 yards,-0.960,-2.030
4,15:00,4,16,SEA 20,23,6,Michael Dickson punts 47 yards returned by Jayden Reed for 10 yards (tackle by Julian Love),-2.030,-1.800
4,14:50,1,10,GNB 43,23,6,Josh Jacobs up the middle for 3 yards (tackle by Jarran Reed),1.800,1.660
4,14:13,2,7,GNB 46,23,6,Jordan Love pass complete short right to Josh Jacobs for 4 yards (tackle by Leonard Williams),1.660,1.490
4,13:33,3,3,SEA 50,23,6,Jordan Love pass incomplete short middle intended for Christian Watson,1.490,-0.060
4,13:27,4,3,SEA 50,23,6,Penalty on Jordan Love: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
4,13:27,4,8,GNB 45,23,6,Daniel Whelan punts 51 yards downed by Robert Rochell,-0.390,0.380
4,13:18,1,10,SEA 4,23,6,Sam Howell pass incomplete short right intended for Zach Charbonnet,-0.380,-0.780
4,13:15,2,10,SEA 4,23,6,Sam Howell pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Edgerrin Cooper),-0.780,-1.420
4,13:12,3,10,SEA 4,23,6,Sam Howell pass incomplete short middle intended for Zach Charbonnet,-1.420,-2.490
4,13:07,4,10,SEA 4,23,6,Michael Dickson punts 53 yards fair catch by Jayden Reed at GB-43,-2.490,-1.800
4,13:00,1,10,GNB 43,23,6,Jordan Love pass incomplete deep right intended for Romeo Doubs,1.800,1.250
4,12:53,2,10,GNB 43,23,6,Josh Jacobs left end for 6 yards. Josh Jacobs fumbles (forced by Ernest Jones) recovered by Julian Love at SEA-49 and returned for 6 yards (tackle by Josh Jacobs),1.250,-2.590
4,12:44,1,10,GNB 45,23,6,Sam Howell pass complete short right to AJ Barner for 5 yards (tackle by Eric Stokes),2.590,2.720
