Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
3,2:39,1,10,PIT 27,13,20,Jalen Hurts pass complete short middle to Saquon Barkley for 5 yards (tackle by Patrick Queen),3.780,3.910
3,2:08,2,5,PIT 22,13,20,Saquon Barkley left guard for 6 yards (tackle by Cameron Heyward and Minkah Fitzpatrick),3.910,4.510
3,1:29,1,10,PIT 16,13,20,Saquon Barkley left tackle for 1 yard (tackle by Cameron Heyward),4.510,4.050
3,0:47,2,9,PIT 15,13,20,Jalen Hurts pass incomplete short right,4.050,3.220
3,0:37,3,9,PIT 15,13,20,Jalen Hurts pass complete short left to Kenneth Gainwell for 14 yards (tackle by Payton Wilson and Damontae Kazee),3.220,6.970
4,15:00,1,1,PIT 1,13,20,Jalen Hurts up the middle for no gain (tackle by Preston Smith and Patrick Queen),6.970,5.910
4,14:20,2,1,PIT 1,13,26,Jalen Hurts up the middle for 1 yard touchdown,5.910,7.000
4,14:17,,,PIT 15,13,27,Jake Elliott kicks extra point good,0.000,0.000
4,14:17,,,PHI 35,13,27,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,14:17,1,10,PIT 30,13,27,Russell Wilson pass complete short left to Calvin Austin for 10 yards (tackle by Reed Blankenship),0.940,1.600
4,13:43,1,10,PIT 40,13,27,Russell Wilson pass complete short right to Calvin Austin for 6 yards (tackle by Darius Slay),1.600,1.860
4,13:12,2,4,PIT 46,13,27,Cordarrelle Patterson up the middle for 5 yards (tackle by Milton Williams and Nolan Smith),1.860,2.320
4,12:20,1,10,PHI 49,13,27,Cordarrelle Patterson right tackle for 4 yards (tackle by Zack Baun). Penalty on Zach Frazier: Tripping / Offense 15 yards (accepted),2.320,1.600
4,12:01,1,21,PIT 40,13,27,Russell Wilson pass incomplete short right intended for Pat Freiermuth (defended by Jalen Carter),1.600,0.300
4,11:56,2,21,PIT 40,13,27,Russell Wilson pass complete short left to Cordarrelle Patterson for -1 yards (tackle by Nolan Smith and Reed Blankenship),0.300,-0.490
4,11:16,3,22,PIT 39,13,27,Russell Wilson pass complete short middle to Mike Williams for 15 yards (tackle by Quinyon Mitchell),-0.490,-0.320
4,10:29,4,7,PIT 46,13,27,Corliss Waitman punts 40 yards downed by Ben Skowronek. Penalty on Jalen Carter: Unnecessary Roughness / Defense 3 yards (accepted),-0.320,0.380
4,10:29,1,10,PHI 3,13,27,Penalty on A.J. Brown: False Start 1 yard (accepted) (no play),-0.380,-0.420
4,10:29,1,11,PHI 2,13,27,Jalen Hurts pass incomplete short left intended for A.J. Brown,-0.420,-0.850
4,10:25,2,11,PHI 2,13,27,Saquon Barkley left guard for 5 yards (tackle by Alex Highsmith),-0.850,-0.950
4,9:48,3,6,PHI 7,13,27,Jalen Hurts pass complete short left to A.J. Brown for 21 yards (tackle by Minkah Fitzpatrick and Damontae Kazee),-0.950,0.810
4,9:04,1,10,PHI 28,13,27,Saquon Barkley left guard for 4 yards (tackle by Dean Lowry and Keeanu Benton),0.810,0.800
4,8:23,2,6,PHI 32,13,27,Jalen Hurts pass complete short left to Saquon Barkley for 4 yards (tackle by Patrick Queen),0.800,0.630
