Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
3,8:11,2,7,TEN 6,24,14,Tony Pollard left end for 15 yards (tackle by Jordan Battle),-0.560,0.340
3,7:35,1,10,TEN 21,30,14,Will Levis pass deep middle intended for Chigoziem Okonkwo is intercepted by Geno Stone at TEN-39 and returned for 39 yards touchdown,0.340,-7.000
3,7:24,,,TEN 15,31,14,Cade York kicks extra point good,0.000,0.000
3,7:24,,,CIN 35,31,14,Cade York kicks off 65 yards touchback.,0.000,0.940
3,7:24,1,10,TEN 30,31,14,Tony Pollard up the middle for 2 yards (tackle by Josh Newton),0.940,0.660
3,6:51,2,8,TEN 32,31,14,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 5 yards (tackle by Josh Newton),0.660,0.630
3,6:06,3,3,TEN 37,31,14,Penalty on TEN: Delay of Game 5 yards (accepted) (no play),0.630,-0.030
3,5:47,3,8,TEN 32,31,14,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Marco Wilson). Penalty on Cam Taylor-Britt: Illegal Contact 5 yards (declined) . Penalty on Marco Wilson: Defensive Holding 5 yards (accepted) (no play),-0.030,1.400
3,5:43,1,10,TEN 37,31,14,Calvin Ridley right end for 19 yards (tackle by Cam Taylor-Britt),1.400,2.650
3,5:00,1,10,CIN 44,31,14,Tony Pollard up the middle for 1 yard (tackle by Jay Tufele and Akeem Davis-Gaither),2.650,2.250
3,4:24,2,9,CIN 43,31,14,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Myles Murphy),2.250,2.610
3,3:46,3,1,CIN 35,31,14,Mason Rudolph up the middle for 2 yards (tackle by Germaine Pratt),2.610,3.380
3,3:16,1,10,CIN 33,31,14,Tony Pollard up the middle for -6 yards. Tony Pollard fumbles ball out of bounds at CIN-39 (forced by McKinnley Jackson) recovered by Jordan Battle at CIN-39 and returned for 60 yards. Jordan Battle fumbles ball out of bounds at TEN-1. Jordan Battle fumbles out of bounds,3.380,0.280
3,3:03,1,10,TEN 20,31,14,Tony Pollard right tackle for 5 yards (tackle by Jordan Battle),0.280,0.410
3,2:24,2,5,TEN 25,31,14,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 7 yards (tackle by Josh Newton),0.410,1.070
3,1:37,1,10,TEN 32,31,14,Mason Rudolph pass complete short right to Josh Whyle for 7 yards (tackle by Germaine Pratt and Jordan Battle),1.070,1.470
3,1:11,2,3,TEN 39,31,14,Mason Rudolph pass complete short right to Josh Whyle for 7 yards (tackle by Josh Newton),1.470,1.990
3,0:51,1,10,TEN 46,31,14,Mason Rudolph pass incomplete deep right intended for Calvin Ridley,1.990,1.450
3,0:46,2,10,TEN 46,31,14,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Vonn Bell and Mike Hilton),1.450,1.690
3,0:05,3,3,CIN 47,31,14,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 5 yards (tackle by Akeem Davis-Gaither),1.690,2.790
4,15:00,1,10,CIN 42,31,14,Tony Pollard right tackle for -5 yards (tackle by Mike Hilton),2.790,1.570
4,14:24,2,15,CIN 47,31,14,Mason Rudolph pass incomplete short right intended for Tony Pollard. Penalty on JC Latham: Offensive Holding 10 yards (accepted) (no play),1.570,0.220
4,14:22,2,25,TEN 43,31,14,Mason Rudolph pass complete short left to Tyjae Spears for 12 yards (tackle by Mike Hilton),0.220,1.160
4,13:36,3,13,CIN 45,31,14,Mason Rudolph pass incomplete short middle intended for Chigoziem Okonkwo. Penalty on DJ Ivey: Defensive Pass Interference 12 yards (accepted) (no play),1.160,3.380
4,13:33,1,10,CIN 33,31,14,Mason Rudolph pass complete deep middle to Chigoziem Okonkwo for 6 yards (tackle by Akeem Davis-Gaither),3.380,3.650
4,13:11,2,4,CIN 27,31,14,Mason Rudolph pass short right intended for Chigoziem Okonkwo is intercepted by Josh Newton at CIN-17 and returned for 12 yards (tackle by Peter Skoronski),3.650,-0.870
4,13:05,1,10,CIN 29,31,14,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Chidobe Awuzie and James Williams),0.870,1.140
4,12:29,2,4,CIN 35,31,14,Chase Brown up the middle for 11 yards (tackle by Daryl Worley and T'Vondre Sweat). Penalty on Jeffery Simmons: Illegal Use of Hands / Defense 5 yards (accepted),1.140,2.320
4,12:12,1,10,TEN 49,31,14,Chase Brown up the middle for 1 yard (tackle by Jeffery Simmons),2.320,1.920
4,11:30,2,9,TEN 48,31,14,Joe Burrow pass incomplete short middle intended for Andrei Iosivas,1.920,1.220
4,11:25,,,,,,Timeout #1 by Cincinnati Bengals,,
4,11:25,3,9,TEN 48,31,14,Joe Burrow pass complete short right to Ja'Marr Chase for 4 yards (tackle by Amani Hooker),1.220,0.330
