Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
2,1:58,3,7,DEN 31,10,7,Bo Nix pass complete short right to Lucas Krull for no gain (tackle by Samuel Womack),-0.030,-1.310
2,1:52,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:52,4,7,DEN 31,10,7,Riley Dixon punts 52 yards returned by Anthony Gould for 36 yards (tackle by Mitchell Fraboni),-1.310,-2.460
2,1:38,1,10,DEN 47,10,7,Anthony Richardson right tackle for 2 yards (tackle by Cody Barton),2.460,2.180
2,0:59,2,8,DEN 45,10,7,Anthony Richardson pass complete short right to Kylen Granson for 18 yards (tackle by Cody Barton),2.180,3.780
2,0:28,1,10,DEN 27,10,7,Anthony Richardson pass incomplete deep right,3.780,3.230
2,0:22,2,10,DEN 27,10,7,Anthony Richardson sacked by and Nik Bonitto for -5 yards and John Franklin-Myers for -5 yards,3.230,1.880
2,0:17,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:17,3,15,DEN 32,10,7,Anthony Richardson pass incomplete deep left intended for Alec Pierce (defended by Kris Abrams-Draine),1.880,1.240
2,0:10,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:10,4,15,DEN 32,13,7,Matt Gay 49 yard field goal good,1.240,3.000
2,0:06,,,IND 35,13,7,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,0:06,1,10,DEN 30,13,7,Bo Nix kneels for -1 yards,0.940,0.260
3,15:00,,,IND 35,13,7,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DEN 30,13,7,Bo Nix pass complete short right to Adam Trautman for no gain (tackle by Nick Cross and Grover Stewart). Penalty on Dayo Odeyingbo: Defensive Holding 5 yards (accepted) (no play),0.940,1.270
3,14:35,1,10,DEN 35,13,7,Bo Nix pass complete short right to Troy Franklin for 6 yards (tackle by Julian Blackmon),1.270,1.530
3,14:02,2,4,DEN 41,13,7,Bo Nix pass complete short right to Troy Franklin for 3 yards (tackle by Kenny Moore),1.530,1.220
3,13:18,3,1,DEN 44,13,7,Bo Nix pass deep right intended for Courtland Sutton is intercepted by Samuel Womack at IND-38 and returned for no gain (tackle by Courtland Sutton),1.220,-1.470
3,13:12,1,10,IND 38,13,7,Anthony Richardson pass complete short right to Josh Downs for 6 yards (tackle by Kris Abrams-Draine). Penalty on Brandon Jones: Personal Foul / Defense 15 yards (accepted),1.470,2.850
3,12:43,1,10,DEN 41,13,7,Jonathan Taylor right tackle for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Jonathan Taylor right tackle for 40 yards. Jonathan Taylor fumbles out of bounds,2.850,-0.280
3,12:36,1,10,DEN 20,13,7,Jaleel McLaughlin right tackle for 12 yards (tackle by Jaylon Jones and Julian Blackmon),0.280,1.070
3,11:56,1,10,DEN 32,13,7,Javonte Williams up the middle for 4 yards (tackle by Zaire Franklin and E.J. Speed),1.070,1.070
3,11:14,2,6,DEN 36,13,7,Bo Nix scrambles right guard for 2 yards (tackle by Nick Cross),1.070,0.630
3,10:37,3,4,DEN 38,13,7,Bo Nix pass incomplete short left intended for Devaughn Vele,0.630,-0.850
3,10:29,4,4,DEN 38,13,7,Riley Dixon punts 44 yards out of bounds,-0.850,-0.040
3,10:23,1,10,IND 18,13,7,Jonathan Taylor right guard for 3 yards (tackle by Cody Barton and Justin Strnad),0.040,0.010
3,9:47,2,7,IND 21,13,7,Jonathan Taylor right guard for no gain (tackle by Patrick Surtain and Jonathon Cooper). Penalty on Danny Pinter: Offensive Holding 10 yards (accepted) (no play),0.010,-1.290
3,9:24,2,17,IND 11,13,7,Anthony Richardson scrambles right end for 2 yards (tackle by Jonathon Cooper),-1.290,-1.970
3,8:36,3,15,IND 13,13,7,Jonathan Taylor right guard for no gain (tackle by Justin Strnad). Penalty on Mark Glowinski: Offensive Holding 10 yards (declined),-1.970,-2.490
3,8:24,4,15,IND 13,13,7,Rigoberto Sanchez punts 53 yards returned by Marvin Mims for 27 yards (tackle by Nick Cross),-2.490,-2.980
3,8:11,1,10,IND 39,13,7,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by Jaylon Jones),2.980,2.440
3,8:06,2,10,IND 39,13,7,Marvin Mims right end for no gain (tackle by E.J. Speed),2.440,1.750
3,7:27,3,10,IND 39,13,7,Bo Nix pass deep right intended for Courtland Sutton is intercepted by Nick Cross at IND-22 and returned for 5 yards,1.750,-0.740
3,7:22,1,10,IND 27,13,7,Anthony Richardson pass complete short right to Michael Pittman for 4 yards. Michael Pittman fumbles (forced by P.J. Locke) recovered by D.J. Jones at IND-31,0.740,-3.510
3,7:14,1,10,IND 31,13,7,Javonte Williams left guard for 3 yards (tackle by E.J. Speed and Laiatu Latu),3.510,3.370
3,6:33,2,7,IND 28,13,7,Jaleel McLaughlin right end for no gain (tackle by Kenny Moore),3.370,2.680
3,6:03,3,7,IND 28,13,7,Bo Nix pass complete short right to Jaleel McLaughlin for 2 yards (tackle by Samuel Womack),2.680,1.790
3,5:22,4,5,IND 26,13,10,Wil Lutz 44 yard field goal good,1.790,3.000
3,5:18,,,DEN 35,13,10,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,5:18,1,10,IND 30,13,10,Jonathan Taylor right tackle for 1 yard (tackle by Brandon Jones). Penalty on Danny Pinter: Offensive Holding 10 yards (accepted),0.940,0.340
3,4:50,1,19,IND 21,13,10,Anthony Richardson pass complete short left to Jonathan Taylor for 4 yards (tackle by Brandon Jones),0.340,-0.280
3,4:04,2,15,IND 25,13,10,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Patrick Surtain),-0.280,-0.960
3,4:02,3,15,IND 25,13,10,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,-0.960,-1.700
3,3:57,4,15,IND 25,13,10,Rigoberto Sanchez punts 51 yards returned by Marvin Mims for 9 yards (tackle by Cameron McGrone). Penalty on Cameron McGrone: Unnecessary Roughness / Defense 15 yards (accepted),-1.700,-2.130
3,3:47,1,10,DEN 48,13,10,Penalty on Luke Wattenberg: False Start 5 yards (accepted) (no play),2.130,1.800
