Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
4,15:00,4,2,BAL 2,28,7,Tim Boyle pass incomplete short right intended for Wan'Dale Robinson,3.250,0.380
4,14:53,1,10,BAL 3,28,7,Penalty on Josh Jones: False Start 1 yard (accepted) (no play),-0.380,-0.420
4,14:53,1,11,BAL 2,28,7,Lamar Jackson pass incomplete deep right,-0.420,-0.850
4,14:48,2,11,BAL 2,28,7,Lamar Jackson pass complete short left to Zay Flowers for 15 yards,-0.850,-0.060
4,14:19,1,10,BAL 17,28,7,Derrick Henry left tackle for 13 yards (tackle by Dane Belton and Jason Pinnock),-0.060,0.940
4,13:39,1,10,BAL 30,28,7,Lamar Jackson pass complete deep right to Nelson Agholor for 26 yards (tackle by Art Green),0.940,2.650
4,12:58,1,10,NYG 44,28,7,Lamar Jackson left end for no gain (tackle by Darius Muasau),2.650,2.110
4,12:17,2,10,NYG 44,28,7,Lamar Jackson pass incomplete short right intended for Rashod Bateman,2.110,1.420
4,12:13,3,10,NYG 44,28,7,Lamar Jackson pass complete short right to Justice Hill for 16 yards (tackle by Jason Pinnock and Dane Belton),1.420,3.710
4,11:36,1,10,NYG 28,28,7,Derrick Henry left guard for 1 yard (tackle by Darius Muasau and Kayvon Thibodeaux),3.710,3.300
4,10:53,2,9,NYG 27,34,7,Lamar Jackson pass complete short right to Justice Hill for 27 yards touchdown,3.300,7.000
4,10:46,,,NYG 15,35,7,Justin Tucker kicks extra point good,0.000,0.000
4,10:46,,,BAL 35,35,7,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
4,10:46,1,10,NYG 30,35,7,Tim Boyle pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Malik Harrison and Desmond King),0.940,1.200
4,10:16,2,4,NYG 36,35,7,Tim Boyle pass complete short left to Malik Nabers for 3 yards (tackle by Tre'Davious White),1.200,0.890
4,9:35,3,1,NYG 39,35,7,Tim Boyle pass incomplete deep right intended for Wan'Dale Robinson (defended by Brandon Stephens),0.890,-0.780
4,9:29,4,1,NYG 39,35,7,Tyrone Tracy up the middle for 2 yards (tackle by Travis Jones),-0.780,1.660
4,8:53,1,10,NYG 41,35,7,Devin Singletary right tackle for 5 yards (tackle by Travis Jones and Nnamdi Madubuike),1.660,1.800
4,8:15,2,5,NYG 46,35,7,Tim Boyle pass incomplete short middle,1.800,1.090
4,8:09,3,5,NYG 46,35,7,Tim Boyle pass incomplete deep right intended for Darius Slayton (defended by Nate Wiggins). Penalty on Nate Wiggins: Defensive Pass Interference 24 yards (accepted) (no play),1.090,3.580
4,8:03,1,10,BAL 30,35,7,Tim Boyle pass complete short middle to Malik Nabers for 2 yards (tackle by Tavius Robinson and Chris Board),3.580,3.300
4,7:26,2,8,BAL 28,35,7,Tim Boyle pass complete short left to Devin Singletary for 5 yards (tackle by Desmond King),3.300,3.270
4,6:46,3,3,BAL 23,35,7,Tim Boyle pass incomplete short right intended for Wan'Dale Robinson,3.270,2.030
4,6:41,4,3,BAL 23,35,13,Tim Boyle pass complete deep right to Malik Nabers for 23 yards touchdown,2.030,7.000
4,6:36,,,BAL 15,35,14,Graham Gano kicks extra point good,0.000,0.000
