Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA
3,13:39,3,2,LVR 38,12,7,Aidan O'Connell pass complete short left to Ameer Abdullah for 3 yards (tackle by Joey Porter),0.760,1.660
3,12:57,1,10,LVR 41,12,7,Aidan O'Connell pass complete deep middle to Brock Bowers for no gain (tackle by Minkah Fitzpatrick). Penalty on Andre James: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
3,12:32,1,20,LVR 31,12,7,Alexander Mattison up the middle for 2 yards (tackle by Payton Wilson and Patrick Queen),1.000,0.040
3,11:51,2,18,LVR 33,12,7,Alexander Mattison up the middle for 1 yard (tackle by Cameron Heyward and Keeanu Benton),0.040,-0.490
3,11:13,3,17,LVR 34,12,7,Aidan O'Connell pass incomplete short left intended for Ameer Abdullah,-0.490,-1.110
3,11:07,4,17,LVR 34,12,7,AJ Cole punts blocked by Jeremiah Moon (tackle by Beanie Bishop),-1.110,-5.140
3,10:58,1,9,LVR 9,12,7,Najee Harris left tackle for 3 yards (tackle by Nate Hobbs and Matthew Butler),5.140,4.950
3,10:20,2,6,LVR 6,12,7,Justin Fields aborted snap recovered by Jaylen Warren at LV-15,4.950,2.930
3,9:31,3,15,LVR 15,12,7,Justin Fields right end for 15 yards touchdown. Penalty on Justin Fields: Illegal Forward Pass 5 yards (accepted) (no play),2.930,2.180
3,9:24,4,19,LVR 19,15,7,Chris Boswell 37 yard field goal good,2.180,3.000
3,9:20,,,PIT 35,15,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,9:20,1,10,LVR 30,15,7,Aidan O'Connell pass complete short right to Brock Bowers for -4 yards (tackle by Beanie Bishop),0.940,-0.150
3,8:41,2,14,LVR 26,15,7,Aidan O'Connell pass complete short left to Alexander Mattison for 8 yards (tackle by Patrick Queen),-0.150,0.230
3,7:56,3,6,LVR 34,15,7,Aidan O'Connell pass incomplete short middle intended for Harrison Bryant,0.230,-1.110
3,7:48,4,6,LVR 34,15,7,AJ Cole punts 66 yards touchback.,-1.110,-0.280
3,7:40,1,10,PIT 20,15,7,Justin Fields pass incomplete short left,0.280,-0.270
3,7:32,2,10,PIT 20,15,7,Najee Harris right guard for 26 yards (tackle by Isaiah Pola-Mao),-0.270,1.990
3,6:52,1,10,PIT 46,15,7,Najee Harris left tackle for 1 yard (tackle by Divine Deablo and Robert Spillane),1.990,1.590
3,6:16,2,9,PIT 47,15,7,Justin Fields sacked by K'Lavon Chaisson for -9 yards,1.590,-0.300
3,5:31,3,18,PIT 38,15,7,Justin Fields pass complete short left to Jaylen Warren for 6 yards (tackle by Isaiah Pola-Mao). Penalty on K'Lavon Chaisson: Roughing the Passer 15 yards (accepted),-0.300,2.850
3,5:10,1,10,LVR 41,15,7,Najee Harris left guard for 5 yards (tackle by Adam Butler and Divine Deablo),2.850,2.980
3,4:33,2,5,LVR 36,21,7,Najee Harris left end for 36 yards touchdown,2.980,7.000
3,4:21,,,LVR 15,22,7,Chris Boswell kicks extra point good,0.000,0.000
3,4:21,,,PIT 35,22,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,4:21,1,10,LVR 30,22,7,Alexander Mattison left guard for 2 yards (tackle by Cameron Heyward and Larry Ogunjobi),0.940,0.660
3,3:45,2,8,LVR 32,22,7,Aidan O'Connell pass complete deep left to DJ Turner for 30 yards (tackle by Joey Porter and Minkah Fitzpatrick),0.660,3.050
3,2:58,1,10,PIT 38,22,7,Aidan O'Connell pass complete short right to Alex Bachman for 2 yards (tackle by Donte Jackson),3.050,2.780
3,2:20,2,8,PIT 36,22,7,Aidan O'Connell pass complete short right to Ameer Abdullah for 12 yards (tackle by Payton Wilson),2.780,3.970
3,1:39,1,10,PIT 24,22,7,Ameer Abdullah up the middle for 7 yards (tackle by Payton Wilson),3.970,4.460
3,0:56,2,3,PIT 17,22,7,Aidan O'Connell pass complete short right to Kristian Wilkerson for 9 yards (tackle by Beanie Bishop),4.460,5.370
3,0:30,1,8,PIT 8,22,7,Alexander Mattison right guard for 2 yards (tackle by Eku Leota and Elandon Roberts),5.370,4.950
3,0:01,2,6,PIT 6,22,7,Aidan O'Connell pass complete short right to Alexander Mattison for no gain touchdown. Penalty on Jackson Powers-Johnson: Ineligible Downfield Pass 5 yards (accepted) (no play),4.950,4.020
4,15:00,2,11,PIT 11,22,7,Ameer Abdullah up the middle for 10 yards (tackle by DeShon Elliott),4.020,5.170
4,14:31,3,1,PIT 1,22,7,Ameer Abdullah right tackle for no gain. Ameer Abdullah fumbles (forced by T.J. Watt) recovered by DeShon Elliott at PIT-1 and returned for 10 yards (tackle by Aidan O'Connell and Jackson Powers-Johnson),5.170,0.370
4,14:21,1,10,PIT 11,22,7,Jaylen Warren left guard for 1 yard (tackle by John Jenkins and Charles Snowden),-0.370,-0.710
4,13:42,2,9,PIT 12,22,7,Justin Fields pass complete short right to Darnell Washington for 9 yards (tackle by Nate Hobbs and Jonah Laulu),-0.710,0.340
4,12:54,1,10,PIT 21,22,7,Jaylen Warren right guard for -2 yards (tackle by Tre'von Moehrig),0.340,-0.530
4,12:15,2,12,PIT 19,22,7,Justin Fields scrambles left tackle for 10 yards (tackle by Nate Hobbs and Robert Spillane),-0.530,0.170
4,11:33,3,2,PIT 29,22,7,Justin Fields pass complete deep middle to Calvin Austin for 16 yards (tackle by Tre'von Moehrig),0.170,1.930
4,10:49,1,10,PIT 45,22,7,Najee Harris right tackle for 7 yards (tackle by John Jenkins and Tre'von Moehrig),1.930,2.330
4,10:16,2,3,LVR 48,22,7,Najee Harris right tackle for -3 yards (tackle by Maxx Crosby),2.330,1.220
4,9:29,3,6,PIT 49,22,7,Penalty on Justin Fields: Delay of Game 5 yards (accepted) (no play),1.220,0.560
4,9:29,3,11,PIT 44,22,7,Justin Fields pass incomplete short left intended for Calvin Austin,0.560,-0.460
4,9:25,4,11,PIT 44,22,7,Corliss Waitman punts 43 yards recovered by Ameer Abdullah at LV-13,-0.460,0.320
4,9:16,1,10,LVR 13,22,7,Aidan O'Connell sacked by Cameron Heyward for -9 yards,-0.320,-1.440
4,8:38,2,19,LVR 4,22,7,Aidan O'Connell pass incomplete short right intended for Tre Tucker,-1.440,-2.470
4,8:32,3,19,LVR 4,22,7,Aidan O'Connell pass deep right intended for Brock Bowers is intercepted by Donte Jackson at LV-31 and returned for 24 yards (tackle by Alexander Mattison and Tre Tucker),-2.470,-5.600
4,8:21,1,7,LVR 7,28,7,Justin Fields left end for 7 yards touchdown,5.600,7.000
4,8:16,,,LVR 15,29,7,Chris Boswell kicks extra point good,0.000,0.000
4,8:16,,,PIT 35,29,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,8:16,1,10,LVR 30,29,7,Aidan O'Connell pass complete short middle to Brock Bowers for 18 yards (tackle by Patrick Queen and Payton Wilson),0.940,2.130
4,7:47,1,10,LVR 48,29,7,Aidan O'Connell pass complete short right to Alexander Mattison for -1 yards (tackle by Payton Wilson and Patrick Queen),2.130,1.450
4,7:20,2,11,LVR 47,29,7,Aidan O'Connell pass complete short right to Brock Bowers for 10 yards (tackle by Payton Wilson),1.450,2.080
4,6:53,3,1,PIT 43,29,7,Alexander Mattison left guard for 2 yards (tackle by Keeanu Benton),2.080,2.850
4,6:31,1,10,PIT 41,29,7,Aidan O'Connell pass complete short right to Alexander Mattison for 6 yards (tackle by Patrick Queen),2.850,3.120
4,6:02,2,4,PIT 35,29,7,Aidan O'Connell pass complete short right to Alex Bachman for 18 yards (tackle by DeShon Elliott and Patrick Queen),3.120,4.440
4,5:33,1,10,PIT 17,29,7,Aidan O'Connell pass complete short middle to Brock Bowers for 8 yards (tackle by Minkah Fitzpatrick),4.440,5.290
4,5:10,2,2,PIT 9,29,7,Aidan O'Connell pass incomplete short right,5.290,4.570
4,5:04,3,2,PIT 9,29,7,Aidan O'Connell pass incomplete short left intended for Kristian Wilkerson (defended by Beanie Bishop),4.570,2.950
4,4:59,4,2,PIT 9,29,13,Aidan O'Connell pass complete short right to Kristian Wilkerson for 9 yards touchdown,2.950,7.000
4,4:54,,,PIT 2,29,13,Two Point Attempt: Aidan O'Connell pass incomplete intended for intended for Alex Bachman,1.000,-1.000
4,4:54,,,LVR 35,29,13,Daniel Carlson kicks onside 8 yards returned by Minkah Fitzpatrick for 7 yards (tackle by Christopher Smith),0.000,3.180
4,4:50,1,10,LVR 36,29,13,Jonathan Ward left end for 2 yards (tackle by Isaiah Pola-Mao and Charles Snowden),3.180,2.910
4,4:43,2,8,LVR 34,29,13,Justin Fields pass complete deep right to George Pickens for 31 yards (tackle by Isaiah Pola-Mao and Nate Hobbs) LVR challenged the pass completion ruling and the play was upheld.,2.910,6.510
4,4:16,1,3,LVR 3,29,13,Justin Fields pass incomplete short left intended for George Pickens (defended by Nate Hobbs),6.510,5.530
4,4:11,2,3,LVR 3,29,13,Aaron Shampklin left guard for -2 yards (tackle by Maxx Crosby),5.530,4.260
4,4:07,,,,,,Timeout #2 by Las Vegas Raiders,,
4,4:07,3,5,LVR 5,29,13,Justin Fields sacked by and John Jenkins for -13 yards and Maxx Crosby for -13 yards,4.260,2.250
4,3:58,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:58,4,18,LVR 18,32,13,Chris Boswell 36 yard field goal good,2.250,3.000
4,3:55,,,PIT 35,32,13,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,3:55,1,10,LVR 30,32,13,Aidan O'Connell pass complete short middle to Brock Bowers for 5 yards (tackle by Patrick Queen),0.940,1.070
4,3:26,2,5,LVR 35,32,13,Aidan O'Connell pass incomplete short right intended for DJ Turner (defended by Donte Jackson),1.070,0.370
4,3:21,3,5,LVR 35,32,13,Aidan O'Connell pass complete short left to Alexander Mattison for no gain (tackle by Montravius Adams),0.370,-1.040
4,2:50,4,5,LVR 35,32,13,Aidan O'Connell pass incomplete deep middle intended for DJ Turner (defended by Adetokunbo Ogundeji),-1.040,-3.250
4,2:44,1,10,LVR 35,32,13,Jonathan Ward left end for 5 yards (tackle by Tre'von Moehrig and Isaiah Pola-Mao),3.250,3.380
4,2:00,2,5,LVR 30,32,13,Jonathan Ward right tackle for 6 yards (tackle by Matthew Butler and Charles Snowden),3.380,3.970
4,1:15,1,10,LVR 24,32,13,Justin Fields kneels for -1 yards,3.970,3.300
4,0:37,2,11,LVR 25,32,13,Justin Fields kneels for -1 yards,3.300,2.480
