Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
2,0:19,1,10,TAM 24,24,27,Baker Mayfield pass incomplete deep right intended for Chris Godwin (defended by Paulson Adebo). Penalty on Chase Young: Defensive Offside 5 yards (accepted) (no play),0.540,1.270
2,0:14,1,5,TAM 29,24,27,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Kool-Aid McKinstry),1.270,0.670
2,0:10,2,5,TAM 29,24,27,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Paulson Adebo),0.670,1.330
2,0:06,1,10,TAM 36,24,27,Baker Mayfield pass complete short middle to Chris Godwin for 8 yards lateral to Tristan Wirfs for 13 yards. Tristan Wirfs fumbles (forced by J.T. Gray) recovered by Cade Otton at NO-47,1.330,2.460
3,15:00,,,TAM 35,24,27,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NOR 30,24,27,Spencer Rattler pass complete short right to Rashid Shaheed for 11 yards (tackle by Tyrek Funderburk),0.940,1.660
3,14:25,1,10,NOR 41,24,27,Alvin Kamara right tackle for 1 yard (tackle by Lavonte David and Logan Hall),1.660,1.260
3,13:53,2,9,NOR 42,24,27,Spencer Rattler pass incomplete deep right intended for Rashid Shaheed (defended by Zyon McCollum),1.260,0.560
3,13:47,3,9,NOR 42,24,27,Spencer Rattler pass complete deep middle to Juwan Johnson for 19 yards (tackle by Jordan Whitehead),0.560,2.980
3,13:14,1,10,TAM 39,24,27,Spencer Rattler pass incomplete short right intended for Bub Means,2.980,2.440
3,13:10,2,10,TAM 39,24,27,Alvin Kamara left guard for 4 yards (tackle by Jordan Whitehead),2.440,2.280
3,12:29,3,6,TAM 35,24,27,Spencer Rattler pass complete short right to Bub Means for no gain. Bub Means fumbles (forced by Tykee Smith) recovered by Zyon McCollum at TB-29 (tackle by Connor McGovern). Penalty on Connor McGovern: Face Mask (15 Yards) 15 yards () Replay Assistant challenged the pass completion ruling and the original play was overturned. Spencer Rattler pass incomplete short right intended for Bub Means (defended by Tykee Smith). Penalty on Connor McGovern: Offensive Facemask 15 yards (accepted),2.280,-0.060
3,12:25,4,21,TAM 50,24,27,Matthew Hayball punts 42 yards fair catch by Jalen McMillan at TB-8,-0.060,0.380
3,12:19,1,10,TAM 8,24,27,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Alontae Taylor),-0.380,-0.210
3,11:43,2,3,TAM 15,24,27,Bucky Irving right end for -1 yards (tackle by Alontae Taylor),-0.210,-0.720
3,11:03,3,4,TAM 14,24,27,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Paulson Adebo),-0.720,-2.470
3,10:56,4,4,TAM 14,24,27,Jake Camarda punts 41 yards returned by Rashid Shaheed for 2 yards (tackle by Tavierre Thomas),-2.470,-2.060
3,10:48,1,10,NOR 47,24,27,Spencer Rattler sacked by and K.J. Britt for -9 yards and Chris Braswell for -9 yards,2.060,0.300
3,10:12,2,19,NOR 38,24,27,Spencer Rattler sacked by Calijah Kancey for -3 yards,0.300,-0.760
3,9:31,3,22,NOR 35,24,27,Jamaal Williams up the middle for 9 yards (tackle by Lavonte David),-0.760,-0.460
3,8:45,4,13,NOR 44,24,27,Matthew Hayball punts 48 yards fair catch by Jalen McMillan at TB-8,-0.460,0.380
3,8:38,1,10,TAM 8,24,27,Sean Tucker right guard for 6 yards (tackle by Khalen Saunders),-0.380,-0.320
3,8:03,2,4,TAM 14,24,27,Baker Mayfield pass complete short right to Sean Tucker for 5 yards (tackle by Paulson Adebo),-0.320,0.150
3,7:26,1,10,TAM 19,24,27,Sean Tucker right guard for 2 yards (tackle by Khalen Saunders),0.150,-0.060
3,6:45,2,8,TAM 21,24,27,Baker Mayfield scrambles right tackle for 9 yards (tackle by Johnathan Abram),-0.060,0.940
3,6:05,1,10,TAM 30,24,27,Sean Tucker left guard for 10 yards (tackle by Marshon Lattimore and Jordan Howden),0.940,1.600
3,5:18,1,10,TAM 40,24,27,Bucky Irving right end for 5 yards (tackle by Paulson Adebo and Jordan Howden),1.600,1.730
3,4:37,2,5,TAM 45,30,27,Baker Mayfield pass complete short right to Chris Godwin for 55 yards touchdown,1.730,7.000
3,4:25,,,NOR 15,31,27,Chase McLaughlin kicks extra point good,0.000,0.000
3,4:25,,,TAM 35,31,27,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
3,4:25,1,10,NOR 30,31,27,Spencer Rattler pass incomplete short right intended for Alvin Kamara,0.940,0.390
3,4:20,2,10,NOR 30,31,27,Spencer Rattler pass complete short right to Alvin Kamara for 2 yards (tackle by Jordan Whitehead and Lavonte David),0.390,-0.030
3,3:43,3,8,NOR 32,31,27,Spencer Rattler pass complete short middle to Juwan Johnson for no gain (tackle by Antoine Winfield) (no play),-0.030,-0.690
3,3:16,3,13,NOR 27,31,27,Spencer Rattler pass incomplete short left intended for Alvin Kamara,-0.690,-1.570
3,3:12,4,13,NOR 27,31,27,Matthew Hayball punts 41 yards returned by Jalen McMillan for 1 yard (tackle by J.T. Gray),-1.570,-1.140
3,3:03,1,10,TAM 33,31,27,Sterling Shepard left end for 9 yards (tackle by Alontae Taylor),1.140,1.810
3,2:27,2,1,TAM 42,31,27,Baker Mayfield sacked by Willie Gay for -8 yards,1.810,0.040
3,1:43,3,9,TAM 34,31,27,Baker Mayfield scrambles right end for 8 yards (tackle by Carl Granderson and Bryan Bresee),0.040,-0.590
3,1:04,4,1,TAM 42,31,27,Jake Camarda punts returned by Rashid Shaheed for no gain (tackle by Tavierre Thomas). Penalty on Antonio Grier: Illegal Formation 4 yards (accepted) (no play),-0.590,-0.850
3,0:59,4,5,TAM 38,31,27,Jake Camarda punts 44 yards out of bounds,-0.850,-0.040
3,0:52,1,10,NOR 18,31,27,Spencer Rattler scrambles left guard for 6 yards (tackle by Logan Hall),0.040,0.410
3,0:18,2,4,NOR 24,31,27,Alvin Kamara left guard for 5 yards (tackle by YaYa Diaby),0.410,0.870
4,15:00,1,10,NOR 29,31,27,Spencer Rattler pass deep right intended for Rashid Shaheed is intercepted by Zyon McCollum at TB-42 and returned for no gain (tackle by Rashid Shaheed),0.870,-1.730
4,14:55,1,10,TAM 42,31,27,Bucky Irving left end for 31 yards (tackle by Marshon Lattimore),1.730,3.780
4,14:02,1,10,NOR 27,31,27,Sean Tucker left end for 18 yards (tackle by Johnathan Abram). Penalty on Johnathan Abram: Unnecessary Roughness / Defense 5 yards (accepted),3.780,6.280
4,13:51,,,,,,Timeout #1 by New Orleans Saints,,
4,13:51,1,4,NOR 4,31,27,Bucky Irving right end for 1 yard (tackle by Jordan Howden and Nathan Shepherd),6.280,5.530
4,13:11,2,3,NOR 3,31,27,Baker Mayfield pass incomplete short right intended for Chris Godwin. Penalty on Sterling Shepard: Offensive Pass Interference 10 yards (accepted) (no play),5.530,3.720
4,13:07,2,13,NOR 13,31,27,Sterling Shepard left end for 5 yards (tackle by Jordan Howden),3.720,3.580
4,12:40,3,8,NOR 8,37,27,Baker Mayfield pass complete short left to Cade Otton for 8 yards touchdown,3.580,7.000
4,12:34,,,NOR 2,37,27,Two Point Attempt: Baker Mayfield pass incomplete intended for to Bucky Irving for no gain,1.000,-1.000
4,12:34,,,TAM 35,37,27,Jake Camarda kicks off 61 yards returned by Rashid Shaheed for 25 yards (tackle by Anthony Nelson),0.000,0.870
4,12:29,1,10,NOR 29,37,27,Spencer Rattler sacked by Lavonte David for -5 yards,0.870,-0.350
4,11:58,2,15,NOR 24,37,27,Spencer Rattler pass incomplete short right intended for Alvin Kamara,-0.350,-1.020
4,11:54,3,15,NOR 24,37,27,Spencer Rattler pass incomplete deep left intended for Rashid Shaheed,-1.020,-1.770
4,11:49,4,15,NOR 24,37,27,Matthew Hayball punts 58 yards returned by Jalen McMillan for 11 yards (tackle by Payton Turner and Zach Wood),-1.770,-0.870
4,11:36,1,10,TAM 29,37,27,Sean Tucker left guard for 4 yards (tackle by John Ridgeway and Demario Davis),0.870,0.870
4,10:55,2,6,TAM 33,37,27,Sterling Shepard left end for 24 yards (tackle by Johnathan Abram),0.870,2.720
4,10:10,1,10,NOR 43,37,27,Sean Tucker left tackle for 13 yards (tackle by Johnathan Abram and Marshon Lattimore),2.720,3.580
4,9:28,1,10,NOR 30,37,27,Sean Tucker left end for 8 yards (tackle by Paulson Adebo),3.580,4.110
4,8:49,2,2,NOR 22,37,27,Bucky Irving right guard for 2 yards (tackle by Nathan Shepherd),4.110,4.240
4,8:09,1,10,NOR 20,37,27,Sterling Shepard left end for -7 yards (tackle by Chase Young),4.240,2.750
4,7:25,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,7:25,2,17,NOR 27,37,27,Bucky Irving left tackle for 1 yard (tackle by Demario Davis),2.750,2.210
4,6:45,3,16,NOR 26,37,27,Baker Mayfield pass complete short left to Bucky Irving for 18 yards (tackle by Marshon Lattimore and Johnathan Abram),2.210,5.370
4,6:00,1,8,NOR 8,37,27,Bucky Irving kneels for 7 yards (tackle by Alontae Taylor and Johnathan Abram),5.370,5.910
4,5:37,2,1,NOR 1,43,27,Bucky Irving left guard for 1 yard touchdown,5.910,7.000
4,5:33,,,NOR 15,44,27,Chase McLaughlin kicks extra point good,0.000,0.000
4,5:33,,,TAM 35,44,27,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
4,5:33,1,10,NOR 30,44,27,Spencer Rattler pass complete short left to Mason Tipton for 15 yards (tackle by Tykee Smith),0.940,1.930
