Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
3,11:01,1,15,GNB 30,10,24,Trey Benson left end for 1 yard (tackle by Preston Smith),3.580,2.820
3,10:26,2,14,GNB 29,10,24,Kyler Murray pass complete short right to Elijah Higgins for no gain (tackle by Quay Walker and Edgerrin Cooper). Penalty on Kelvin Beachum: Illegal Formation 5 yards (accepted) (no play),2.820,2.150
3,9:56,2,19,GNB 34,10,24,Kyler Murray pass complete short left to Emari Demercado for 13 yards (tackle by Quay Walker and Edgerrin Cooper),2.150,3.200
3,9:12,3,6,GNB 21,10,24,Kyler Murray pass incomplete deep right intended for Xavier Weaver,3.200,2.080
3,9:07,4,6,GNB 21,13,24,Chad Ryland 40 yard field goal good,2.080,3.000
3,9:03,,,ARI 35,13,24,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,9:03,1,10,GNB 30,13,24,Josh Jacobs left guard for 6 yards (tackle by Jalen Thompson and Krys Barnes),0.940,1.200
3,8:17,2,4,GNB 36,13,24,Josh Jacobs right guard for -1 yards (tackle by Roy Lopez),1.200,0.370
3,7:47,3,5,GNB 35,13,24,Jordan Love scrambles up the middle for 6 yards (tackle by Krys Barnes). Penalty on Sean Murphy-Bunting: Defensive Holding 5 yards (accepted),0.370,1.990
3,7:20,1,10,GNB 46,13,24,Jordan Love pass complete short middle to Josh Jacobs for 14 yards (tackle by Jalen Thompson),1.990,2.920
3,6:41,1,10,ARI 40,13,24,Josh Jacobs right end for -1 yards (tackle by Krys Barnes),2.920,2.240
3,5:58,2,11,ARI 41,13,24,Jordan Love pass complete short right to Ben Sims for 10 yards (tackle by Zaven Collins),2.240,2.870
3,5:16,3,1,ARI 31,13,24,Jordan Love pass complete short left to Emanuel Wilson for no gain (tackle by Mack Wilson and Dante Stills). Penalty on Sean Murphy-Bunting: Defensive Holding 5 yards (accepted) (no play),2.870,3.840
3,4:46,1,10,ARI 26,13,24,Jordan Love pass incomplete short right,3.840,3.300
3,4:42,2,10,ARI 26,13,24,Jordan Love pass complete short middle to Bo Melton for 6 yards (tackle by Budda Baker),3.300,3.400
3,3:54,3,4,ARI 20,13,30,Jordan Love pass complete deep right to Romeo Doubs for 20 yards touchdown,3.400,7.000
3,3:48,,,ARI 15,13,31,Brayden Narveson kicks extra point good,0.000,0.000
3,3:48,,,GNB 35,13,31,Brayden Narveson kicks off 61 yards returned by DeeJay Dallas for 22 yards (tackle by Javon Bullard),0.000,0.670
3,3:42,1,10,ARI 26,13,31,Kyler Murray pass complete short middle to James Conner for 4 yards (tackle by Edgerrin Cooper),0.670,0.670
3,3:05,2,6,ARI 30,13,31,Kyler Murray pass complete short left to James Conner for no gain. James Conner fumbles (forced by Karl Brooks) recovered by Karl Brooks at ARI-30,0.670,-3.580
3,2:57,1,10,ARI 30,13,31,Jordan Love pass incomplete short right intended for Romeo Doubs (defended by Starling Thomas),3.580,3.030
3,2:54,2,10,ARI 30,13,31,Jordan Love pass incomplete short left intended for Andrew Beck (defended by Mack Wilson),3.030,2.340
3,2:50,3,10,ARI 30,13,31,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by Mack Wilson and Zaven Collins),2.340,1.760
3,2:09,4,6,ARI 26,13,31,Brayden Narveson 44 yard field goal no good,1.760,-1.200
3,2:04,1,10,ARI 34,13,31,Kyler Murray scrambles left end for 1 yard (tackle by Javon Bullard),1.200,0.790
3,1:35,2,9,ARI 35,13,31,Kyler Murray pass complete short middle to Emari Demercado for 6 yards (tackle by Quay Walker),0.790,0.890
3,1:17,3,3,ARI 41,13,31,Emari Demercado up the middle for 6 yards (tackle by Edgerrin Cooper and Javon Bullard),0.890,2.060
3,0:59,1,10,ARI 47,13,31,Kyler Murray pass complete short right to Trey McBride for 8 yards (tackle by Quay Walker),2.060,2.600
3,0:41,2,2,GNB 45,13,31,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Xavier McKinney),2.600,2.980
3,0:21,1,10,GNB 39,13,31,Kyler Murray pass complete short left to Greg Dortch for 16 yards. Greg Dortch fumbles (forced by Evan Williams) recovered by Jaire Alexander at GB-22,2.980,-0.410
3,0:12,1,10,GNB 22,13,31,Josh Jacobs right end for 3 yards (tackle by Mack Wilson),0.410,0.270
4,15:00,2,7,GNB 25,13,31,Josh Jacobs up the middle for 3 yards (tackle by Khyiris Tonga and Dante Stills),0.270,-0.030
4,14:19,3,4,GNB 28,13,31,Jordan Love scrambles left end for 6 yards (tackle by Krys Barnes). Penalty on Krys Barnes: Unnecessary Roughness / Defense 15 yards (accepted),-0.030,2.190
4,13:48,1,10,GNB 49,13,31,Emanuel Wilson left end for 5 yards (tackle by Budda Baker and Naquan Jones),2.190,2.320
4,13:12,2,5,ARI 46,13,31,Emanuel Wilson up the middle for 4 yards (tackle by Krys Barnes and Naquan Jones),2.320,2.150
4,12:56,3,1,ARI 42,13,31,Jordan Love pass incomplete deep left intended for Tucker Kraft. Penalty on Tucker Kraft: Illegal Formation 5 yards (offset) . Penalty on Krys Barnes: Defensive Too Many Men on Field 5 yards (offset) (no play),2.150,2.150
4,12:51,3,1,ARI 42,13,31,Tucker Kraft up the middle for 2 yards (tackle by Krys Barnes),2.150,2.920
4,12:12,1,10,ARI 40,13,31,Josh Jacobs up the middle for 7 yards (tackle by Naquan Jones),2.920,3.320
4,11:33,2,3,ARI 33,13,31,Penalty on Sean Rhyan: False Start 5 yards (accepted) (no play),3.320,2.640
4,11:33,2,8,ARI 38,13,31,Jordan Love pass complete short right to Christian Watson for 10 yards (tackle by Max Melton),2.640,3.710
4,11:04,1,10,ARI 28,13,31,Josh Jacobs left guard for -1 yards (tackle by Dennis Gardeck),3.710,3.030
4,10:21,2,11,ARI 29,13,31,Chris Brooks left guard for 7 yards (tackle by L.J. Collier and Khyiris Tonga),3.030,3.270
