Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
4,1:54,3,9,SFO 9,29,17,Geno Smith pass incomplete short right intended for D.K. Metcalf,3.360,2.830
4,1:49,4,9,SFO 9,29,23,Geno Smith pass complete short middle to Tyler Lockett for 9 yards touchdown,2.830,7.000
4,1:44,,,SFO 15,29,24,Jason Myers kicks extra point good,0.000,0.000
4,1:44,,,SEA 35,29,24,Jason Myers kicks off 64 yards returned by Patrick Taylor for 18 yards (tackle by Brady Russell),0.000,0.150
4,1:39,1,10,SFO 19,29,24,Isaac Guerendo right tackle for 76 yards (tackle by Devon Witherspoon),0.150,6.060
4,1:24,,,,,,Timeout #1 by Seattle Seahawks,,
4,1:24,1,5,SEA 5,29,24,Isaac Guerendo right guard for -1 yards (tackle by Johnathan Hankins),6.060,4.950
4,1:20,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:20,2,6,SEA 6,35,24,Kyle Juszczyk right guard for 6 yards touchdown,4.950,7.000
4,1:17,,,SEA 15,36,24,Matthew Wright kicks extra point good,0.000,0.000
4,1:17,,,SFO 35,36,24,Matthew Wright kicks off 53 yards returned by Dee Williams for 37 yards (tackle by Matthew Wright),0.000,2.190
4,1:11,1,10,SEA 49,36,24,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,2.190,1.650
4,1:04,2,10,SEA 49,36,24,Geno Smith pass incomplete deep right intended for D.K. Metcalf,1.650,0.960
4,0:56,3,10,SEA 49,36,24,Geno Smith pass incomplete deep left intended for Jake Bobo (defended by Fred Warner),0.960,-0.130
4,0:51,4,10,SEA 49,36,24,Geno Smith pass complete short right to Noah Fant for 12 yards (tackle by Deommodore Lenoir),-0.130,2.980
4,0:45,1,10,SFO 39,36,24,Penalty on Jake Bobo: False Start 5 yards (accepted) (no play),2.980,2.650
4,0:45,1,15,SFO 44,36,24,Geno Smith sacked by Sam Okuayinonu for -6 yards,2.650,0.960
4,0:40,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:40,2,21,SEA 50,36,24,Geno Smith pass complete short left to Noah Fant for 11 yards (tackle by Renardo Green),0.960,1.750
4,0:21,3,10,SFO 39,36,24,Geno Smith spiked the ball,1.750,0.660
4,0:20,4,10,SFO 39,36,24,Geno Smith pass incomplete deep right,0.660,-1.530
4,0:11,1,10,SFO 39,36,24,Brock Purdy kneels for -1 yards,1.530,0.850
