Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
4,15:00,4,4,TEN 4,13,17,Matt Gay 22 yard field goal good,3.030,3.000
4,14:57,,,IND 35,13,17,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,14:57,1,10,TEN 30,13,17,Tony Pollard right tackle for 5 yards (tackle by Zaire Franklin),0.940,1.070
4,14:22,2,5,TEN 35,13,17,Tony Pollard right tackle for 4 yards (tackle by Zaire Franklin),1.070,0.890
4,13:42,3,1,TEN 39,13,17,Tony Pollard up the middle for no gain (tackle by Laiatu Latu),0.890,-0.780
4,13:00,4,1,TEN 39,13,17,Ryan Stonehouse punts 51 yards returned by Josh Downs for 15 yards (tackle by Mike Brown),-0.780,-0.610
4,12:50,1,10,IND 25,13,17,Tyler Goodson up the middle for 3 yards (tackle by T'Vondre Sweat),0.610,0.470
4,12:15,2,7,IND 28,13,17,Joe Flacco pass incomplete short left intended for Tyler Goodson,0.470,-0.230
4,12:05,3,7,IND 28,13,17,Joe Flacco pass complete short left to Josh Downs for 7 yards (tackle by L'Jarius Sneed and Roger McCreary) TEN challenged the first down ruling and the play was upheld.,-0.230,1.270
4,11:32,1,10,IND 35,13,17,Joe Flacco pass complete short right to Josh Downs for 11 yards (tackle by Kenneth Murray),1.270,1.990
4,11:08,1,10,IND 46,13,17,Josh Downs left end for -1 yards (tackle by L'Jarius Sneed),1.990,1.320
4,10:22,2,11,IND 45,13,17,Joe Flacco pass incomplete deep left intended for Alec Pierce. Penalty on L'Jarius Sneed: Defensive Pass Interference 33 yards (accepted) (no play),1.320,4.110
4,10:14,1,10,TEN 22,13,17,Joe Flacco pass incomplete deep right intended for Adonai Mitchell,4.110,3.560
4,10:08,2,10,TEN 22,13,17,Joe Flacco pass complete short middle to Josh Downs for 9 yards (tackle by Kenneth Murray and Ernest Jones),3.560,4.390
4,9:28,3,1,TEN 13,13,17,Joe Flacco pass complete short right to Andrew Ogletree for 2 yards (tackle by Amani Hooker),4.390,4.840
4,8:52,1,10,TEN 11,13,17,Trey Sermon right tackle for no gain (tackle by Ernest Jones and Roger McCreary),4.840,4.140
4,8:19,2,10,TEN 11,13,17,Joe Flacco scrambles up the middle for 1 yard (tackle by Harold Landry),4.140,3.300
4,7:32,3,9,TEN 10,19,17,Joe Flacco pass complete short middle to Michael Pittman for 10 yards touchdown,3.300,7.000
4,7:27,,,TEN 15,20,17,Matt Gay kicks extra point good,0.000,0.000
4,7:27,,,IND 35,20,17,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,7:27,1,10,TEN 30,20,17,Will Levis pass incomplete short right intended for Calvin Ridley,0.940,0.390
4,7:21,2,10,TEN 30,20,17,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Samuel Womack),0.390,-0.300
4,7:16,3,10,TEN 30,20,17,Will Levis pass incomplete short left intended for DeAndre Hopkins,-0.300,-1.370
4,7:13,4,10,TEN 30,20,17,Ryan Stonehouse punts 58 yards returned by Josh Downs for 14 yards (tackle by Tre Avery and Otis Reese),-1.370,-0.670
4,7:03,1,10,IND 26,20,17,Tyler Goodson left guard for 4 yards (tackle by Ernest Jones),0.670,0.670
4,6:29,2,6,IND 30,20,17,Trey Sermon left tackle for no gain (tackle by Harold Landry),0.670,-0.030
4,5:53,3,6,IND 30,20,17,Joe Flacco pass incomplete short left intended for Michael Pittman,-0.030,-1.370
4,5:45,4,6,IND 30,20,17,Rigoberto Sanchez punts 51 yards returned by Jha'Quan Jackson for 11 yards (tackle by Ashton Dulin),-1.370,-0.940
4,5:34,1,10,TEN 30,20,17,Tony Pollard right tackle for 1 yard (tackle by Grover Stewart),0.940,0.530
4,5:00,2,9,TEN 31,20,17,Will Levis pass deep right intended for Calvin Ridley is intercepted by Julian Blackmon at IND-37 and returned for no gain,0.530,-1.400
4,4:52,1,10,IND 37,20,17,Trey Sermon left tackle for 3 yards (tackle by Ernest Jones and Sebastian Joseph-Day),1.400,1.260
4,4:14,2,7,IND 40,20,17,Joe Flacco pass incomplete deep right intended for Alec Pierce,1.260,0.560
4,4:03,3,7,IND 40,20,17,Joe Flacco pass incomplete deep left intended for Alec Pierce,0.560,-0.720
4,3:58,4,7,IND 40,20,17,Rigoberto Sanchez punts 54 yards downed by Ashton Dulin,-0.720,0.380
4,3:49,1,10,TEN 6,20,17,Will Levis pass incomplete deep right intended for Calvin Ridley,-0.380,-0.780
4,3:45,2,10,TEN 6,20,17,Tony Pollard up the middle for 8 yards (tackle by E.J. Speed),-0.780,-0.480
4,3:06,3,2,TEN 14,20,17,Will Levis pass complete short right to Tyler Boyd for 8 yards (tackle by Kenny Moore),-0.480,0.410
4,2:38,1,10,TEN 22,20,17,Will Levis pass complete short left to Tyler Boyd for 3 yards (tackle by Jaylon Jones),0.410,0.270
4,2:32,2,7,TEN 25,20,17,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Samuel Womack),0.270,-0.430
4,2:30,3,7,TEN 25,20,17,Will Levis pass incomplete deep left intended for DeAndre Hopkins (defended by Jaylon Jones),-0.430,-1.700
4,2:26,4,7,TEN 25,20,17,Ryan Stonehouse punts 75 yards touchback.,-1.700,-0.280
4,2:18,1,10,IND 20,20,17,Tyler Goodson up the middle for no gain (tackle by Harold Landry),0.280,-0.270
4,2:12,,,,,,Timeout #2 by Tennessee Titans,,
4,2:12,2,10,IND 20,20,17,Joe Flacco pass complete short right to Michael Pittman for 16 yards (tackle by L'Jarius Sneed),-0.270,1.330
4,2:00,1,10,IND 36,20,17,Trey Sermon left end for 4 yards (tackle by Jarvis Brownlee),1.330,1.330
4,1:56,,,,,,Timeout #3 by Tennessee Titans,,
4,1:56,2,6,IND 40,20,17,Trey Sermon left end for -4 yards (tackle by Amani Hooker),1.330,0.100
4,1:07,,,,,,Timeout #1 by Indianapolis Colts,,
4,1:07,3,10,IND 36,20,17,Trey Sermon up the middle for 4 yards (tackle by L'Jarius Sneed),0.100,-0.720
4,0:22,,,,,,Timeout #2 by Indianapolis Colts,,
4,0:22,4,6,IND 40,20,17,Rigoberto Sanchez punts 57 yards out of bounds,-0.720,0.380
4,0:12,1,10,TEN 3,20,17,Will Levis pass complete deep left to DeAndre Hopkins for 16 yards lateral to Chigoziem Okonkwo for 4 yards. Chigoziem Okonkwo fumbles (forced by Dayo Odeyingbo) recovered by Will Levis at TEN-13 (tackle by E.J. Speed),-0.380,-0.220
