Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
4,12:15,2,10,LAC 47,23,0,Bo Nix pass complete short right to Javonte Williams for -2 yards (tackle by Derwin James),1.910,0.960
4,11:37,3,12,LAC 49,23,0,Bo Nix pass complete short left to Courtland Sutton for 10 yards (tackle by Alohi Gilman and AJ Finley),0.960,0.660
4,10:49,,,,,,Timeout #1 by Los Angeles Chargers,,
4,10:49,4,2,LAC 39,23,0,Bo Nix pass complete short middle to Devaughn Vele for 37 yards (tackle by Tarheeb Still and Alohi Gilman),0.660,6.740
4,10:11,1,2,LAC 2,23,6,Bo Nix pass complete short middle to Troy Franklin for 2 yards touchdown,6.740,7.000
4,10:06,,,LAC 15,23,7,Wil Lutz kicks extra point good,0.000,0.000
4,10:06,,,DEN 35,23,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,10:06,1,10,LAC 30,23,7,J.K. Dobbins up the middle for 1 yard (tackle by Cody Barton and Eyioma Uwazurike),0.940,0.530
4,9:24,2,9,LAC 31,23,7,Justin Herbert pass incomplete short middle intended for Ladd McConkey (defended by Brandon Jones),0.530,-0.160
4,9:19,3,9,LAC 31,23,7,Justin Herbert sacked by Justin Strnad for no gain,-0.160,-1.310
4,8:36,4,9,LAC 31,23,7,JK Scott punts 43 yards returned by Marvin Mims for 10 yards (tackle by Hassan Haskins and Simi Fehoko),-1.310,-1.330
4,8:25,1,10,DEN 36,23,7,Bo Nix scrambles right end for 1 yard (tackle by Denzel Perryman),1.330,0.930
4,7:44,2,9,DEN 37,23,7,Bo Nix pass complete deep middle to Courtland Sutton for 20 yards (tackle by Tarheeb Still),0.930,2.720
4,7:16,1,10,LAC 43,23,7,Bo Nix pass complete short middle to Devaughn Vele for 17 yards (tackle by Elijah Molden and Alohi Gilman),2.720,3.840
4,6:54,1,10,LAC 26,23,7,Bo Nix pass incomplete deep left intended for Courtland Sutton,3.840,3.300
4,6:49,2,10,LAC 26,23,7,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Alohi Gilman),3.300,2.610
