Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
4,12:51,2,2,NYG 2,21,3,Kenneth Gainwell right tackle for 1 yard (tackle by Bobby Okereke and Tyler Nubin),5.720,5.170
4,12:16,3,1,NYG 1,21,3,Jalen Hurts up the middle for no gain (tackle by Bobby Okereke and Rakeem Nunez-Roches),5.170,3.550
4,11:31,,,,,,Timeout #1 by Philadelphia Eagles,,
4,11:31,4,1,NYG 1,27,3,Jalen Hurts up the middle for 1 yard touchdown,3.550,7.000
4,11:26,,,NYG 15,28,3,Jake Elliott kicks extra point good,0.000,0.000
4,11:26,,,PHI 35,28,3,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,11:26,1,10,NYG 30,28,3,Drew Lock aborted snap recovered by Drew Lock at NYG-30 Drew Lock pass complete short left to Wan'Dale Robinson for -1 yards (tackle by Cooper DeJean),0.940,0.260
4,10:48,2,11,NYG 29,28,3,Drew Lock pass incomplete short left intended for Wan'Dale Robinson (defended by Josh Sweat),0.260,-0.430
4,10:45,3,11,NYG 29,28,3,Drew Lock pass incomplete deep middle intended for Darius Slayton,-0.430,-1.440
4,10:40,4,11,NYG 29,28,3,Matt Haack punts 37 yards fair catch by Cooper DeJean at PHI-34,-1.440,-1.200
4,10:32,1,10,PHI 34,28,3,Kenneth Gainwell left guard for 2 yards (tackle by Tre Hawkins),1.200,0.930
4,9:48,2,8,PHI 36,28,3,Kenneth Gainwell up the middle for no gain (tackle by Azeez Ojulari and Bobby Okereke),0.930,0.230
4,9:04,,,,,,Timeout #2 by Philadelphia Eagles,,
4,9:04,3,8,PHI 36,28,3,Kenny Pickett pass incomplete short right intended for Parris Campbell,0.230,-0.980
4,9:00,4,8,PHI 36,28,3,Braden Mann punts 47 yards returned by Ihmir Smith-Marsette for no gain (tackle by Kelee Ringo),-0.980,0.060
4,8:52,1,10,NYG 17,28,3,Drew Lock pass incomplete short left intended for Malik Nabers,-0.060,-0.580
4,8:48,2,10,NYG 17,28,3,Drew Lock scrambles up the middle for 13 yards (tackle by Isaiah Rodgers),-0.580,0.940
4,8:23,1,10,NYG 30,28,3,Drew Lock pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Isaiah Rodgers),0.940,0.660
4,7:54,2,8,NYG 32,28,3,Drew Lock pass complete short left to Wan'Dale Robinson for 5 yards (tackle by Jeremiah Trotter),0.660,0.630
4,7:27,3,3,NYG 37,28,3,Drew Lock sacked by Jalyx Hunt for -6 yards. Drew Lock fumbles (forced by Jalyx Hunt) recovered by Greg Van Roten at NYG-31 (tackle by Nolan Smith),0.630,-1.310
4,6:44,4,9,NYG 31,28,3,Matt Haack punts 56 yards fair catch by Cooper DeJean at PHI-13,-1.310,0.320
4,6:37,1,10,PHI 13,28,3,Will Shipley left end for 2 yards (tackle by Tomon Fox and Darius Muasau),-0.320,-0.570
4,5:51,2,8,PHI 15,28,3,Will Shipley up the middle for no gain (tackle by Darius Muasau),-0.570,-1.180
4,5:08,3,8,PHI 15,28,3,Will Shipley up the middle for 5 yards (tackle by Darius Muasau and Elijah Chatman),-1.180,-2.030
4,4:23,4,3,PHI 20,28,3,Braden Mann punts 43 yards out of bounds,-2.030,-1.400
4,4:14,1,10,NYG 37,28,3,Devin Singletary right guard for no gain (tackle by Thomas Booker),1.400,0.860
4,3:42,2,10,NYG 37,28,3,Drew Lock pass incomplete deep right intended for Jalin Hyatt,0.860,0.170
4,3:35,3,10,NYG 37,28,3,Drew Lock pass incomplete deep left intended for Malik Nabers (defended by Sydney Brown),0.170,-0.910
4,3:30,4,10,NYG 37,28,3,Matt Haack punts 55 yards fair catch by Cooper DeJean at PHI-8,-0.910,0.380
4,3:23,1,10,PHI 8,28,3,Will Shipley left tackle for 1 yard (tackle by Darius Muasau),-0.380,-0.710
4,2:40,2,9,PHI 9,28,3,Will Shipley up the middle for 2 yards (tackle by Tomon Fox),-0.710,-1.070
4,2:33,,,,,,Timeout #1 by New York Giants,,
4,2:33,3,7,PHI 11,28,3,Will Shipley left tackle for 2 yards (tackle by D.J. Davidson and Tyler Nubin),-1.070,-2.490
4,2:26,,,,,,Timeout #2 by New York Giants,,
4,2:26,4,5,PHI 13,28,3,Braden Mann punts fair catch by Ihmir Smith-Marsette at NYG-33. Penalty on Tomon Fox: Roughing the Kicker 15 yards (accepted) (no play),-2.490,0.810
4,2:19,1,10,PHI 28,28,3,Will Shipley left tackle for no gain (tackle by Elijah Chatman and Azeez Ojulari),0.810,0.260
4,2:00,2,10,PHI 28,28,3,Kenny Pickett sacked by Tomon Fox for -8 yards,0.260,-1.480
4,1:18,3,18,PHI 20,28,3,Will Shipley right tackle for 3 yards (tackle by Elijah Chatman),-1.480,-1.830
4,0:31,4,15,PHI 23,28,3,Braden Mann punts 58 yards returned by Ihmir Smith-Marsette for 14 yards (tackle by Jack Stoll),-1.830,-1.140
4,0:19,1,10,NYG 33,28,3,Eric Gray left guard for 2 yards (tackle by Thomas Booker and Jeremiah Trotter),1.140,0.860
