Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
4,9:59,2,8,CLE 43,21,6,Dorian Thompson-Robinson pass complete short right to Cedric Tillman for 8 yards (tackle by Geno Stone),1.390,2.320
4,9:26,1,10,CIN 49,21,6,Dorian Thompson-Robinson pass incomplete short right intended for Jerry Jeudy (defended by B.J. Hill),2.320,1.780
4,9:22,2,10,CIN 49,21,6,Dorian Thompson-Robinson pass complete short left to David Njoku for 5 yards (tackle by Sheldon Rankins and Germaine Pratt),1.780,1.750
4,8:50,3,5,CIN 44,21,6,Dorian Thompson-Robinson pass incomplete short middle. Penalty on Dorian Thompson-Robinson: Intentional Grounding 10 yards (accepted) . Penalty on Jedrick Wills: Illegal Touch Pass 5 yards (declined),1.750,-0.320
4,8:43,4,15,CLE 46,21,6,Corey Bojorquez punts 51 yards downed by Tony Brown,-0.320,0.380
4,8:34,1,10,CIN 3,21,6,Chase Brown right tackle for -1 yards (tackle by Isaiah McGuire and Jordan Hicks),-0.380,-0.850
4,7:53,2,11,CIN 2,21,6,Chase Brown up the middle for 11 yards (tackle by Juan Thornhill),-0.850,-0.320
4,7:00,1,10,CIN 13,21,6,Zack Moss right end for -1 yards (tackle by Dalvin Tomlinson and Isaiah McGuire),-0.320,-0.850
4,6:28,2,11,CIN 12,21,6,Chase Brown up the middle for 4 yards (tackle by Isaiah McGuire and Jeremiah Owusu-Koramoah),-0.850,-1.060
4,5:40,,,,,,Timeout #2 by Cincinnati Bengals,,
4,5:40,3,7,CIN 16,21,6,Chase Brown right guard for 3 yards (tackle by Jeremiah Owusu-Koramoah),-1.060,-2.140
4,4:57,4,4,CIN 19,21,6,Ryan Rehkow punts 43 yards returned by Jaelon Darden for 14 yards (tackle by Tanner Hudson),-2.140,-2.390
4,4:50,1,10,CIN 48,21,6,Dorian Thompson-Robinson pass incomplete short left,2.390,1.850
4,4:43,2,10,CIN 48,21,6,Dorian Thompson-Robinson pass complete short left to Cedric Tillman for 3 yards (tackle by Cam Taylor-Britt),1.850,1.550
4,4:17,3,7,CIN 45,21,6,Dorian Thompson-Robinson pass deep right intended for Jerry Jeudy is intercepted by Geno Stone at CIN-21 and returned for 49 yards (tackle by David Njoku),1.550,-3.580
4,4:03,1,10,CLE 30,21,6,Chase Brown left guard for no gain (tackle by Myles Garrett and Jordan Hicks),3.580,3.030
4,3:58,,,,,,Timeout #1 by Cleveland Browns,,
4,3:58,2,10,CLE 30,21,6,Chase Brown left guard for -3 yards (tackle by Myles Garrett and Isaiah McGuire),3.030,1.950
4,3:52,,,,,,Timeout #2 by Cleveland Browns,,
4,3:52,3,13,CLE 33,21,6,Chase Brown right tackle for 1 yard (tackle by Myles Garrett),1.950,1.240
4,3:48,,,,,,Timeout #3 by Cleveland Browns,,
4,3:48,4,12,CLE 32,21,6,Evan McPherson 50 yard field goal no good,1.240,-1.600
4,3:43,1,10,CLE 40,21,6,Jameis Winston pass incomplete short left intended for Pierre Strong (defended by Trey Hendrickson),1.600,1.050
4,3:39,2,10,CLE 40,21,6,Jameis Winston pass complete short right to David Njoku for 4 yards (tackle by Mike Hilton and Akeem Davis-Gaither),1.050,0.890
4,3:15,3,6,CLE 44,21,6,Jameis Winston pass complete deep right to Jerry Jeudy for 18 yards (tackle by DJ Turner),0.890,3.050
4,2:52,1,10,CIN 38,21,6,Jameis Winston pass incomplete short right intended for Jerry Jeudy,3.050,2.510
4,2:42,2,10,CIN 38,21,6,Jameis Winston pass incomplete short left intended for Jerry Jeudy,2.510,1.820
4,2:38,3,10,CIN 38,21,6,Penalty on CLE: False Start 5 yards (accepted) (no play),1.820,1.160
4,2:38,3,15,CIN 43,21,6,Jameis Winston pass complete deep right to Cedric Tillman for 25 yards (tackle by Germaine Pratt),1.160,4.370
4,2:13,1,10,CIN 18,21,6,Jameis Winston pass incomplete deep middle intended for Cedric Tillman (defended by Vonn Bell),4.370,3.800
4,2:09,2,10,CIN 18,21,6,Jameis Winston pass incomplete deep right intended for Jerry Jeudy,3.800,3.050
4,2:04,3,10,CIN 18,21,6,Jameis Winston pass complete short left to Elijah Moore for 12 yards (tackle by Logan Wilson and Mike Hilton),3.050,5.830
4,1:59,1,6,CIN 6,21,6,Jameis Winston pass incomplete short middle intended for David Njoku (defended by Jordan Battle),5.830,4.950
4,1:54,2,6,CIN 6,21,6,Jameis Winston sacked by Trey Hendrickson for -2 yards,4.950,3.580
4,1:32,3,8,CIN 8,21,12,Jameis Winston pass complete short left to David Njoku for 8 yards touchdown,3.580,7.000
4,1:27,,,CIN 2,21,14,Two Point Attempt: Jameis Winston pass complete to to Cedric Tillman for no gain,1.000,1.000
4,1:27,,,,,,Timeout #3 by Cincinnati Bengals,,
4,1:27,,,CLE 35,21,14,Dustin Hopkins kicks onside 8 yards returned by Mike Gesicki for no gain,0.000,2.720
4,1:26,1,10,CLE 43,21,14,Joe Burrow kneels for -1 yards,2.720,2.040
4,0:52,2,11,CLE 44,21,14,Joe Burrow kneels for -1 yards,2.040,1.220
4,0:33,3,12,CLE 45,21,14,Joe Burrow kneels for -1 yards,1.220,0.200
