Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
4,8:16,1,10,LAC 24,12,14,Justin Herbert pass complete short middle to Will Dissly for 12 yards (tackle by Budda Baker),0.540,1.330
4,7:49,1,10,LAC 36,12,14,Justin Herbert pass complete short left to Ladd McConkey for 4 yards (tackle by Garrett Williams),1.330,1.330
4,7:10,2,6,LAC 40,12,14,Justin Herbert pass complete short middle to Ladd McConkey for 21 yards (tackle by Starling Thomas and Jalen Thompson),1.330,2.980
4,6:28,1,10,ARI 39,12,14,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Max Melton),2.980,3.660
4,5:45,2,1,ARI 30,12,14,J.K. Dobbins up the middle for no gain (tackle by Jesse Luketa),3.660,2.940
4,5:06,3,1,ARI 30,12,14,Hassan Haskins left tackle for no gain (tackle by Kyzir White and Mack Wilson),2.940,1.520
4,4:11,4,1,ARI 30,12,14,Hassan Haskins up the middle for 2 yards (tackle by Jesse Luketa),1.520,3.710
4,3:32,1,10,ARI 28,12,14,J.K. Dobbins right end for 2 yards (tackle by Budda Baker),3.710,3.440
4,2:49,2,8,ARI 26,12,14,Justin Herbert scrambles right end for 4 yards (tackle by Kyzir White),3.440,3.270
4,2:03,3,4,ARI 22,12,14,Justin Herbert pass incomplete deep right intended for Simi Fehoko,3.270,2.070
4,1:58,4,4,ARI 22,15,14,Cameron Dicker 40 yard field goal good,2.070,3.000
4,1:54,,,LAC 35,15,14,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,1:54,1,10,ARI 30,15,14,Kyler Murray pass incomplete short left intended for Michael Wilson,0.940,0.390
4,1:51,2,10,ARI 30,15,14,Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Cam Hart: Unnecessary Roughness / Defense 15 yards (accepted) (no play),0.390,1.930
4,1:45,1,10,ARI 45,15,14,Kyler Murray pass complete short middle to James Conner for 33 yards (tackle by Derwin James),1.930,4.110
4,1:34,1,10,LAC 22,15,14,James Conner right tackle for 5 yards (tackle by Derwin James),4.110,4.290
4,1:29,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:29,2,5,LAC 17,15,14,James Conner left tackle for 6 yards (tackle by Junior Colson and Cam Hart),4.290,4.840
4,1:19,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:19,1,10,LAC 11,15,14,Kyler Murray kneels for -1 yards,4.840,3.980
4,0:37,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:37,2,11,LAC 12,15,14,Kyler Murray kneels for -2 yards,3.980,3.030
4,0:02,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:02,3,13,LAC 14,15,17,Chad Ryland 32 yard field goal good,3.030,3.000
