Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
4,13:47,2,6,NYJ 12,15,23,Najee Harris right guard for 7 yards (tackle by Isaiah Oliver and Jamien Sherwood),4.570,6.060
4,13:05,1,5,NYJ 5,15,23,Najee Harris left tackle for 1 yard (tackle by Jamien Sherwood and Takkarist McKinley),6.060,5.340
4,12:20,2,4,NYJ 4,15,23,Russell Wilson pass incomplete short left intended for George Pickens,5.340,4.490
4,12:13,3,4,NYJ 4,15,29,Russell Wilson pass complete short right to Van Jefferson for 4 yards touchdown,4.490,7.000
4,12:09,,,NYJ 15,15,30,Chris Boswell kicks extra point good,0.000,0.000
4,12:09,,,PIT 35,15,30,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,12:09,1,10,NYJ 30,15,30,Breece Hall left tackle for -1 yards (tackle by Joey Porter),0.940,0.260
4,11:40,2,11,NYJ 29,15,30,Penalty on Garrett Wilson: False Start 5 yards (accepted) (no play),0.260,-0.420
4,11:40,2,16,NYJ 24,15,30,Aaron Rodgers pass complete short left to Breece Hall for 4 yards (tackle by DeShon Elliott),-0.420,-0.560
4,11:00,3,12,NYJ 28,15,30,Aaron Rodgers pass complete deep middle to Allen Lazard for 19 yards (tackle by Minkah Fitzpatrick),-0.560,2.060
4,10:26,1,10,NYJ 47,15,30,Aaron Rodgers pass complete short right to Tyler Conklin for 1 yard (tackle by Payton Wilson),2.060,1.650
4,9:44,2,9,NYJ 48,15,30,Penalty on Tyron Smith: False Start 5 yards (accepted) (no play),1.650,0.980
4,9:44,2,14,NYJ 43,15,30,Aaron Rodgers pass complete short middle to Garrett Wilson for 27 yards (tackle by Beanie Bishop and Payton Wilson),0.980,3.580
4,9:00,1,10,PIT 30,15,30,Aaron Rodgers pass complete short left to Tyler Conklin for 5 yards (tackle by James Pierre and Payton Wilson),3.580,3.710
4,8:22,2,5,PIT 25,15,30,Aaron Rodgers pass incomplete short middle intended for Breece Hall (defended by Keeanu Benton),3.710,3.010
4,8:16,3,5,PIT 25,15,30,Aaron Rodgers pass complete short middle to Tyler Conklin for no gain (tackle by DeShon Elliott),3.010,1.850
4,7:56,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,7:56,4,5,PIT 25,15,30,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Keeanu Benton),1.850,-0.610
4,7:53,1,10,PIT 25,15,30,Najee Harris left guard for no gain (tackle by Micheal Clemons and Brandin Echols),0.610,0.060
4,7:17,2,10,PIT 25,15,30,Russell Wilson pass complete deep left to Calvin Austin for 36 yards (tackle by Brandin Echols),0.060,2.980
4,6:37,1,10,NYJ 39,15,30,Najee Harris up the middle for 4 yards (tackle by Leki Fotu),2.980,2.980
4,5:51,2,6,NYJ 35,15,30,Najee Harris right tackle for 2 yards (tackle by Jamien Sherwood and C.J. Mosley),2.980,2.540
4,5:07,3,4,NYJ 33,15,30,Jaylen Warren left end for 5 yards (tackle by Jamien Sherwood),2.540,3.710
4,4:22,1,10,NYJ 28,15,30,Jaylen Warren right guard for -1 yards (tackle by Javon Kinlaw),3.710,3.030
4,3:43,2,11,NYJ 29,15,30,Jaylen Warren left end for 7 yards (tackle by Eric Watts),3.030,3.270
4,3:28,,,,,,Timeout #2 by New York Jets,,
4,3:28,3,4,NYJ 22,15,30,Jaylen Warren left guard for 3 yards (tackle by Jamien Sherwood and Leonard Taylor) PIT challenged the short of the line to gain ruling and the play was upheld.,3.270,2.340
4,2:44,4,1,NYJ 19,15,30,Russell Wilson up the middle for 1 yard (tackle by Javon Kinlaw) NYJ challenged the first down ruling and the play was upheld.,2.340,4.370
4,2:29,1,10,NYJ 18,15,30,Najee Harris left end for 3 yards (tackle by Jalen Mills),4.370,4.250
4,2:00,2,7,NYJ 15,15,30,Najee Harris right tackle for 5 yards (tackle by Isaiah Oliver and Kendall Sheffield),4.250,4.510
4,1:15,3,2,NYJ 10,15,30,Jaylen Warren left tackle for no gain (tackle by Quincy Williams),4.510,2.890
4,0:30,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:30,4,2,NYJ 10,15,36,Najee Harris left guard for 10 yards touchdown,2.890,7.000
4,0:26,,,NYJ 15,15,37,Chris Boswell kicks extra point good,0.000,0.000
4,0:26,,,PIT 35,15,37,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,0:26,1,10,NYJ 30,15,37,Isaiah Davis right guard for 12 yards (tackle by DeShon Elliott and Payton Wilson),0.940,1.730
