Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
3,7:10,1,10,MIN 25,21,17,Jared Goff pass complete short left to Jameson Williams for -4 yards (tackle by Andrew Van Ginkel),3.910,2.820
3,6:36,2,14,MIN 29,21,17,David Montgomery up the middle for 8 yards (tackle by Patrick Jones),2.820,3.200
3,5:50,3,6,MIN 21,27,17,Jared Goff pass complete short left to Kalif Raymond for 21 yards touchdown,3.200,7.000
3,5:43,,,MIN 15,28,17,Jake Bates kicks extra point good,0.000,0.000
3,5:43,,,DET 35,28,17,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,5:43,1,10,MIN 30,28,17,Sam Darnold pass complete deep left to Johnny Mundt for no gain (tackle by Malcolm Rodriguez). Penalty on Ty Chandler: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
3,5:14,1,20,MIN 20,28,17,Sam Darnold pass complete short left to Josh Oliver for 5 yards (tackle by Alex Anzalone),0.280,-0.280
3,4:40,2,15,MIN 25,28,17,Sam Darnold pass complete deep right to Jalen Nailor for 33 yards (tackle by Kerby Joseph),-0.280,2.790
3,3:52,1,10,DET 42,28,17,Sam Darnold scrambles left end for no gain (tackle by Terrion Arnold). Penalty on Jordan Addison: Offensive Offside 5 yards (accepted) (no play),2.790,2.460
3,3:23,1,15,DET 47,28,17,Ty Chandler left guard for 3 yards (tackle by Jack Campbell),2.460,1.970
3,2:40,2,12,DET 44,28,17,Sam Darnold pass complete short left to Johnny Mundt for 3 yards (tackle by Alex Anzalone),1.970,1.680
3,1:56,3,9,DET 41,28,17,Sam Darnold pass complete short left to Aaron Jones for 17 yards (tackle by Malcolm Rodriguez),1.680,3.970
3,1:09,1,10,DET 24,28,17,Aaron Jones left tackle for 3 yards (tackle by Jack Campbell and Malcolm Rodriguez),3.970,3.840
3,0:31,2,7,DET 21,28,17,Sam Darnold sacked by Josh Paschal for -8 yards,3.840,2.080
4,15:00,3,15,DET 29,28,17,Sam Darnold scrambles right end for 5 yards (tackle by Amik Robertson),2.080,1.870
4,14:28,4,10,DET 24,28,20,Will Reichard 42 yard field goal good,1.870,3.000
4,14:24,,,MIN 35,28,20,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,14:24,1,10,DET 30,28,20,Jahmyr Gibbs left tackle for 5 yards (tackle by Andrew Van Ginkel),0.940,1.070
4,13:47,2,5,DET 35,28,20,Jahmyr Gibbs right tackle for 3 yards (tackle by Harrison Phillips),1.070,0.760
4,13:10,3,2,DET 38,28,20,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 16 yards (tackle by Harrison Smith),0.760,2.520
4,12:30,1,10,MIN 46,28,20,Jahmyr Gibbs left tackle for 2 yards (tackle by Shaquill Griffin and Ivan Pace),2.520,2.250
4,11:52,2,8,MIN 44,28,20,Jared Goff sacked by Jonathan Greenard for -10 yards. Jared Goff fumbles (forced by Jonathan Greenard) recovered by Jared Goff at DET-46 (tackle by Jonathan Greenard),2.250,0.230
4,11:04,3,18,DET 46,28,20,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Josh Metellus and Ivan Pace),0.230,0.130
4,10:20,4,11,MIN 47,28,20,Jack Fox punts 38 yards downed by Kindle Vildor,0.130,0.380
4,10:10,1,10,MIN 9,28,20,Sam Darnold pass complete deep right to Jordan Addison for 51 yards (tackle by Brian Branch),-0.380,2.920
4,9:22,1,10,DET 40,28,20,Sam Darnold pass complete short right to Aaron Jones for -6 yards (tackle by Alex Anzalone),2.920,1.560
4,8:46,2,16,DET 46,28,20,Sam Darnold scrambles right end for 9 yards (tackle by Brian Branch). Penalty on Carlton Davis: Illegal Contact 5 yards (accepted),1.560,3.450
4,8:19,1,10,DET 32,28,20,Justin Jefferson left end for 3 yards (tackle by Alex Anzalone and Pat O'Connor),3.450,3.310
4,7:33,2,7,DET 29,28,20,Sam Darnold sacked by Jack Campbell for no gain,3.310,2.610
4,6:48,3,7,DET 29,28,20,Sam Darnold sacked by Malcolm Rodriguez for -1 yards,2.610,1.410
4,6:09,4,8,DET 30,28,23,Will Reichard 48 yard field goal good,1.410,3.000
4,6:04,,,MIN 35,28,23,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,6:04,1,10,DET 30,28,23,Jared Goff pass incomplete short middle intended for David Montgomery (defended by Jonathan Bullard),0.940,0.390
