Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
2,9:43,3,17,MIA 43,3,17,Geno Smith pass complete short right to Pharaoh Brown for 9 yards (tackle by David Long and Storm Duck),1.020,1.060
2,9:03,4,8,MIA 34,3,17,Jason Myers 53 yard field goal no good,1.060,-1.800
2,8:58,1,10,MIA 43,3,17,Jaylen Wright left guard for 8 yards (tackle by Boye Mafe),1.800,2.330
2,8:31,2,2,SEA 49,3,17,De'Von Achane up the middle for 13 yards (tackle by Boye Mafe and Devon Witherspoon),2.330,3.180
2,7:53,1,10,SEA 36,3,17,Skylar Thompson sacked by Derick Hall for -8 yards,3.180,1.560
2,7:09,2,18,SEA 44,3,17,Skylar Thompson pass complete short right to Jaylen Waddle for 5 yards (tackle by Devon Witherspoon),1.560,1.550
2,6:28,3,13,SEA 39,3,17,Skylar Thompson pass incomplete short left intended for Tyreek Hill,1.550,0.660
2,6:27,4,13,SEA 39,3,17,Jake Bailey punts 39 yards touchback.,0.660,-0.280
2,6:19,1,10,SEA 20,3,17,Geno Smith pass complete short middle to Tyler Lockett for 17 yards (tackle by Jordan Poyer),0.280,1.400
2,5:40,1,10,SEA 37,3,17,Geno Smith sacked by Zach Sieler for -7 yards,1.400,-0.090
2,5:02,2,17,SEA 30,3,17,Zach Charbonnet up the middle for 1 yard (tackle by Chop Robinson),-0.090,-0.620
2,4:20,3,16,SEA 31,3,17,Geno Smith pass incomplete short right intended for Pharaoh Brown (defended by Jaelan Phillips),-0.620,-1.310
2,4:13,4,16,SEA 31,3,17,Michael Dickson punts 61 yards returned by Braxton Berrios for 44 yards (tackle by Michael Dickson),-1.310,-2.390
2,4:00,1,10,SEA 48,3,17,Skylar Thompson pass complete short right to Alec Ingold for 4 yards (tackle by Tyrel Dodson),2.390,2.390
2,3:14,2,6,SEA 44,3,17,Skylar Thompson pass incomplete deep right intended for Tanner Conner,2.390,1.690
2,3:07,3,6,SEA 44,3,17,Penalty on Liam Eichenberg: False Start 5 yards (accepted) (no play),1.690,1.030
2,3:07,3,11,SEA 49,3,17,Skylar Thompson sacked by Boye Mafe for -8 yards. Penalty on Austin Jackson: Illegal Formation 5 yards (declined),1.030,-0.520
2,2:56,4,19,MIA 43,3,17,Jake Bailey punts returned by Dee Williams for no gain (tackle by Elijah Campbell). Penalty on Julian Hill: Illegal Formation 5 yards (accepted) (no play),-0.520,-0.850
2,2:33,4,24,MIA 38,3,17,Jake Bailey punts 57 yards downed by Alec Ingold. Penalty on Duke Riley: Unnecessary Roughness / Offense 15 yards (accepted) (no play),-0.850,-1.830
2,2:33,4,39,MIA 23,3,17,Jake Bailey punts 46 yards returned by Dee Williams for 11 yards (tackle by Siran Neal and Alec Ingold),-1.830,-1.730
2,2:24,1,10,SEA 42,3,17,Zach Charbonnet left guard for no gain (tackle by Jevon Holland). Penalty on Connor Williams: Offensive Holding 10 yards (accepted) (no play),1.730,1.070
2,2:00,1,20,SEA 32,3,17,Geno Smith pass complete short right to Tyler Lockett for -2 yards (tackle by Jalen Ramsey),1.070,-0.430
2,1:16,2,22,SEA 30,3,17,Zach Charbonnet left guard for 5 yards (tackle by Jordan Poyer and Storm Duck),-0.430,-0.430
2,1:09,,,,,,Timeout #2 by Miami Dolphins,,
2,1:09,3,17,SEA 35,3,17,Penalty on Connor Williams: False Start 5 yards (accepted) (no play),-0.430,-1.090
2,1:09,3,22,SEA 30,3,17,Zach Charbonnet right guard for 3 yards (tackle by Emmanuel Ogbah),-1.090,-1.180
2,1:01,,,,,,Timeout #3 by Miami Dolphins,,
2,1:01,4,19,SEA 33,3,17,Michael Dickson punts 44 yards out of bounds,-1.180,-0.480
2,0:55,1,10,MIA 23,3,17,Skylar Thompson pass complete deep left to Tyreek Hill for 17 yards (tackle by Tre Brown),0.480,1.600
2,0:33,1,10,MIA 40,3,17,Skylar Thompson pass complete short right to De'Von Achane for 1 yard (tackle by Derick Hall),1.600,1.190
2,0:11,2,9,MIA 41,3,17,Skylar Thompson pass complete short right to Jonnu Smith for 5 yards (tackle by Rayshawn Jenkins),1.190,1.160
2,0:08,3,4,MIA 46,3,17,Skylar Thompson pass incomplete deep left intended for Jonnu Smith (defended by Coby Bryant). Penalty on Riq Woolen: Illegal Contact 5 yards (accepted) (no play),1.160,2.320
2,0:00,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:00,1,10,SEA 49,3,17,Skylar Thompson sacked by Derick Hall for no gain. Skylar Thompson fumbles ball out of bounds at SEA-49 (forced by Derick Hall). Skylar Thompson fumbles out of bounds,2.320,1.780
3,15:00,,,SEA 35,3,17,Jason Myers kicks off 69 yards returned by D'Wayne Eskridge for 28 yards (tackle by Mike Morris). Penalty on Alec Ingold: Illegal Formation 5 yards (accepted),0.000,0.150
3,14:54,1,10,MIA 19,3,17,Skylar Thompson pass complete short middle to Alec Ingold for 6 yards (tackle by Tyrice Knight),0.150,0.480
3,14:17,2,4,MIA 25,3,17,De'Von Achane left end for 2 yards (tackle by Julian Love and Jarran Reed),0.480,-0.030
3,13:30,3,2,MIA 27,3,17,Skylar Thompson sacked by Tyrel Dodson for -7 yards,-0.030,-2.030
3,12:52,4,9,MIA 20,3,17,Jake Bailey punts 49 yards returned by Dee Williams for 8 yards (tackle by Elijah Campbell and Julian Hill),-2.030,-1.530
3,12:37,1,10,SEA 39,3,17,Zach Charbonnet left guard for 2 yards (tackle by Jordan Poyer and Storm Duck),1.530,1.260
3,12:01,2,8,SEA 41,3,17,Geno Smith pass complete short right to D.K. Metcalf for 2 yards (tackle by Storm Duck and Jaelan Phillips),1.260,0.830
3,11:28,3,6,SEA 43,3,17,Geno Smith sacked by Calais Campbell for -7 yards,0.830,-0.980
3,10:40,4,13,SEA 36,3,17,Michael Dickson punts fair catch by Braxton Berrios at MIA-17. Penalty on Patrick O'Connell: Illegal Formation 5 yards (offset) . Penalty on Jalen Ramsey: Offensive Holding 10 yards (offset) (no play),-0.980,-0.980
3,10:33,4,13,SEA 36,3,17,Michael Dickson punts 41 yards fair catch by Braxton Berrios at MIA-23,-0.980,-0.480
3,10:26,1,10,MIA 23,3,17,Skylar Thompson pass complete deep middle to Tyreek Hill for 17 yards (tackle by Tre Brown),0.480,1.600
3,9:46,1,10,MIA 40,3,17,Skylar Thompson pass complete short left to De'Von Achane for 5 yards (tackle by Tyrice Knight),1.600,1.730
3,9:24,2,5,MIA 45,3,17,Jeff Wilson left guard for 4 yards (tackle by Dre'Mont Jones),1.730,1.550
3,8:48,3,1,MIA 49,3,17,Alec Ingold right guard for -2 yards. Alec Ingold fumbles recovered by Jeff Wilson at MIA-47,1.550,-0.260
3,8:02,,,,,,Timeout #1 by Miami Dolphins,,
3,8:02,4,3,MIA 47,3,17,Tim Boyle pass incomplete short left intended for Braxton Berrios (defended by Riq Woolen),-0.260,-2.520
3,7:59,1,10,MIA 46,3,17,Zach Charbonnet left tackle for no gain (tackle by Jordan Poyer and Duke Riley). Penalty on Pharaoh Brown: Offensive Holding 10 yards (accepted) (no play),2.520,1.860
3,7:37,1,20,SEA 44,3,17,Geno Smith pass incomplete short right intended for D.K. Metcalf,1.860,0.630
3,7:29,2,20,SEA 44,3,17,Geno Smith pass incomplete deep left intended for D.K. Metcalf,0.630,-0.030
3,7:24,3,20,SEA 44,3,17,Penalty on Anthony Bradford: False Start 5 yards (accepted) (no play),-0.030,-0.690
3,7:24,3,25,SEA 39,3,17,Zach Charbonnet up the middle for 12 yards (tackle by Jordyn Brooks and Marcus Maye),-0.690,0.000
3,6:41,4,13,MIA 49,3,17,Michael Dickson punts 49 yards touchback.,0.000,-0.280
3,6:32,1,10,MIA 20,3,17,De'Von Achane right end for no gain (tackle by K'Von Wallace). Penalty on Julian Hill: Offensive Holding 10 yards (accepted) (no play),0.280,-0.760
3,6:08,1,20,MIA 10,3,17,Tim Boyle pass complete short right to Jaylen Waddle for 3 yards (tackle by Mike Morris),-0.760,-1.280
3,5:32,2,17,MIA 13,3,17,Tim Boyle pass complete short left to Tyreek Hill for 6 yards (tackle by Derick Hall),-1.280,-1.140
3,4:55,3,11,MIA 19,3,17,Jeff Wilson left guard for 10 yards (tackle by Rayshawn Jenkins),-1.140,-1.440
3,4:14,4,1,MIA 29,3,17,Jake Bailey punts 53 yards fair catch by Dee Williams at SEA-18,-1.440,-0.040
3,4:05,1,10,SEA 18,3,17,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by David Long),0.040,0.410
3,3:48,2,4,SEA 24,3,17,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Kader Kohou),0.410,0.940
3,3:30,1,10,SEA 30,3,17,Geno Smith pass complete short middle to Noah Fant for 15 yards (tackle by Jordyn Brooks),0.940,1.930
3,2:49,1,10,SEA 45,3,17,Geno Smith pass complete short middle to Zach Charbonnet for 8 yards (tackle by Jevon Holland),1.930,2.460
3,2:10,2,2,MIA 47,3,17,Geno Smith pass complete short right to AJ Barner for 8 yards (tackle by Jordyn Brooks and Jalen Ramsey),2.460,2.980
