Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
4,9:42,,,WAS 2,31,26,Two Point Attempt: Joe Burrow pass incomplete intended for intended for Tee Higgins,1.000,-1.000
4,9:42,,,CIN 35,31,26,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
4,9:42,1,10,WAS 30,31,26,Penalty on Zach Ertz: False Start 5 yards (accepted) (no play),0.940,0.610
4,9:42,1,15,WAS 25,31,26,Jayden Daniels pass complete short middle to Zach Ertz for 4 yards. Zach Ertz fumbles (forced by Germaine Pratt) recovered by Nick Allegretti at WAS-31,0.610,0.530
4,9:11,2,9,WAS 31,31,26,Jayden Daniels pass complete short left to Zach Ertz for 12 yards (tackle by Vonn Bell),0.530,1.800
4,8:32,1,10,WAS 43,31,26,Brian Robinson left end for 6 yards (tackle by Zachary Carter),1.800,2.060
4,7:59,2,4,WAS 49,31,26,Jayden Daniels right end for 2 yards (tackle by Logan Wilson),2.060,1.620
4,7:18,3,2,CIN 49,31,26,Jayden Daniels pass complete short right to Terry McLaurin for 4 yards (tackle by Geno Stone),1.620,2.590
4,6:38,1,10,CIN 45,31,26,Penalty on Dyami Brown: False Start 5 yards (accepted) (no play),2.590,2.260
4,6:38,1,15,CIN 50,31,26,Jayden Daniels sacked by Trey Hendrickson for -5 yards,2.260,0.690
4,5:56,2,20,WAS 45,31,26,Jayden Daniels pass complete short right to Dyami Brown for 8 yards (tackle by Geno Stone),0.690,1.090
4,5:09,3,12,CIN 47,31,26,Jayden Daniels pass complete short right to Dyami Brown for 8 yards (tackle by Cam Taylor-Britt and Joseph Ossai),1.090,0.660
4,4:26,4,4,CIN 39,31,26,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Vonn Bell),0.660,3.580
4,3:43,1,10,CIN 30,31,26,Brian Robinson right end for 1 yard (tackle by Zachary Carter),3.580,3.170
4,2:59,2,9,CIN 29,31,26,Brian Robinson right guard for 2 yards (tackle by Sam Hubbard),3.170,2.740
4,2:15,,,,,,Timeout #3 by Washington Commanders,,
4,2:15,3,7,CIN 27,37,26,Jayden Daniels pass complete deep right to Terry McLaurin for 27 yards touchdown,2.740,7.000
4,2:10,,,CIN 15,38,26,Austin Seibert kicks extra point good,0.000,0.000
4,2:10,,,WAS 35,38,26,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
4,2:10,1,10,CIN 30,38,26,Joe Burrow pass complete short right to Mike Gesicki for 12 yards (tackle by Bobby Wagner and Noah Igbinoghene),0.940,1.730
4,2:00,1,10,CIN 42,38,26,Joe Burrow pass complete short right to Zack Moss for 13 yards (tackle by Bobby Wagner),1.730,2.590
4,1:36,1,10,WAS 45,38,26,Joe Burrow pass complete short left to Zack Moss for no gain (tackle by Bobby Wagner),2.590,2.040
4,1:13,2,10,WAS 45,38,26,Joe Burrow pass complete short right to Andrei Iosivas for 13 yards (tackle by Noah Igbinoghene and Percy Butler),2.040,3.450
4,1:05,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:05,1,10,WAS 32,38,26,Joe Burrow pass incomplete deep right intended for Tee Higgins,3.450,2.900
4,0:59,2,10,WAS 32,38,26,Joe Burrow pass complete short left to Andrei Iosivas for 13 yards,2.900,4.310
4,0:53,1,10,WAS 19,38,26,Joe Burrow pass incomplete deep right intended for Andrei Iosivas. Penalty on Noah Igbinoghene: Defensive Pass Interference 18 yards (accepted) (no play),4.310,6.970
4,0:46,1,1,WAS 1,38,26,Joe Burrow pass incomplete short right intended for Tee Higgins,6.970,5.910
4,0:43,2,1,WAS 1,38,32,Zack Moss right guard for 1 yard touchdown,5.910,7.000
4,0:40,,,WAS 15,38,33,Evan McPherson kicks extra point good,0.000,0.000
4,0:40,,,CIN 35,38,33,Evan McPherson kicks onside 6 yards returned by Olamide Zaccheaus for no gain. Penalty on Andrei Iosivas: Illegal Formation 5 yards (accepted),0.000,3.180
4,0:39,1,10,CIN 36,38,33,Jayden Daniels kneels for -1 yards,3.180,2.500
