Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA
4,6:48,1,10,ARI 7,20,10,Kyler Murray pass complete short left to Michael Wilson for 4 yards (tackle by Malcolm Rodriguez),-0.380,-0.490
4,6:28,2,6,ARI 11,20,10,Kyler Murray pass complete short right to Greg Dortch for 9 yards (tackle by Mekhi Wingo and Jack Campbell),-0.490,0.280
4,6:06,1,10,ARI 20,20,10,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Brian Branch),0.280,0.950
4,5:48,2,1,ARI 29,20,10,Kyler Murray pass complete deep right to Michael Wilson for 28 yards (tackle by Carlton Davis),0.950,2.720
4,5:21,1,10,DET 43,20,10,Kyler Murray pass complete short left to Elijah Higgins for 11 yards (tackle by Amik Robertson),2.720,3.450
4,5:03,1,10,DET 32,20,10,Kyler Murray sacked by Aidan Hutchinson for -7 yards,3.450,1.960
4,4:37,2,17,DET 39,20,10,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Terrion Arnold),1.960,1.290
4,4:33,3,17,DET 39,20,10,Kyler Murray pass complete short middle to Greg Dortch for 13 yards (tackle by Amik Robertson),1.290,1.810
4,3:52,4,4,DET 26,20,13,Matt Prater 45 yard field goal good,1.810,3.000
4,3:48,,,ARI 35,20,13,Matt Prater kicks off 65 yards touchback.,0.000,0.940
4,3:48,1,10,DET 30,20,13,David Montgomery left tackle for 4 yards (tackle by Roy Lopez and Dennis Gardeck),0.940,0.930
4,3:02,2,6,DET 34,20,13,Penalty on Penei Sewell: False Start 5 yards (accepted) (no play),0.930,0.260
4,3:02,2,11,DET 29,20,13,David Montgomery right tackle for -1 yards (tackle by Zaven Collins),0.260,-0.560
4,2:18,3,12,DET 28,20,13,Jared Goff pass complete deep right to Amon-Ra St. Brown for 18 yards (tackle by Sean Murphy-Bunting),-0.560,1.990
4,2:00,1,10,DET 46,20,13,David Montgomery left tackle for 3 yards (tackle by Mack Wilson and Dante Stills),1.990,1.860
4,1:56,,,,,,Timeout #3 by Arizona Cardinals,,
4,1:56,2,7,DET 49,20,13,Jared Goff scrambles right end for 8 yards (tackle by Budda Baker),1.860,2.720
4,1:13,1,10,ARI 43,20,13,Jared Goff kneels for -1 yards,2.720,2.040
4,0:39,2,11,ARI 44,20,13,Jared Goff kneels for -1 yards,2.040,1.220
